"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","hours/6/3/close","hours/6/3/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Rue Dejoncker 54 - 58 1060 Saint Gilles, Brussels 1060 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","French","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"arion.bistrot@gmail.com","1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,,,"4092003","false","false","50.833214","4.356653","Arion Restaurant","598","+32 2 538 41 00","$$ - $$$","3533","111","#102 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d4092003-Reviews-Arion_Restaurant-Brussels.html","http://www.facebook.com/brasserie.arion/"
"Avenue de l'Armee 3 Etterbeek, Brussels 1040 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Italian","French","Vegetarian Friendly",,,,,,,,,,,,,,,"1350","1140",,,,,"1350","1140",,,,,"1350","1140",,,,,"1350","1140",,,,,"1350","1140",,,,,"1350","1140",,,,,,,"7726560","false","false","50.848846","4.347164","La Fin de Siecle","298","+32 2 732 74 34","$$ - $$$","3533","115","#105 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d7726560-Reviews-La_Fin_de_Siecle-Brussels.html","http://www.fin-de-siecle-museum.be/nl/het-musee-fin-de-siecle-museum?fbclid=IwAR08QS13HxstIHWIeKIiZjT4wvJb3JP_S-YdPutHba2YnNY0UYNLps5qT8A"
"Rue Henri Maus 39, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","American","Fast Food","Street Food","Vegetarian Friendly",,,,,,,"info@manhattns.com","1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,,,"8870751","false","false","50.847622","4.350534","Manhattn's Burgers Beurs","550","+32 2 649 85 95","$$ - $$$","3533","112","#6 of 76 Quick Bites in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d8870751-Reviews-Manhattn_s_Burgers_Beurs-Brussels.html","http://www.manhattns.com"
"Avenue Wolvendael 44, Uccle, Brussels 1180 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Contemporary","Fusion","Vegetarian Friendly",,,,,,,,"info@louisxv.be","900","660",,,,,,,,,,,,,,,,,"1380","1140",,,,,"840","720","1380","1140",,,"840","720","1380","1140",,,"900","660","1380","1140",,,,,"7002339","false","false","50.79943","4.342317","Le Louis XV","186","+32 2 372 28 60","$$$$","3533","114","#104 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1136488-d7002339-Reviews-Le_Louis_XV-Uccle_Brussels.html","http://louisxv.be/"
"Rue de l'Amigo 1-3, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"ristorantebocconi@roccofortehotels.com","660","390","870","720","1350","1140","630","390","870","720","1350","1140","630","390","870","720","1320","1140","630","390","870","720","1350","1140","630","390","870","720","1350","1140","630","390","870","720","1350","1140","660","390","870","720","1350","1140",,,"816725","false","false","50.846252","4.351391","Ristorante Bocconi","1068","+32 2 547 47 15","$$$$","3533","120","#110 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d816725-Reviews-Ristorante_Bocconi-Brussels.html","http://www.roccofortehotels.com/fr/hotels-and-resorts/hotel-amigo/restaurant-and-bar/ristorante-bocconi/"
"Rue Stevin 134, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Grill","Mediterranean","European","Greek",,,,,,,"info@kafenio.be",,,,,,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"1350","1080",,,,,,,"1872922","false","false","50.844555","4.381892","Kafenio","513","+32 2 231 55 55","$$ - $$$","3533","116","#106 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d1872922-Reviews-Kafenio-Brussels.html","http://www.kafenio.be/"
"Chaussee de Waterloo 437, Ixelles, Brussels 1050 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Mediterranean","European","Greek","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,"delidrome@gmail.com","1050","720",,,,,,,,,,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"1410","600",,,,,,,"4993004","false","false","50.821373","4.356681","Philema","203","+32 479 06 73 18","$$ - $$$","3533","118","#108 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1136493-d4993004-Reviews-Philema-Ixelles_Brussels.html","http://philema.be/"
"Rue du Marche aux Herbes 50, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","French","Belgian","European","Seafood","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"hedari_philippe@hotmail.com","1380","660",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,,,"12793209","false","false","50.847477","4.352932","Au Coin Gourmand","697","+32 485 51 17 38","$$ - $$$","3533","119","#109 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d12793209-Reviews-Au_Coin_Gourmand-Brussels.html","http://www.aucoingourmand-restaurant.com"
"Quai aux Briques 12, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","French","Seafood","Healthy","Gluten Free Options",,,,,,,"rugbymantwo@skynet.be","900","720",,,,,,,,,,,"900","720","1350","1080",,,"1350","1080",,,,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,,,"1163757","false","false","50.851307","4.348377","Rugbyman N° Two","1061","+32 2 512 37 60","$$ - $$$","3533","113","#103 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d1163757-Reviews-Rugbyman_N_Two-Brussels.html","http://www.rugbymantwo.com"
"Chaussee de Louvain 503, Schaerbeek, Brussels 1030 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Belgian","Fast Food","European",,,,,,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,,,"10628087","false","false","50.854736","4.396993","Master frites Brussels","102","+32 2 734 80 91","$","3533","117","#107 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g950786-d10628087-Reviews-Master_frites_Brussels-Schaerbeek_Brussels.html","http://www.facebook.com/masterfritesbrussels"
"Dreve de Lorraine 43 Uccle, Belgique‎, Brussels 1180 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","French","Belgian","European","Vegetarian Friendly",,,,,,,"info@lechaletdelaforet.be",,,,,,,"870","720","1335","1140",,,"870","720","1335","1140",,,"870","720","1335","1140",,,"870","720","1335","1140",,,"870","720","1335","1140",,,,,,,,,,,"786404","false","false","50.784775","4.386444","Le Chalet de la Foret","499","+32 2 374 54 16","$$$$","3533","128","#118 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d786404-Reviews-Le_Chalet_de_la_Foret-Brussels.html","http://www.lechaletdelaforet.be/"
"Rue Royale 29-31, Brussels 1000 Belgium","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Belgian","European","International","Vegetarian Friendly",,,,,,,"info@floyds.be","1410","1080",,,,,"870","720","1410","1080",,,"870","720","1410","1080",,,"870","720","1410","1080",,,"870","720","1410","1080",,,"870","720","1410","1080",,,"1410","1080",,,,,,,"14209908","false","false","50.848507","4.363325","Floyd's","200","+32 2 355 68 11","$$ - $$$","3533","130","#120 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d14209908-Reviews-Floyd_s-Brussels.html","http://www.floyds.be"
"Avenue Pre des Agneaux 1, Auderghem, Brussels 1160 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,"900","720","1350","1110",,,"900","720","1350","1110",,,"900","720","1350","1110",,,"900","720","1350","1110",,,"900","720","1350","1110",,,,,"3291630","false","false","50.81134","4.422865","La Botte","188","+32 2 673 80 12","$$ - $$$","3533","121","#111 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1068497-d3291630-Reviews-La_Botte-Auderghem_Brussels.html","http://restaurantlabotte.be"
"Rue du Page 42, Brussels 1050 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","French","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@restaurantdeclercq.be",,,,,,,,,,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,,,"2266803","false","false","50.822975","4.358619","Declercq Bistro-Garage","384","+32 2 537 80 47","$$ - $$$","3533","127","#117 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d2266803-Reviews-Declercq_Bistro_Garage-Brussels.html","https://restaurantdeclercq.be/fr#menu"
"Quai au Bois a Bruler 61, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Belgian","Seafood","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,,,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"1410","1080",,,,,,,"1222114","false","false","50.85318","4.347109","La Boussole Brassiere","340","+32 2 218 58 77","$$ - $$$","3533","126","#116 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d1222114-Reviews-La_Boussole_Brassiere-Brussels.html","http://www.laboussole-be.com"
"Chaussee de Waterloo 550a Ixelles, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"840","720","1260","1140",,,"840","720","1260","1140",,,"840","720","1260","1140",,,"840","720","1260","1140",,,"840","720","1260","1140",,,,,,,,,,,"1546036","false","false","50.81933","4.361658","Kamo","452","+32 2 648 78 48","$$$$","3533","125","#115 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d1546036-Reviews-Kamo-Brussels.html","http://www.restaurant-kamo.be"
"Rue Saint Georges 1, Ixelles, Brussels 1050 Belgium",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek","Deli","Healthy","Vegan Options",,,,,,"info@feta-oregano.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20104423","false","false","50.81916","4.369229","Feta&Oregano Ixelles","97","+32 2 633 63 76","$$ - $$$","3533","122","#112 of 3,627 Restaurants in Brussels","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1136493-d20104423-Reviews-Feta_Oregano_Ixelles-Ixelles_Brussels.html","http://www.feta-oregano.com/"
"Place Sainte-Catherine 23, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","French","Belgian","Seafood","European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,,,,,,"870","720","1320","1140",,,"870","720","1320","1140",,,"870","720","1320","1140",,,"870","720","1320","1140",,,"870","720","1320","1140",,,,,"801955","false","false","50.85103","4.350164","Vismet","463","+32 2 218 85 45","$$ - $$$","3533","124","#114 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d801955-Reviews-Vismet-Brussels.html","http://www.levismet.be/en"
"Rue de la Croix de Pierre 43, Brussels 1060 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,"ai6angoli@yahoo.com","1350","1110",,,,,,,,,,,"840","690","1350","1110",,,"840","690","1350","1110",,,"840","690","1350","1110",,,"840","690","1350","1110",,,"1350","1110",,,,,,,"8373157","false","false","50.83033","4.350922","PizzeriaTrattoria Ai 6 Angoli","209","+32 498 42 24 65","$$ - $$$","3533","129","#119 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d8373157-Reviews-PizzeriaTrattoria_Ai_6_Angoli-Brussels.html","http://www.facebook.com/pages/Ai-6-angoli/479185098903122"
"Quai aux Briques 2 (Sainte-Catherine), Brussels 1000 Belgium","Certificate of Excellence 2018","2018","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,,,,,,,"restaurant","French","Belgian","Seafood","European","Gastropub",,,,,,"info@restaurant-francois.be","1020","540",,,,,"870","720","1350","1080",,,"870","720","1350","1080",,,"870","720","1350","1110",,,"870","720","1350","1110",,,"870","720","1350","1110",,,"870","720","1350","1110",,,,,"873154","false","false","50.851086","4.348369","Restaurant Francois","462","+32 2 511 60 89","$$$$","3533","352","#320 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d873154-Reviews-Restaurant_Francois-Brussels.html","http://www.restaurant-francois.be"
