"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Itamerenkatu 12, Helsinki Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Nepali","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"1320","720",,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1380","630",,,,,"1380","720",,,,,"2446273","false","false","60.16349","24.915485","Yeti Nepal","67",,"$$ - $$$","1558","255","#198 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d2446273-Reviews-Yeti_Nepal-Helsinki_Uusimaa.html","http://www.yetinepal.fi"
"Salomonkatu 3, Helsinki 00100 Finland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13195847","false","false","60.170498","24.934523","Itsudemo","102","+358 9 3233200","$$ - $$$","1558","252","#38 of 111 Quick Bites in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d13195847-Reviews-Itsudemo-Helsinki_Uusimaa.html","http://itsudemo.fi/helsinki/"
"Unioninkatu 18, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Italian","European","Fusion","Gluten Free Options",,,,,,,,,"toca@toca.fi",,,,,,,,,,,"1380","1050",,,,,"1380","1050",,,,,"1380","1050",,,,,"1380","1020",,,,,"1380","1020",,,,,"14761297","false","false","60.1655","24.951344","Toca","280","+358 44 2379922","$$ - $$$","1558","4","#3 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d14761297-Reviews-Toca-Helsinki_Uusimaa.html","http://www.toca.fi"
"Museokatu 29, Helsinki 00100 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","European","Scandinavian","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"ravintola-aito@ravintola-aito.fi",,,,,,,,,,,,,,,,,"1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1742084","false","false","60.175514","24.921005","Ravintola Aito","283","+358 9 4544303","$$ - $$$","1558","8","#7 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d1742084-Reviews-Ravintola_Aito-Helsinki_Uusimaa.html","http://www.ravintola-aito.fi/"
"Korkeavuorenkatu 2, Helsinki 00140 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Scandinavian",,,,,,,,,,,,,,,,"1170","480",,,,,"1170","480",,,,,"1170","480",,,,,"1170","480",,,,,"1170","480",,,,,"960","600",,,,,"739453","false","false","60.159847","24.946678","Cafe Succes","75","+358 9 633414","$$ - $$$","1558","253","#29 of 108 Coffee & Tea in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d739453-Reviews-Cafe_Succes-Helsinki_Uusimaa.html",
"Pieni Roobertinkatu 8, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@ravintolavinkkeli.fi",,,,,"840","690",,,,,"840","690","1440","1020",,,"840","690","1440","1020",,,"840","690","1440","1020",,,"840","690","1440","1020",,,"1440","1020",,,,,"10171265","false","false","60.164124","24.946112","Vinkkeli","230","+358 29 1800222","$$$$","1558","7","#6 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d10171265-Reviews-Vinkkeli-Helsinki_Uusimaa.html","http://www.ravintolavinkkeli.fi/"
"Pohjoisesplanadi 5, Helsinki 00170 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Contemporary","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@olo-ravintola.fi",,,,,,,,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","960",,,,,"784038","false","false","60.16807","24.9549","Olo  Ravintola","749","+358 10 3206250","$$$$","1558","6","#5 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d784038-Reviews-Olo_Ravintola-Helsinki_Uusimaa.html","http://olo-ravintola.fi/"
"Korkeavuorenkatu 45, Helsinki 00130 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,"hello@paisano.fi",,,,,"870","660",,,,,"870","660",,,,,"870","660",,,,,"870","660",,,,,"870","660","1380","1020",,,"1380","1020",,,,,"17729725","false","false","60.16652","24.946068","Paisano","36","+358 44 9842271","","1558","580","#462 of 1,507 Restaurants in Helsinki","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d17729725-Reviews-Paisano-Helsinki_Uusimaa.html","http://paisano.fi"
"Vilhonkatu 9, Helsinki Finland","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Nepali","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,,,"1380","720",,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"720","660",,,,,"720","660",,,,,"1122261","false","false","60.171364","24.944294","Mount Everest Vilhola","135","+358 9 673129","$$ - $$$","1558","254","#197 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d1122261-Reviews-Mount_Everest_Vilhola-Helsinki_Uusimaa.html","http://everestyeti.fi"
"Kellosaarenranta 2, Helsinki 00180 Finland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,"myynti@faroravintola.fi",,,,,,,,,,,"870","660",,,,,"870","660",,,,,"870","660",,,,,"1140","660",,,,,"1140","660",,,,,"6627421","false","false","60.161705","24.91277","Faro Channelside Bar & Restaurant","144","+358 10 4249830","","1558","399","#318 of 1,507 Restaurants in Helsinki","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d6627421-Reviews-Faro_Channelside_Bar_Restaurant-Helsinki_Uusimaa.html","http://www.faroravintola.fi/"
"Merikannontie 10, Helsinki 00260 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Cafe","Scandinavian","Vegetarian Friendly","Vegan Options",,,,,,,,,"caferegatta@gmail.com","1320","480",,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1596888","false","false","60.180088","24.911884","Cafe Regatta","1695","+358 40 4149167","$","1558","9","#2 of 111 Quick Bites in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d1596888-Reviews-Cafe_Regatta-Helsinki_Uusimaa.html","http://www.facebook.com/pg/Cafe-Regatta-official-125305227553336/about/"
"Pursimiehenkatu 27, Helsinki 00150 Finland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Neapolitan","Campania","Romana","Lazio","Sicilian","Central-Italian","Southern-Italian","Vegan Options","rubens.malagoli1@gmail.com","1320","720",,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","720",,,,,"806104","false","false","60.158566","24.934855","Ravintola Nerone","316","+358 9 630670","$","1558","11","#9 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d806104-Reviews-Ravintola_Nerone-Helsinki_Uusimaa.html","http://www.ravintolanerone.com/"
"Kanavaranta 7 F, Helsinki 00160 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"779693","false","false","60.169346","24.960815","Nokka","574","+358 9 61285600","$$$$","1558","16","#14 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d779693-Reviews-Nokka-Helsinki_Uusimaa.html","http://www.ravintolanokka.fi/en"
"Ludviginkatu 3-5, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","European","Central European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"reservations@ragu.fi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1380","960",,,,,"1380","960",,,,,"6591387","false","false","60.165882","24.944689","Ragu","883","+358 10 2073001","$$$$","1558","13","#11 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d6591387-Reviews-Ragu-Helsinki_Uusimaa.html","http://www.ragu.fi"
"Toolonkatu 27, Helsinki 00260 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"ravintola@ravintolakuu.fi","1200","780",,,,,,,,,,,,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","780",,,,,"1012790","false","false","60.180172","24.925095","Ravintola Kuu","983","+358 9 27090973","$$ - $$$","1558","15","#13 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d1012790-Reviews-Ravintola_Kuu-Helsinki_Uusimaa.html","http://www.ravintolakuu.fi"
"Etelaeesplanadi 8, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","European","Central European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"varaukset@pompierespa.fi",,,,,"840","660",,,,,"840","660",,,,,"840","660",,,,,"840","660","1380","1020",,,"840","660","1380","1020",,,"1380","1020",,,,,"7199652","false","false","60.167355","24.949244","Pompier Espa","299","+358 9 663300","$$ - $$$","1558","14","#12 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d7199652-Reviews-Pompier_Espa-Helsinki_Uusimaa.html","http://www.pompier.fi"
"Lauttasaarentie 4, Helsinki 00200 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10152544","false","false","60.179874","24.924091","Raw 'n More","28","+358 10 5817171","$$ - $$$","1558","260","#16 of 46 Dessert in Helsinki","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d10152544-Reviews-Raw_n_More-Helsinki_Uusimaa.html","http://www.facebook.com/RawnMoreHKI"
"Kalevankatu 13, Helsinki 00100 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"eat@passiodining.fi","1380","960",,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","960",,,,,"1380","960",,,,,"6507867","false","false","60.167088","24.937258","Passio Keittio Ja Baari","886","+358 20 7352040","$$$$","1558","12","#10 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d6507867-Reviews-Passio_Keittio_Ja_Baari-Helsinki_Uusimaa.html","http://passiodining.fi/"
"Korkeavuorenkatu 4, Helsinki 00150 Finland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","International","Vegetarian Friendly",,,,,,,,,"maxill@maxill.fi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"794759","false","false","60.160255","24.94652","Maxill","75","+358 9 638873","$$ - $$$","1558","269","#210 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d794759-Reviews-Maxill-Helsinki_Uusimaa.html","http://www.maxill.fi"
"Kauppatorin Market Square, Helsinki 00170 Finland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Scandinavian","European",,,,,,,,,,"an.ui.phong@gmail.com","1050","540",,,"1050","540",,,,,"1050","540",,,,,"1050","540",,,,,"1050","540",,,,,"1170","540",,,,,"1170","540",,,,,"8547803","false","false","60.167477","24.954283","Kauppatorin Grilli","57","+358 45 6319382","$","1558","265","#39 of 111 Quick Bites in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d8547803-Reviews-Kauppatorin_Grilli-Helsinki_Uusimaa.html","http://www.facebook.com/kauppatoringrilli/"
"Runeberginkatu 2, Helsinki Finland","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,"restaurant","Steakhouse","Barbecue","European","Gluten Free Options",,,,,,,,,,"1380","1020",,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","780",,,,,"811295","false","false","60.16815","24.929552","Grill It","171","+358 20 1234701","$$ - $$$","1558","263","#205 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d811295-Reviews-Grill_It-Helsinki_Uusimaa.html","http://www.raflaamo.fi/helsinki/grill-it-helsinki-rdb-royal"
"Vuorikatu 18, Helsinki Finland","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"1320","720",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","720",,,,,"787333","false","false","60.172222","24.947428","Ryan Thai","145","+358 9 68718840","$$ - $$$","1558","264","#206 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d787333-Reviews-Ryan_Thai-Helsinki_Uusimaa.html","http://www.ryanthai.fi/"
"Helenankatu 2, Helsinki 00170 Finland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Vegetarian Friendly",,,,,,,,,,"info@olo-ravintola.fi",,,,,,,,,,,,,,,,,"1410","1050",,,,,"1410","1050",,,,,"1410","1050",,,,,"1410","1050",,,,,"12439876","false","false","60.168304","24.954924","Garden by Olo","52","+358 10 3206250","$$$$","1558","268","#209 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d12439876-Reviews-Garden_by_Olo-Helsinki_Uusimaa.html","http://www.gardenbyolo.fi"
"Siltasaarenkatu 3, Helsinki 00530 Finland","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Asian","Nepali","Vegetarian Friendly","Vegan Options",,,,,,,,"ravintolabasecamp@gmail.co","1380","720",,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","720",,,,,"1544948","false","false","60.17753","24.950266","Himshikhar","112","+358 40 9643464","$$ - $$$","1558","261","#203 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d1544948-Reviews-Himshikhar-Helsinki_Uusimaa.html","http://www.himshikhar.fi/"
"Ainonkatu 3, Helsinki 00100 Finland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"salonki@finnjavel.fi",,,,,,,,,,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"10179471","false","false","60.17195","24.931433","Finnjavel Salonki","372","+358 300 472337","$$$$","1558","10","#8 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d10179471-Reviews-Finnjavel_Salonki-Helsinki_Uusimaa.html","https://finnjavel.fi/en/salonki-the-salon/"
