"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"ul. Sienna 17, Krakow 31-041 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Italian","Bar","Cafe",,,,,,,,,"katane.krakow@gmail.com","1260","510",,,"1260","510",,,"1260","510",,,"1260","510",,,"1260","510",,,"1260","510",,,"1260","510",,,"9552997","false","false","50.060486","19.941015","Katane","80",,"$","1750","473","#73 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d9552997-Reviews-Katane-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.katane.pl"
"Ul. Krupnicza 9/2, Krakow 31-123 Poland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Bar","Wine Bar","European",,,,,,,,,"biuro@stoccaggio.pl","1380","780",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"5577909","false","false","50.06222","19.92423","Stoccaggio Wine Bar","93","+48 501 735 627","$$ - $$$","1750","478","#369 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d5577909-Reviews-Stoccaggio_Wine_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"Ulica Dajwor 25 Lok C, Krakow 31-052 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly",,,,,,,,,,,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"12027923","false","false","50.050594","19.94938","Anatomia","55","+48 12 429 00 97","$$ - $$$","1750","479","#370 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12027923-Reviews-Anatomia-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.anatomia.rest/"
"Wawel 5, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European",,,,,,,,,,"zamek@wawel.edu.pl","960","600",,,,,,,"960","570",,,"960","570",,,"960","570",,,"960","570",,,"960","570",,,"1532220","false","false","50.053204","19.935213","Restaurant at Wawel Royal Castle","96","+48 12 422 51 55","$$ - $$$","1750","475","#368 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1532220-Reviews-Restaurant_at_Wawel_Royal_Castle-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.wawel.com.pl"
"Rynek Glowny 44, Krakow 31-017 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Eastern European","Central European","Vegetarian Friendly",,,,,,,"marketing@rynek44.pl","1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"2660448","false","false","50.062172","19.938404","Staropolska Restaurant","612","+48 531 609 331","$$ - $$$","1750","474","#367 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d2660448-Reviews-Staropolska_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.rynek44.pl/staropolska.html"
"KoSciuszki 14, Krakow 30-105 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Polish","Bar","Barbecue","Pub","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10390934","false","false","50.05486","19.925451","Karczma Smil'y Restaurant","52","+48 12 427 05 12","$","1750","480","#371 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d10390934-Reviews-Karczma_Smil_y_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/Karczma-Smily-1523514601305366/?fref=ts"
"Swietego Tomasza 43, Krakow 31-027 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Polish","International","European","Fusion","Central European","Cafe",,,,,,"gosciniec.catering@interia.pl","1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"13110367","false","false","50.061565","19.943035","METRUM Restobistro","36","+48 608 677 668","$","1750","476","#74 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13110367-Reviews-METRUM_Restobistro-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/MetrumRestobistro/"
"Konopnickiej 26, Krakow 30-302 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Vegetarian Friendly",,,,,,,,,,"manggha@cateringkrakow.pl","1080","600",,,"1080","600",,,"1080","600",,,"1080","600",,,"1080","600",,,"1080","600",,,"1080","600",,,"11899246","false","false","50.050762","19.931526","Cafe Manggha","38","+48 608 679 308","$$ - $$$","1750","472","#365 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d11899246-Reviews-Cafe_Manggha-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/CafeManggha/"
"ul. Grodzka 45, Krakow 31-001 Poland","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European",,,,,,,,,,,"1380","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1380","480",,,"3673101","false","false","50.057568","19.938095","Cafe Mini","569","+48 666 532 162","$$ - $$$","1750","471","#39 of 103 Dessert in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d3673101-Reviews-Cafe_Mini-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/cafemini1/"
"Swietego Wawrzynca 27, Krakow 31-060 Poland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Fast Food","Middle Eastern","Lebanese","Halal","Vegetarian Friendly",,,,,,,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1410","720",,,"1410","720",,,"4133724","false","false","50.05049","19.95026","Sami Am Am","89",,"$","1750","481","#75 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4133724-Reviews-Sami_Am_Am-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/samiamam.kuchnia.syryjska"
"Mostowa 2, Krakow 31-061 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","Grill","Dining bars","Vegetarian Friendly",,,,,,,"restauracjawelldone@gmail.com","1320","660",,,"1320","720",,,"1320","660",,,"1320","660",,,"1320","660",,,"1440","660",,,"1440","660",,,"4794579","false","false","50.048523","19.944857","American Restaurant Well Done Cracow Kazimierz","307","+48 607 132 001","$$ - $$$","1750","486","#375 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4794579-Reviews-American_Restaurant_Well_Done_Cracow_Kazimierz-Krakow_Lesser_Poland_Province_Sout.html","http://www.welldonego.pl"
"ul.Dluga 51, Krakow 31-147 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Polish","Mediterranean","European","Central European","Vegan Options",,,,,,"bar@restopestka.pl","1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"14164025","false","false","50.07072","19.93664","Pestka Restobar","43","+48 885 030 209","$$ - $$$","1750","488","#377 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d14164025-Reviews-Pestka_Restobar-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://restopestka.pl"
"ul. Kazimierza Brodzinskiego 3 wejście/ dojazd taxi: ul. Staromostowa 1, Krakow 30-506 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","American","Bar","Pizza","Vegetarian Friendly","Vegan Options",,,,,,"restauracja@monkeybusiness.pl","1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1380","720",,,"1380","720",,,"14933774","false","false","50.045166","19.947971","Monkey Business - Pizza & More","53","+48 603 225 224","$$ - $$$","1750","483","#373 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d14933774-Reviews-Monkey_Business_Pizza_More-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://monkeybusiness.pl"
"Zakopianska 62, Krakow 30-418 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","International","Mediterranean","Vegetarian Friendly",,,,,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1380","660",,,"1380","660",,,"13005734","false","false","50.015396","19.932007","Tutti Santi Krakow","87","+48 600 171 704","$","1750","482","#372 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13005734-Reviews-Tutti_Santi_Krakow-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://tuttisanti.pl/restauracje/krakow"
"Swietego Wawrzynca 14, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food",,,,,,,,,,,,"1200","840",,,,,,,"1380","960",,,"1380","960",,,"1380","960",,,"1500","960",,,"1500","960",,,"7804424","false","false","50.05022","19.948053","Boogie Truck","47","+48 695 630 165","$","1750","489","#76 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d7804424-Reviews-Boogie_Truck-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/BoogieTruck"
"ul. Sw. Jana 3, Krakow 31-017 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Vegetarian Friendly",,,,,,,,,,"804.krakow@chlopskiejadlo.pl","1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1380","660",,,"1380","660",,,"3357553","false","false","50.062847","19.938494","Chlopskie Jadlo Krakow Sw. Jana","437","+48 725 100 535","$$ - $$$","1750","484","#374 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d3357553-Reviews-Chlopskie_Jadlo_Krakow_Sw_Jana-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.chlopskiejadlo.pl/"
"Rakowicka 14A, Krakow 30-510 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,"kcroasters@gmail.com","1200","0",,,"1260","0",,,"1260","0",,,"1260","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"12833141","false","false","50.067623","19.95208","Ka Vegan Udon & Sushi","74","+48 790 237 779","$$ - $$$","1750","487","#376 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12833141-Reviews-Ka_Vegan_Udon_Sushi-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://pl-pl.facebook.com/kaudonbar"
