"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","cuisine/16","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"28 South Anne Street, Dublin 2 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant","French","European","Wine Bar","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"lacavewinebar@gmail.com","1560","1050",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"696268","false","false","53.341114","-6.259696","La Cave Wine Bar and Restaurant","370","+353 1 679 4409","$$ - $$$","2493","204","#185 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d696268-Reviews-La_Cave_Wine_Bar_and_Restaurant-Dublin_County_Dublin.html","http://www.lacavewinebar.com"
"13 High Street, Dublin Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","American","Irish","Bar","Pub","Vegetarian Friendly",,,,,,,,,,,,,"thebeermarket@galwaybaybrewery.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8384459","false","false","53.343285","-6.273384","The Beer Market","258","+353 1 244 4917","$$ - $$$","2493","203","#184 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d8384459-Reviews-The_Beer_Market-Dublin_County_Dublin.html","http://www.galwaybaybrewery.com/"
"46A Capel Street, Dublin Ireland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Asian","Vietnamese","Soups","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"3638261","false","false","53.34881","-6.268861","Aobaba","112","+353 1 878 8555","$","2493","453","#31 of 247 Quick Bites in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d3638261-Reviews-Aobaba-Dublin_County_Dublin.html","http://aobaba.com/"
"Temple Bar 37 Parliament Street, Dublin 2 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"cafetopolis@yahoo.ie","1320","750",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"743285","false","false","53.34437","-6.267302","Cafe Topolis","597","+353 1 670 4961","$$ - $$$","2493","210","#191 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d743285-Reviews-Cafe_Topolis-Dublin_County_Dublin.html","http://www.cafetopolis.com/"
"9 South Anne Street, Dublin Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","Irish","Bar","Pub",,,,,,,,,,,,,,,,"1380","750",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1470","660",,,,,"1470","660",,,,,"696261","false","false","53.341106","-6.259451","Kehoe's","332","+353 1 677 8312","$$ - $$$","2493","201","#182 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d696261-Reviews-Kehoe_s-Dublin_County_Dublin.html","http://www.louisfitzgerald.com/kehoes"
"18 Suffolk Street Dublin 2, Dublin Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"1620","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"1620","660",,,,,"1620","660",,,,,"1224521","false","false","53.343384","-6.259807","Pacino's","905","+353 1 677 5651","$$ - $$$","2493","207","#188 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d1224521-Reviews-Pacino_s-Dublin_County_Dublin.html","http://www.pacinos.ie"
"6 Aungier Street, Dublin D02 WN47 Ireland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Spanish","European","Mediterranean","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"info@unomas.ie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15694842","false","false","53.341072","-6.265473","Uno Mas","96","+353 1 475 8538","$$ - $$$","2493","209","#190 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d15694842-Reviews-Uno_Mas-Dublin_County_Dublin.html","https://www.unomas.ie/"
"16 Bachelors Walk Dublin 1, Dublin Ireland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Wine Bar","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"5601769","false","false","53.346764","-6.261528","Bach 16","614","+353 1 872 0215","$$ - $$$","2493","208","#189 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d5601769-Reviews-Bach_16-Dublin_County_Dublin.html","http://WWW.BACH16.COM"
"17 Wicklow Street, Dublin Dublin 2 Ireland","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,,,,,"restaurant","French","Cafe","European","Vegetarian Friendly",,,,,,,,,,,,,,"bookings@lepetitparisien.ie","1140","540",,,,,"1140","450",,,,,"1140","450",,,,,"1140","450",,,,,"1200","450",,,,,"1140","450",,,,,"1140","450",,,,,"3899506","false","false","53.34296","-6.261224","Le Petit Parisien","529","+353 1 677 1225","$$ - $$$","2493","464","#21 of 59 Dessert in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d3899506-Reviews-Le_Petit_Parisien-Dublin_County_Dublin.html","http://www.lepetitparisien.ie"
"41-43 Usher's Quay, Dublin D08 K1E8 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Bar","European","Pub","Czech","Eastern European","Central European","Vegetarian Friendly",,,,,,,,,,,"info@pifkobar.com","1380","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1350","720",,,,,"1470","720",,,,,"1470","720",,,,,"1989662","false","false","53.3461","-6.280417","Pifko","160","+353 1 515 2087","$$ - $$$","2493","463","#411 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d1989662-Reviews-Pifko-Dublin_County_Dublin.html","http://pifkobar.com"
"15-16 Chatham Street, Dublin D02 FV50 Ireland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Irish","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"Info@glasrestaurant.ie","930","690","1290","1020",,,"930","720","1320","1020",,,"930","720","1320","1020",,,"930","720","1320","1020",,,"930","720","1320","1020",,,"930","720","1350","1020",,,"930","690","1350","1020",,,"19409090","false","false","53.340984","-6.261964","Glas","71","+353 1 672 4534","$$ - $$$","2493","470","#415 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d19409090-Reviews-Glas-Dublin_County_Dublin.html","http://glasrestaurant.ie"
"46 Temple Bar, Dublin Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","American","Irish","Cafe","Fast Food","Street Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12557785","false","false","53.345547","-6.264167","Cloud Nine Temple Bar","140","+353 1 675 4340","$","2493","466","#22 of 59 Dessert in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d12557785-Reviews-Cloud_Nine_Temple_Bar-Dublin_County_Dublin.html","https://www.facebook.com/Cloud-Nine-Temple-Bar-1797721437209931/"
"2 Balfe Street Dublin 2, Dublin D06 CH66 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Irish","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"reserve@balfes.ie","1320","600",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","600",,,,,"7284584","false","false","53.34147","-6.2615","Balfes","650","+35316463315","$$ - $$$","2493","205","#186 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d7284584-Reviews-Balfes-Dublin_County_Dublin.html","http://balfes.ie/"
"8 Wicklow Street Dublin 2, Co Dublin, Dublin LEINSTER Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Irish","Bar","Pub",,,,,,,,,,,,,,,"CONTACT@MARYSBAR.IE","1380","720",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"30","0","1470","660",,,"1470","660",,,,,"1440","660",,,,,"6887570","false","false","53.342846","-6.260248","Mary's Bar & Hardware Shop","193","+353 1 670 8629","$","2493","468","#413 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d6887570-Reviews-Mary_s_Bar_Hardware_Shop-Dublin_County_Dublin.html","http://marysbar.ie"
"Camden Court 5-8 Camden Street Lower Saint Kevin's, Dublin D02 X284 Ireland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"info@happyfood.ie",,,,,,,"930","510",,,,,"930","510",,,,,"930","510",,,,,"930","510",,,,,"930","510",,,,,"930","630",,,,,"15263109","false","false","53.334957","-6.264444","Happy Food","100","+353 85 863 0292","$","2493","465","#412 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d15263109-Reviews-Happy_Food-Dublin_County_Dublin.html","http://www.happyfood.ie"
"Kilakee House, Bothar Choill an Chaoich Rathfarnham, Dublin 16 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Irish","Cafe","Soups","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"cafe@timbertrove.com","960","570",,,,,,,,,,,"960","570",,,,,"960","570",,,,,"960","570",,,,,"960","570",,,,,"960","570",,,,,"7118399","false","false","53.2547","-6.320798","Country Store & Cafe Timbertrove","102","+353 1 493 1044","$$ - $$$","2493","467","#23 of 59 Dessert in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d7118399-Reviews-Country_Store_Cafe_Timbertrove-Dublin_County_Dublin.html","http://www.timbertrovecafe.com"
"6/7 Jervis Street Millennium Walkway, Dublin Dublin 1 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"enquiries@koh.ie","1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1410","720",,,,,"1410","720",,,,,"1125214","false","false","53.347466","-6.265942","Koh Restaurant & Cocktail Lounge","915","+353 1 814 6777","$$ - $$$","2493","202","#183 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d1125214-Reviews-Koh_Restaurant_Cocktail_Lounge-Dublin_County_Dublin.html","http://www.koh.ie/"
"9-11 Crown Alley, Temple Bar Temple Bar, Dublin Ireland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","Vegetarian Friendly",,,,,,,,,,,,,,,"info@badassdublin.com","1380","480",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1440","720",,,,,"1530","480",,,,,"1530","480",,,,,"696176","false","false","53.345425","-6.262893","Bad Ass Cafe","932","+353 85 156 3503","$$ - $$$","2493","462","#410 of 2,357 Restaurants in Dublin","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d696176-Reviews-Bad_Ass_Cafe-Dublin_County_Dublin.html","http://www.badassdublin.com"
"23c Dawson Street, Dublin D02 PW18 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"hello@tang.ie",,,,,,,"1020","450",,,,,"1020","450",,,,,"1020","450",,,,,"1020","450",,,,,"1020","450",,,,,"960","600",,,,,"10387074","false","false","53.339603","-6.258647","Tang Cafe","516","+353 86 391 5401","$","2493","3","#3 of 2,357 Restaurants in Dublin","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html","https://www.tang.ie/"
"31 Bachelor Walk, Dublin 1 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Irish","Bar","British","Pub","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"info@thebachelorinn.com","1530","630",,,,,"1530","630",,,,,"1530","630",,,,,"1530","630",,,,,"1530","630",,,,,"1530","630",,,,,"1530","630",,,,,"3340067","false","false","53.347393","-6.259956","Bachelor Inn","328","+353 1 873 1238","$$ - $$$","2493","461","#409 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d3340067-Reviews-Bachelor_Inn-Dublin_County_Dublin.html","http://www.thebachelorinn.com/"
"170 Rathmines Road Lower, Dublin D06 X5N9 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Irish","European","International","Diner","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"rathmines@farmerbrowns.ie","1260","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"10682505","false","false","53.32482","-6.26505","Farmer Browns Rathmines","286","+353 1 567 6956","$$ - $$$","2493","214","#195 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d10682505-Reviews-Farmer_Browns_Rathmines-Dublin_County_Dublin.html","http://www.farmerbrowns.ie"
