"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","cuisine/16","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Sloejfen 6, Frederiksberg, Copenhagen 2000 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Scandinavian","Danish",,,,,,,,,,,,,,,,,,,,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"785401","false","false","55.67911","12.512431","Cafe Lindevang","261","+45 38 34 38 34","$$ - $$$","2486","151","#131 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g806262-d785401-Reviews-Cafe_Lindevang-Frederiksberg_Copenhagen_Zealand.html","http://Www.cafelindevang.dk"
"Noerrebrogade 1, St., Copenhagen 2200 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Bar","American","Fast Food",,,,,,,,,,,,,,,"sliders@sliders.dk","1260","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"7285106","false","false","55.68709","12.562096","Sliders - Noerrebro","339","+45 31 32 26 20","$","2486","156","#22 of 177 Quick Bites in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d7285106-Reviews-Sliders_Noerrebro-Copenhagen_Zealand.html","http://sliders.dk/"
"Fabriksomraadet 134, Copenhagen 1440 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,"1260","720",,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"810193","false","false","55.673927","12.603153","Morgenstedet","254",,"$","2486","66","#59 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d810193-Reviews-Morgenstedet-Copenhagen_Zealand.html",
"Hyskenstraede 16, Copenhagen 1264 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","French","Cafe","European","Deli","Vegetarian Friendly",,,,,,,,,,,,,"info@frenchy.dk","1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"4248424","false","false","55.677998","12.576669","Frenchy","220","+45 31 45 64 46","$$ - $$$","2486","68","#61 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d4248424-Reviews-Frenchy-Copenhagen_Zealand.html","http://frenchy.dk"
"Vesterbrogade 31 Vesterbrogade 31,, Copenhagen 1620 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Italian","Mediterranean","European","Sardinian","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"kontakt@retrogusto.dk",,,,,,,,,,,,,"1350","1050",,,,,"1350","1050",,,,,"1350","1050",,,,,"1350","1050",,,,,"1350","1050",,,,,"3809403","false","false","55.67287","12.558201","RetroGusto","636","+45 28 42 79 09","$$ - $$$","2486","62","#56 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d3809403-Reviews-RetroGusto-Copenhagen_Zealand.html","http://retrogusto.dk"
"Charlotte Ammundsens Plads 2 Bsmt, Copenhagen 1359 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"lafiorita.dk@gmail.com","1320","780",,,,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"942236","false","false","55.68348","12.564897","Pizzeria La Fiorita","706","+45 33 33 99 60","$","2486","63","#6 of 177 Quick Bites in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d942236-Reviews-Pizzeria_La_Fiorita-Copenhagen_Zealand.html","http://www.lafiorita.dk"
"Holbergsgade 19, Copenhagen 1057 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Cafe","European","Danish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"var2307@hotmail.com","1020","600",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1200","600",,,,,"2689902","false","false","55.67874","12.590546","Holberg no 19","181","+45 50 80 72 43","$$ - $$$","2486","155","#133 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d2689902-Reviews-Holberg_no_19-Copenhagen_Zealand.html","http://www.holbergno19.dk/"
"Bredgade 76, Copenhagen 1260 Denmark","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","European","Scandinavian","Danish",,,,,,,,,,,,,,,,,,,,,,"960","705",,,,,"1260","705",,,,,"1260","705",,,,,"1260","705",,,,,"1260","705",,,,,"960","690",,,,,"790163","false","false","55.687412","12.592747","Cafe Petersborg","440","+45 33 12 50 16","$$ - $$$","2486","159","#136 of 2,353 Restaurants in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d790163-Reviews-Cafe_Petersborg-Copenhagen_Zealand.html","http://www.cafe-petersborg.dk/"
"Rantzausgade 1, Copenhagen 2200 Denmark","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Lebanese","Middle Eastern","Fast Food","Grill","Vegetarian Friendly","Vegan Options","Halal",,,,,,,,,,,"mail@libancuisine.dk","1305","720",,,,,"1305","660",,,,,"1305","660",,,,,"1305","660",,,,,"1305","660",,,,,"1425","660",,,,,"1425","660",,,,,"6487032","false","false","55.685135","12.553113","Liban Cuisine","74","+45 38 11 50 50","$","2486","150","#130 of 2,353 Restaurants in Copenhagen","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d6487032-Reviews-Liban_Cuisine-Copenhagen_Zealand.html","https://www.facebook.com/pages/Liban-cuisine/744559872225939?hc_location=timeline"
"Vaffelbageren Nyhavn 49 1051 Kobenhavn K, Copenhagen Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"3605808","false","false","55.67973","12.591547","Vaffelbageren","500","+45 33 14 06 98","$","2486","153","#21 of 177 Quick Bites in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d3605808-Reviews-Vaffelbageren-Copenhagen_Zealand.html","http://vaffelbageren.dk/"
"Nansensgade 90, Copenhagen 1366 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Soups","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"hello@slurpramen.dk","870","720","1320","1020",,,,,,,,,"1320","1020",,,,,"870","720","1320","1020",,,"870","720","1320","1020",,,"870","720","1320","1020",,,"870","720","1320","1020",,,"12130126","false","false","55.685116","12.567047","Slurp Ramen Joint","179","+45 53 70 80 83","$$ - $$$","2486","152","#20 of 177 Quick Bites in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d12130126-Reviews-Slurp_Ramen_Joint-Copenhagen_Zealand.html","http://slurpramen.dk"
"Amerika Plads 4 Østerbro, Copenhagen 2100 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Italian","Pizza","European","Grill","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"nvr@hotmail.dk","1320","720",,,,,"1320","660",,,,,"1320","720",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","720",,,,,"4204245","false","false","55.698338","12.593778","Restaurant Tio Marios","234","+45 39 20 01 75","$$ - $$$","2486","157","#134 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d4204245-Reviews-Restaurant_Tio_Marios-Copenhagen_Zealand.html","http://tiomarios.dk"
"Mikkel Bryggers Gade 11, Copenhagen 1460 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Wine Bar","European",,,,,,,,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"788477","false","false","55.676495","12.571272","Villa Vino","172","+45 33 32 17 33","$$ - $$$","2486","158","#135 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d788477-Reviews-Villa_Vino-Copenhagen_Zealand.html","http://www.villavino.dk/"
"Hauser Plads 16, Copenhagen 1127 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","European","Scandinavian","Danish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"danskfrokost@mail.dk",,,,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"2013792","false","false","55.682747","12.575774","Restaurant Schoennemann","757","+45 33 12 07 85","$$ - $$$","2486","64","#57 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d2013792-Reviews-Restaurant_Schoennemann-Copenhagen_Zealand.html","http://www.restaurantschonnemann.dk/?ulang=1"
"Istedgade 27, Copenhagen 1650 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"info@neighbourhood.dk",,,,,,,,,,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"7103117","false","false","55.670723","12.558301","Neighbourhood","749","+45 32 12 22 12","$$ - $$$","2486","154","#132 of 2,353 Restaurants in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d7103117-Reviews-Neighbourhood-Copenhagen_Zealand.html","http://neighbourhood.dk"
"Falkoner Alle 10 Over for falkonersalen, Frederiksberg, Copenhagen 2000 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Italian","European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"kontakt@sanmarcojunior.dk","1290","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1440","600",,,,,"1440","600",,,,,"8602544","false","false","55.67917","12.5336","San Marco Junior","178","+45 33 24 95 76","$$ - $$$","2486","69","#62 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g806262-d8602544-Reviews-San_Marco_Junior-Frederiksberg_Copenhagen_Zealand.html","http://www.sanmarcojunior.dk"
"Sjaellandsgade 1B, Copenhagen 2200 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,,,"restaurant","Seafood","Grill","Gluten Free Options",,,,,,,,,,,,,,,"oysters@cofoco.dk","1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"2289930","false","false","55.692802","12.551605","Oysters & Grill","433","+45 70 20 61 71","$$ - $$$","2486","162","#139 of 2,353 Restaurants in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d2289930-Reviews-Oysters_Grill-Copenhagen_Zealand.html","http://cofoco.dk/da/restauranter/oysters-and-grill/"
"Borgergade 93, Copenhagen 1300 Denmark","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","Pub",,,,,,,,,,,,,,,,,,"1380","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1560","900",,,,,"1560","900",,,,,"1560","900",,,,,"2734431","false","false","55.68648","12.587611","Black Swan","117",,"$$ - $$$","2486","161","#138 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d2734431-Reviews-Black_Swan-Copenhagen_Zealand.html","http://www.blackswanbar.dk/"
"Lille Kongensgade 14, Copenhagen 1074 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Peruvian","Latin","South American","Central American","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"llama@cofoco.dk","1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1560","1080",,,,,"1560","1080",,,,,"1440","1080",,,,,"6556480","false","false","55.67971","12.583878","Llama Restaurante & Bar","727","+45 89 93 66 87","$$ - $$$","2486","167","#144 of 2,353 Restaurants in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d6556480-Reviews-Llama_Restaurante_Bar-Copenhagen_Zealand.html","http://llamarestaurant.dk/"
"Nansensgade 63, Copenhagen 1366 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","Mediterranean","European","Spanish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"info@pintxos.dk","1320","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"817155","false","false","55.684498","12.566181","Pintxos","531","+45 33 93 66 55","$$ - $$$","2486","166","#143 of 2,353 Restaurants in Copenhagen","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d817155-Reviews-Pintxos-Copenhagen_Zealand.html","http://pintxos.dk"
