"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"21 Eolou Aghias Irinis Square, Downtown Athens, Athens 105 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Cafe","Greek","Street Food","Vegetarian Friendly",,,,,,,,"athens@lukumades.com","1440","540",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"5993987","false","false","37.97691","23.727684","Lukumades","955","+30 21 0321 0880","$","2681","68","#4 of 39 Quick Bites in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d5993987-Reviews-Lukumades-Athens_Attica.html","http://www.lukumades.com"
"51 Eolou, Athens 105 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Fast Food","Mediterranean","Middle Eastern","Vegetarian Friendly","Vegan Options",,,,,,,"info@falafellas.gr",,,,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1440","660",,,,,"1440","660",,,,,"4293737","false","false","37.978504","23.728085","Falafellas","980","+30 21 0323 9809","$","2681","61","#3 of 39 Quick Bites in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4293737-Reviews-Falafellas-Athens_Attica.html","http://www.falafellas.gr"
"Themistokleous 8 Nikitara 9, Athens 106 78 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Mediterranean","Greek","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"theano.chal@gmail.com","1080","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"2580508","false","false","37.984272","23.730875","Trata Fish Tavern","667","+30 21 0383 8531","$$ - $$$","2681","65","#54 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d2580508-Reviews-Trata_Fish_Tavern-Athens_Attica.html","http://www.athenstrata.gr"
"Athanassiou Diakou 6 Metro station Akropolis, Athens 117 42 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Italian","Mediterranean","European","Romana","Lazio","Central-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"info@belpaese.gr","1380","720",,,,,,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"3323606","false","false","37.96858","23.730194","Belpaese","563","+30 21 1404 4172","$$ - $$$","2681","69","#57 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3323606-Reviews-Belpaese-Athens_Attica.html","http://www.belpaese.gr"
"Nileos 11 Thisio, Athens Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Mediterranean","Greek","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4943546","false","false","37.974907","23.718332","Gevomai Kai Magevomai","168","+30 21 0345 2802","$","2681","63","#52 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4943546-Reviews-Gevomai_Kai_Magevomai-Athens_Attica.html",
"Herakleidon 2 Τhisio, Athens 13231 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"reserve@sinathina.gr","60","0","1440","540",,,"120","0","1440","540",,,"120","0","1440","540",,,"120","0","1440","540",,,"120","0","1440","540",,,"120","0","1440","540",,,"180","0","1440","540",,,"3709115","false","false","37.974777","23.719498","Sin Athina","938","+30 21 0345 8463","$$ - $$$","2681","66","#55 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3709115-Reviews-Sin_Athina-Athens_Attica.html","http://www.sinathina.gr"
"33 Eolou, Athens 105 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","Mediterranean","European","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"1350","420",,,,,"1350","420",,,,,"1350","420",,,,,"1350","420",,,,,"1350","420",,,,,"1350","420",,,,,"1350","420",,,,,"10595742","false","false","37.977463","23.727728","Telaro","216","+30 21 0324 3740","$$ - $$$","2681","72","#3 of 248 Coffee & Tea in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10595742-Reviews-Telaro-Athens_Attica.html","http://www.facebook.com/telarotastingculture/"
"10 Aisopou Psirri, Athens Greece","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","Middle Eastern","Vegetarian Friendly","Vegan Options","Kosher","Gluten Free Options",,,,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,,,,,,,,,,,,,"2390443","false","false","37.97789","23.72401","Gostijo","726","+30 21 0323 3825","$$ - $$$","2681","77","#64 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d2390443-Reviews-Gostijo-Athens_Attica.html","http://www.gostijo.gr"
"9 Syngrou Avenue, Athens 11742 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Indian","Vegan Options","Vegetarian Friendly","Halal","Gluten Free Options",,,,,,,"indianchefgr@gmail.com","1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"10374870","false","false","37.967834","23.730995","Royal Indian Chef","592","+30 21 0924 3029","$$ - $$$","2681","78","#65 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10374870-Reviews-Royal_Indian_Chef-Athens_Attica.html","http://www.royalindianchef.gr/"
"4 Galli Rovertou Herodion Hotel, Athens 117 42 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Bar","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"pointa@herodion.gr","1440","390",,,,,,,,,,,,,,,,,"1440","1110",,,,,"1440","1110",,,,,"1440","1110",,,,,"1440","1110",,,,,"7199752","false","false","37.968487","23.727222","Point a Bar and Restaurant","581","+30 21 0923 8991","$$ - $$$","2681","80","#67 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7199752-Reviews-Point_a_Bar_and_Restaurant-Athens_Attica.html","http://www.acropolispoint.com/"
"Leof Andrea Siggrou 55, Athens 117 43 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,"indianchefgr@gmail.com","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"6833928","false","false","37.962646","23.724508","Indian Chef","802","+30 21 0923 6336","$$ - $$$","2681","74","#61 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6833928-Reviews-Indian_Chef-Athens_Attica.html","http://www.indianchef.gr"
"Apollonos & Patroou 4, Athens 105 57 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,"restaurant","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1395","660",,,,,"1410","660",,,,,"1227879","false","false","37.974834","23.731277","Aspro Alogo","1293","+30 21 0322 0551","$","2681","71","#59 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d1227879-Reviews-Aspro_Alogo-Athens_Attica.html",
"Psaron 45, Athens 104 38 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Grill","European","Greek","Vegetarian Friendly",,,,,,,,"info@gefstikigonia.gr","1439","0",,,,,,,,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"4794359","false","false","37.989025","23.722721","Gefstiki Gonia","442","+30 21 0825 3988","$","2681","75","#62 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4794359-Reviews-Gefstiki_Gonia-Athens_Attica.html","http://www.gefstikigonia.gr/"
"32 Pitheou Neow Kosmos, Athens 117 43 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Mediterranean","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@lostrekouzina.eu","1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"6765593","false","false","37.96248","23.732222","Lostre Kouzina","328","+30 21 0922 6600","$$ - $$$","2681","73","#60 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6765593-Reviews-Lostre_Kouzina-Athens_Attica.html","http://www.lostrekouzina.eu"
"3 Iraklidon St. Thiseio, Athens 118 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Seafood","Mediterranean","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"reserve@abibayio.gr","1440","660",,,,,,,,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"3820482","false","false","37.975113","23.718609","Abibayio","342","+30 21 0342 6794","$$ - $$$","2681","79","#66 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3820482-Reviews-Abibayio-Athens_Attica.html","http://abibayio.gr"
"Protogenous 13 near Monastiraki Metro station, Athens 10554 Greece","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Vegetarian Friendly",,,,,,,,,"pizza@crust.gr","1440","780",,,,,"1439","1020",,,,,"1439","1020",,,,,"1439","1020",,,,,"1439","1020",,,,,"1439","1020",,,,,"1439","780",,,,,"12930991","false","false","37.97801","23.72551","Crust Pizza","50","+30 21 0325 7179","$","2681","451","#377 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12930991-Reviews-Crust_Pizza-Athens_Attica.html","https://www.facebook.com/crustathens/"
"24 Miaouli Psirri, Athens 105 54 Greece","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7645154","false","false","37.97819","23.725033","Liosporos","81","+30 21 3024 9151","$","2681","459","#384 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7645154-Reviews-Liosporos-Athens_Attica.html","https://www.facebook.com/pages/%CE%9B%CE%B9%CE%BF%CF%83%CF%80%CE%BF%CF%81%CE%BF%CF%82-%CE%A8%CF%85%CF%81%CF%81%CE%B7/407824669285011"
