"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Dienerreihe 4 20457 Hamburg, 20457 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Central European","Vegetarian Friendly","Vegan Options",,,,,,,"mail@wasserschloss.de","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"4052697","false","false","53.545536","9.999981","Wasserschloss Speicherstadt","369","+49 40 558982640","$$ - $$$","3226","358","#328 of 3,262 Restaurants in Hamburg","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d4052697-Reviews-Wasserschloss_Speicherstadt-Hamburg.html","http://www.wasserschloss.de"
"Poppenbuetteler Weg 236, 22399 Hamburg Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"pb@mazza-hamburg.de","1380","1020",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1020",,,,,"1039309","false","false","53.658127","10.085152","Mazza Poppenbuttel","110","+49 40 60878240","$$ - $$$","3226","359","#329 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1039309-Reviews-Mazza_Poppenbuttel-Hamburg.html","http://www.mazza-hamburg.de/"
"Ritterstr. 16, 22089 Hamburg Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly","Vegan Options",,,,,,,,,"1320","840",,,,,,,,,,,"900","720","1380","1050",,,"900","720","1380","1050",,,"900","720","1380","1050",,,"900","720","1380","1050",,,"1380","1050",,,,,"1342521","false","false","53.56745","10.044734","Trattoria Italiana Adriano Giordano","81","+49 40 27148350","$$ - $$$","3226","354","#324 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1342521-Reviews-Trattoria_Italiana_Adriano_Giordano-Hamburg.html","http://www.trattoriaitaliana.de/"
"Alsterdorfer Str. 262, 22297 Hamburg Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Asian","Chinese","Cafe","Seafood","Soups","Vegetarian Friendly","Vegan Options",,,,,"info@fulurestaurant.de","1320","720",,,,,"900","720","1320","1020",,,"900","720","1320","1020",,,"900","720","1320","1020",,,"900","720","1320","1020",,,"900","720","1320","1020",,,"1320","720",,,,,"7717313","false","false","53.60758","10.006524","Fulu China Restaurant","51","+49 40 84600766","$$ - $$$","3226","351","#321 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d7717313-Reviews-Fulu_China_Restaurant-Hamburg.html","http://fulurestaurant.de"
"Schulterblatt 3, 20357 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Chinese","Sushi","Asian","Thai","Korean","Vegetarian Friendly","Vegan Options",,,,,"hallo@bokrestaurant.de","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"5518482","false","false","53.559315","9.964071","Bok Restaurant Hamburg Schulterblatt","94","+49 40 43190070","$$ - $$$","3226","352","#322 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d5518482-Reviews-Bok_Restaurant_Hamburg_Schulterblatt-Hamburg.html","http://www.bokrestaurant.de"
"Weidenallee 57, 20357 Hamburg Germany","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"4756608","false","false","53.568043","9.964354","Trattoria da Leandro","81","+49 40 87603068","$$ - $$$","3226","355","#325 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d4756608-Reviews-Trattoria_da_Leandro-Hamburg.html",
"Susannenstr. 6, 20357 Hamburg Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1343387","false","false","53.562065","9.962776","Moraba","91",,"$$ - $$$","3226","360","#330 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1343387-Reviews-Moraba-Hamburg.html","https://www.facebook.com/MorabaSusannenstrasse/"
"Karolinenstr. 30 Karoviertel, 20357 Hamburg Germany","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Hawaiian","Vegetarian Friendly","Vegan Options",,,,,,,,,"Info@maui-poke.de","1200","750",,,,,"1200","690",,,,,"1200","690",,,,,"1200","690",,,,,"1200","690",,,,,"1200","690",,,,,"1200","750",,,,,"13226367","false","false","53.559948","9.975597","Maui Poke Guys","35","+49 40 30742687","$$ - $$$","3226","353","#323 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d13226367-Reviews-Maui_Poke_Guys-Hamburg.html","http://Maui-poke.de"
"Neumuehlen 50, 22763 Hamburg Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@das-weisse-haus.de","900","0","1380","1020",,,,,,,,,"900","0","1380","1020",,,"900","0","1380","1020",,,"900","0","1380","1020",,,"900","0","1380","1020",,,"900","0","1380","1020",,,"1495571","false","false","53.54447","9.915178","Das Weisse Haus","150","+49 40 3909016","$$$$","3226","305","#278 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1495571-Reviews-Das_Weisse_Haus-Hamburg.html","http://das-weisse-haus.de/"
"Isestr. 77, 20149 Hamburg Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","German","European","Central European","Vegetarian Friendly",,,,,,,,"info@tiefenthal-hh.de","1440","600",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1500","690",,,,,"1500","690",,,,,"1500","600",,,,,"2097170","false","false","53.583603","9.98568","Tiefenthal Bar Restaurant","118","+49 40 46961672","$$ - $$$","3226","303","#276 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d2097170-Reviews-Tiefenthal_Bar_Restaurant-Hamburg.html","http://www.tiefenthal-hh.de/"
"Kleine Seilerstr. 1, 20359 Hamburg Germany","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Korean","Barbecue","Vegetarian Friendly","Vegan Options",,,,,,,,"1380","1020",,,,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"14798322","false","false","53.55061","9.967381","Hanmi","46","+49 40 78010777","$$ - $$$","3226","308","#281 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d14798322-Reviews-Hanmi-Hamburg.html","http://www.hanmi.de/"
"Johannes-Brahms-Platz 11, 20355 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,"1380","720",,,,,"900","720","1380","1080",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"1380","1080",,,,,"2448302","false","false","53.555176","9.980206","Toto & Malta","98","+49 40 35016420","$$ - $$$","3226","309","#282 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d2448302-Reviews-Toto_Malta-Hamburg.html","http://toto-malta.de/index.php"
"Schulterblatt 12, 20357 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Mexican","Southwestern","Fast Food","Central American","Vegetarian Friendly","Vegan Options",,,,,,"info@jimburrito.de","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","720",,,,,"1340953","false","false","53.55997","9.963612","Jim Burrito's cantina","131","+49 40 30225690","$","3226","301","#274 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1340953-Reviews-Jim_Burrito_s_cantina-Hamburg.html","https://www.facebook.com/JIMBURRITO/"
"Harburger Schlossstr. 22, 21079 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Central European","Vegetarian Friendly","Vegan Options",,,,,,,"info@rollercoaster-hamburg.de","1380","690",,,,,,,,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","690",,,,,"1380","690",,,,,"1898033","false","false","53.46456","9.984747","Rollercoaster Restaurant Hamburg","402","+49 40 89721310","$$ - $$$","3226","310","#283 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1898033-Reviews-Rollercoaster_Restaurant_Hamburg-Hamburg.html","http://www.rollercoaster-hamburg.de"
"Sternschanze 6 Moevenpick Hotel Hamburg, 20357 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Central European","German","European","Vegetarian Friendly",,,,,,,,"hotel.hamburg@moevenpick.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"2190893","false","false","53.56459","9.97055","Moevenpick Restaurant","99","+49 40 3344113340","$$ - $$$","3226","302","#275 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d2190893-Reviews-Moevenpick_Restaurant-Hamburg.html","http://www.moevenpick-hamburg.com"
"Monckebergstrasse 7 Levantehaus, 1. Etage, 20095 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","Healthy","German","European","Diner","Soups","Vegetarian Friendly","Vegan Options",,,,"kontakt@diegenusshelden.de",,,,,,,"1140","570",,,,,"1140","570",,,,,"1140","570",,,,,"1140","570",,,,,"1230","570",,,,,"1140","540",,,,,"12882448","false","false","53.551205","10.003294","Genusshelden","34","+49 40 52157767","$","3226","307","#280 of 3,262 Restaurants in Hamburg","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d12882448-Reviews-Genusshelden-Hamburg.html","http://www.diegenusshelden.de"
"Max-Brauer-Allee 12, 22765 Hamburg Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Spanish","European","Vegetarian Friendly",,,,,,,,,,,,,,,"2160","1080",,,,,"2160","1080",,,,,"2160","1080",,,,,"2160","1080",,,,,"2160","1080",,,,,"2160","1080",,,,,"942857","false","false","53.547173","9.936206","barcelona tapas","90","+49 40 38083635","$$ - $$$","3226","306","#279 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d942857-Reviews-Barcelona_tapas-Hamburg.html","http://www.barcelonatapas.de"
"Grosse Rainstr. 21, 22765 Hamburg Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options",,,,,,,,"hallo@dasknuth.com","1200","600",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1887082","false","false","53.553047","9.931126","Cafe Bar Knuth","109","+49 40 46008708","$$ - $$$","3226","304","#277 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1887082-Reviews-Cafe_Bar_Knuth-Hamburg.html","http://cafeknuth.com/"
"Neuer Jungfernstieg 9-14, 20354 Hamburg Germany","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","European",,,,,,,,,,"hamburg@fairmont.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3443883","false","false","53.555286","9.991722","Wohnhalle","77","+49 40 34943317","$$$$","3226","320","#293 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d3443883-Reviews-Wohnhalle-Hamburg.html","http://www.hvj.de/de/wohnhalle.php"
"Vorsetzen 70, 20459 Hamburg Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Seafood","European","Portuguese","Central European","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,"info@galego.de","1320","840",,,,,"1380","1020",,,,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","900",,,,,"1355809","false","false","53.54418","9.976406","Tasquinha Galego","139","+49 40 35629360","$$ - $$$","3226","312","#285 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1355809-Reviews-Tasquinha_Galego-Hamburg.html","http://www.galego.de"
"Stephansplatz 10, 20354 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,,,,,,,"restaurant","German","Seafood","European","Central European","Vegetarian Friendly",,,,,,,"info@tarantella.cc",,,,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"1341249","false","false","53.558678","9.989978","Tarantella","214","+49 40 65067790","$$$$","3226","318","#291 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1341249-Reviews-Tarantella-Hamburg.html","http://www.tarantella.cc/"
"Bugenhagenstr. 23, 20095 Hamburg Germany","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Vegetarian Friendly",,,,,,,,,,,"1290","750",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"14927259","false","false","53.55057","10.001919","Shiso Burger","57","+49 40 30927791","$$ - $$$","3226","317","#290 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d14927259-Reviews-Shiso_Burger-Hamburg.html","http://Shisoburger.com"
"Pinnasberg 60 St.Pauli, 20359 Hamburg Germany","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar",,,,,,,,,,,"bar@christiansens.de",,,,,,,"1560","1200",,,,,"1560","1200",,,,,"1560","1200",,,,,"1560","1200",,,,,"1680","1200",,,,,"1710","1200",,,,,"1038799","false","false","53.546364","9.953967","Christiansen's Fine Drinks & Cocktails","90","+49 40 3172863","$$ - $$$","3226","313","#286 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1038799-Reviews-Christiansen_s_Fine_Drinks_Cocktails-Hamburg.html","http://www.christiansens.de"
"Mittelweg 121B ihr verwechselt Zwick Pöseldorf mit Zwick St. Pauli, 20148 Hamburg Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","German","Pub","Vegetarian Friendly",,,,,,,,"1800","1140",,,,,"1800","1140",,,,,"1800","1140",,,,,"1800","1140",,,,,"1800","1140",,,,,"1800","1140",,,,,"1800","1140",,,,,"718877","false","false","53.55079","9.969582","Zwick","152","+49 40 443267","$$ - $$$","3226","314","#287 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d718877-Reviews-Zwick-Hamburg.html","http://www.zwick4u.com/"
"Adlerhorst 18, 22459 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","Vegetarian Friendly",,,,,,,,,"laterrazza@hotmail.de","1320","780",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1346217","false","false","53.632298","9.955936","La Terrazza","42","+49 40 56009241","$$ - $$$","3226","319","#292 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1346217-Reviews-La_Terrazza-Hamburg.html","https://www.facebook.com/pages/Ristorante-La-Terrazza/319373098158602?sk=info&tab=overview"
"Carsten-Rehder-Str. 62, 22767 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1680","660",,,,,"1680","660",,,,,"1343414","false","false","53.544518","9.946315","Zum Schellfischposten","173","+49 40 383422","$","3226","311","#284 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d1343414-Reviews-Zum_Schellfischposten-Hamburg.html","http://www.schellfischposten.de/"
