"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Kuehbachstr. 4 Hans Mielich Platz München, 81543 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Vegetarian Friendly",,,,,,,,,,,,"likavitos@hotmail.de","1320","720",,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,"1039714","false","false","48.11641","11.57114","Taverne Likavitos - Griechisches Restaurant","57","+49 89 657288","$$ - $$$","3187","352","#327 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039714-Reviews-Taverne_Likavitos_Griechisches_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.taverna-likavitos.com"
"Regerplatz 2, 81541 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","Vegetarian Friendly","Vegan Options",,,,,,,,,,"au@hansimglueck-burgergrill.de","1260","720",,,"840","720","1260","1020",,,"840","720","1260","1020",,,"840","720","1260","1020",,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,"7804852","false","false","48.124096","11.587883","HANS IM GLUECK Burgergrill & Bar","98","+49 89 89648283","$$ - $$$","3187","354","#328 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7804852-Reviews-HANS_IM_GLUECK_Burgergrill_Bar-Munich_Upper_Bavaria_Bavaria.html","https://hansimglueck-burgergrill.de/standort/muenchen-regerplatz/?utm_source=extnet&utm_medium=yext&utm_campaign=8"
"Viktualienmarkt Abteilung III/Stand 3/26, 80331 Munich, Bavaria Germany","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"servus@kaffee-muenchen.de",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,"6663066","false","false","48.134647","11.576265","Kaffeerosterei Viktualienmarkt","60","+49 89 2609086","$$ - $$$","3187","353","#12 of 229 Coffee & Tea in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d6663066-Reviews-Kaffeerosterei_Viktualienmarkt-Munich_Upper_Bavaria_Bavaria.html","http://www.kaffee-muenchen.de"
"Karlstr. 27, 80333 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Lebanese","Middle Eastern","Arabic","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,"info@restaurant-baalbek.de",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1020",,,"9869982","false","false","48.143677","11.564188","Restaurant Baalbek","201","+49 89 21931908","$$ - $$$","3187","359","#333 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d9869982-Reviews-Restaurant_Baalbek-Munich_Upper_Bavaria_Bavaria.html","http://restaurant-baalbek.de/"
"Schellingstr. 62, 80799 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,,,,,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110","1604985","false","false","48.151432","11.572061","Osteria Italiana","355",,"$$$$","3187","355","#329 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1604985-Reviews-Osteria_Italiana-Munich_Upper_Bavaria_Bavaria.html","http://osteria.de/"
"Buttermelcherstr. 17, 80469 Munich, Bavaria Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"info@siggis.jetzt","1380","600",,,,,,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1440","690",,,,,"1440","600",,,"12806049","false","false","48.135166","11.579736","SIGGIS vegan & fresh food","74","+49 89 24292033","$$ - $$$","3187","357","#331 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d12806049-Reviews-SIGGIS_vegan_fresh_food-Munich_Upper_Bavaria_Bavaria.html","http://siggis.jetzt/"
"Lenbachplatz 8, 80333 Munich, Bavaria Germany","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,,,"1260","720",,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,"1520135","false","false","48.1402","11.567706","L'Osteria Munchen Kunstlerhaus","1315","+49 89 99019810","$$ - $$$","3187","356","#330 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1520135-Reviews-L_Osteria_Munchen_Kunstlerhaus-Munich_Upper_Bavaria_Bavaria.html","https://losteria.net/de/restaurants/restaurant/muenchen-kuenstlerhaus/?utm_source=ExtNet&utm_medium=Yext"
"Schlotthauerstr. 16, 81541 Munich, Bavaria Germany","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","Vegetarian Friendly",,,,,,,,,,,,"1380","1080",,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,"1934070","false","false","48.123096","11.577765","La Fattoria","81","+49 89 62231496","$$ - $$$","3187","358","#332 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1934070-Reviews-La_Fattoria-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/pages/La-Fattoria/249243738545743"
"Augustenstr. 47a, 80333 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,,,,"sunyu19890302@hotmail.com","1320","660",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,"7251859","false","false","48.148663","11.562625","GYOZABAR","87","+49 203 46647","$","3187","404","#374 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7251859-Reviews-GYOZABAR-Munich_Upper_Bavaria_Bavaria.html","http://www.gyozabar.de/"
"Friedrichstr. 27, 80801 Munich, Bavaria Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","German","Bar","Central European","Vegetarian Friendly",,,,,,,,,,"info@heimwerk-restaurant.de","1380","690",,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1440","690",,,,,"1440","690",,,"10449562","false","false","48.159943","11.580065","HeimWerk Schwabing","92","+49 89 21896104","$$ - $$$","3187","419","#389 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10449562-Reviews-HeimWerk_Schwabing-Munich_Upper_Bavaria_Bavaria.html","http://www.heimwerk-restaurant.de/"
"Willibaldstr. 24, 80689 Munich, Bavaria Germany","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Mediterranean","Vegetarian Friendly",,,,,,,,,,,"taverna.anemos@gmail.com","870","690","1380","1050",,,,,,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050","7999065","false","false","48.13995","11.48735","Taverna Anemos","49","+49 89 574448","$$ - $$$","3187","414","#384 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7999065-Reviews-Taverna_Anemos-Munich_Upper_Bavaria_Bavaria.html","http://www.taverna-anemos.de"
"Konradstr. 1, 80801 Munich, Bavaria Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,,,"restaurant","European","French","Vegetarian Friendly",,,,,,,,,,,"Le-Cezanne@gmx.de","1440","1110",,,,,,,,,"1440","1110",,,,,"1440","1110",,,,,"1440","1110",,,,,"1440","1110",,,,,"1440","1110",,,"1039672","false","false","48.155926","11.576111","Le Cezanne","86","+49 89 391805","$$ - $$$","3187","421","#391 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039672-Reviews-Le_Cezanne-Munich_Upper_Bavaria_Bavaria.html","http://www.le-cezanne.de"
"Karlstr. 10, 80333 Munich, Bavaria Germany","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,,,,"1440","690",,,,,"1500","690",,,,,"1500","690",,,,,"1500","690",,,,,"1500","690",,,,,"1500","1080",,,"11801364","false","false","48.14283","11.567497","Hoiz Neo - Brasserie","116","+49 89 28808809","$$ - $$$","3187","418","#388 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d11801364-Reviews-Hoiz_Neo_Brasserie-Munich_Upper_Bavaria_Bavaria.html","http://www.hoiz.restaurant/"
"Schwanthalerstr. 37, 80336 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,,"courtyard.munich@courtyard.com","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"3749809","false","false","48.137253","11.559436","Oleo Pazzo","136","+49 89 54884880","$$ - $$$","3187","416","#386 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d3749809-Reviews-Oleo_Pazzo-Munich_Upper_Bavaria_Bavaria.html","http://oleopazzo-muenchen.com"
"Gysslingstr. 59, 80805 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","German","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2284938","false","false","48.166946","11.607649","Mini Hofbrauhaus im Englischen Garten","112","+49 89 36100880","$","3187","412","#382 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2284938-Reviews-Mini_Hofbrauhaus_im_Englischen_Garten-Munich_Upper_Bavaria_Bavaria.html","http://www.minihofbraeuhaus.de/"
"Schloss Nymphenburg 30 Südliches Schlossrondell 28, 80638 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,,,"restaurant","German","Central European","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"mail@schlosswirtschaft-schwaige.de","1440","660",,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,"1503917","false","false","48.15556","11.50574","Schlosswirtschaft Schwaige","349","+49 89 12020890","$$ - $$$","3187","413","#383 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1503917-Reviews-Schlosswirtschaft_Schwaige-Munich_Upper_Bavaria_Bavaria.html","http://www.schlosswirtschaft-schwaige.de"
"Kapuzinerstr. 48, 80469 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,,,,,"francesco.gaudino97@gmail.com",,,,,"900","660","1320","1080",,,"900","660","1320","1080",,,"900","660","1320","1080",,,"900","660","1320","1080",,,"900","660","1320","1080",,,,,,,"799154","false","false","48.123837","11.565512","Il Piccolo Principe","91","+49 89 7213450","$$ - $$$","3187","420","#390 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d799154-Reviews-Il_Piccolo_Principe-Munich_Upper_Bavaria_Bavaria.html","http://www.facebook.com/ilpiccoloprincipemuenchen/"
"Nymphenburger Str. 215, 80639 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,"info@restaurant-acetaia.de","870","720","1350","1110","870","720","1350","1110",,,"870","720","1350","1110",,,"870","720","1350","1110",,,"870","720","1350","1110",,,"870","720","1350","1110",,,"1350","1110",,,"695486","false","false","48.158184","11.527214","Acetaia","160","+49 89 13929077","$$$$","3187","415","#385 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d695486-Reviews-Acetaia-Munich_Upper_Bavaria_Bavaria.html","http://www.restaurant-acetaia.de"
"Elsenheimerstr. 26, 80687 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vietnamese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"restaurant@hoa-quynh.de",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1020",,,,,"1320","1020",,,"1907254","false","false","48.138687","11.520428","Restaurant Hoa Quynh","57","+49 89 57877659","$$ - $$$","3187","417","#387 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1907254-Reviews-Restaurant_Hoa_Quynh-Munich_Upper_Bavaria_Bavaria.html","http://www.hoa-quynh.de/"
"Kleinhesselohe 3, 80802 Munich, Bavaria Germany","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,,,"restaurant","German","European","Soups","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"seehaus@kuffler.de","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"958072","false","false","48.160336","11.597988","Seehaus im Englischen Garten","706","+49 89 3816130","$$ - $$$","3187","424","#394 of 3,168 Restaurants in Munich","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d958072-Reviews-Seehaus_im_Englischen_Garten-Munich_Upper_Bavaria_Bavaria.html","https://www.kuffler.de/de/restaurant/seehaus/"
"Schmellerstr. 14, 80337 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","European","Vegetarian Friendly",,,,,,,,,,,,"1500","1020",,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,"1039600","false","false","48.12453","11.55385","Anesis","54","+49 89 762805","$$ - $$$","3187","425","#395 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039600-Reviews-Anesis-Munich_Upper_Bavaria_Bavaria.html","http://www.sueddeutsche.de/muenchen/anesis-olivenoel-und-lederhosen-1.573660-2"
"Ottobrunner Str. 135, 81737 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","German","European","International","Vegetarian Friendly",,,,,,,,,,"info@der-hufnagel.de","1380","600",,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","600",,,"964396","false","false","48.10126","11.62869","Der Hufnagel","131","+49 89 67974242","$$ - $$$","3187","422","#392 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d964396-Reviews-Der_Hufnagel-Munich_Upper_Bavaria_Bavaria.html","http://www.der-hufnagel.de"
"Schmellerstr. 23, 80337 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","European","Central European","German","Vegetarian Friendly","Vegan Options",,,,,,,,,"post@goldmarie-muenchen.de",,,,,"900","720","1440","1080",,,"900","720","1440","1080",,,"900","720","1440","1080",,,"900","720","1440","1080",,,"900","720","1440","1080",,,"1440","1080",,,"2022480","false","false","48.12569","11.551286","Goldmarie","117","+49 89 51669272","$$ - $$$","3187","427","#397 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2022480-Reviews-Goldmarie-Munich_Upper_Bavaria_Bavaria.html","http://www.goldmarie-muenchen.de/"
