"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Kongsveien 94, Oslo 1177 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","French","Cafe","Vegetarian Friendly",,,,,,,,,,,,"post@apentbakeri.no","960","540",,,"1020","450",,,,,"1020","450",,,,,"960","450",,,,,"960","450",,,,,"960","450",,,,,"960","540",,,,,"8077927","false","false","59.88193","10.784206","Apent Bakeri","30","+47 940 14 277","$$ - $$$","1304","351","#7 of 16 Bakeries in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8077927-Reviews-Apent_Bakeri-Oslo_Eastern_Norway.html","http://www.apentbakeri.no/"
"Mariboes gate 7B, Oslo 0183 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Contemporary","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"post@arakataka.no","1260","960",,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1380","960",,,,,"1380","960",,,,,"810166","false","false","59.916367","10.750623","Arakataka","602","+47 23 32 83 00","$$$$","1304","53","#51 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d810166-Reviews-Arakataka-Oslo_Eastern_Norway.html","http://www.arakataka.no/"
"Youngs gate 19, Oslo 0181 Norway","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13803705","false","false","59.915142","10.750103","Girotondo","56","+47 23 65 32 70","$$ - $$$","1304","352","#315 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d13803705-Reviews-Girotondo-Oslo_Eastern_Norway.html","http://www.facebook.com/Girotondo-406931223074693/"
"Opplandgata 19, Oslo 0657 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","European","Scandinavian","Norwegian","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,,"smiapost@smiagalleri.no","1260","780",,,,,,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"1320","780",,,,,"814231","false","false","59.90645","10.785354","Smia Galleri","255","+47 22 19 59 20","$$ - $$$","1304","58","#55 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d814231-Reviews-Smia_Galleri-Oslo_Eastern_Norway.html","http://Www.smiagalleri.no"
"Universitetsgata 11, Oslo 0164 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2013","2013",,,,,,,,,"restaurant","European","Scandinavian","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"eik@restauranteik.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"780725","false","false","59.916668","10.738334","Restaurant Eik","350","+47 22 36 07 10","$$$$","1304","54","#52 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d780725-Reviews-Restaurant_Eik-Oslo_Eastern_Norway.html","http://www.restauranteik.no/"
"Schweigaards gate 54A, Oslo 0656 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,"post@ilprofessore.no","1230","840",,,,,,,,,"1290","840",,,,,"1290","840",,,,,"1290","840",,,,,"1290","840",,,,,"1290","840",,,,,"18139424","false","false","59.90845","10.769072","Il Professore Ristorante Italiano","108","+47 950 09 200","$$ - $$$","1304","55","#53 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d18139424-Reviews-Il_Professore_Ristorante_Italiano-Oslo_Eastern_Norway.html","http://www.ilprofessore.no"
"Jernbanetorget 6, Oslo 0154 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"byporten@egon.no","1380","420",,,"1380","390",,,,,"1380","390",,,,,"1380","390",,,,,"1380","390",,,,,"1410","390",,,,,"1410","420",,,,,"1057663","false","false","59.911915","10.751022","Egon Byporten","971","+47 23 36 20 46","$$ - $$$","1304","359","#19 of 68 Quick Bites in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1057663-Reviews-Egon_Byporten-Oslo_Eastern_Norway.html","http://egon.no/restauranter/byporten"
"Lille Stranden 10, Oslo 0252 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","American","Bar","Diner","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"post@dognvilltjuvholmen.no","1260","780",,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,,,"8114698","false","false","59.908333","10.723659","Dognvill Burger Tjuvholmen","705","+47 22 83 00 01","$$ - $$$","1304","57","#54 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8114698-Reviews-Dognvill_Burger_Tjuvholmen-Oslo_Eastern_Norway.html","http://dognvillburger.no/meny/"
"Vulkan 5 Mathallen Oslo, Oslo 0178 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Seafood","Scandinavian","Norwegian","Gluten Free Options",,,,,,,,,,,"booking@vulkanfisk.no","1140","660",,,,,,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1320","660",,,,,"1320","660",,,,,"4458199","false","false","59.922104","10.751861","VulkanFisk","601","+47 21 39 69 58","$$ - $$$","1304","59","#56 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d4458199-Reviews-VulkanFisk-Oslo_Eastern_Norway.html","http://www.vulkanfisk.no"
"Thorvald Meyers gate 65, Oslo 0181 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","French","Cafe","European","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"kontakt@creperiedemari.no","1260","690",,,"1140","720",,,,,"1140","720",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"3436051","false","false","59.921528","10.759141","Creperie de Mari","205","+47 464 41 626","$$ - $$$","1304","56","#2 of 24 Dessert in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3436051-Reviews-Creperie_de_Mari-Oslo_Eastern_Norway.html","http://creperiedemari.no"
"Kristian Augusts gate 14, Oslo 0164 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","European","Healthy","Scandinavian","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"bestilling.elias@gmail.com","1380","1020",,,"1380","1020",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"3415845","false","false","59.916325","10.738725","Elias Mat & Sant","1395","+47 22 20 22 21","$$ - $$$","1304","60","#57 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3415845-Reviews-Elias_Mat_Sant-Oslo_Eastern_Norway.html","http://www.cafeelias.no/nb"
"Dronning Eufemias gate 14, Oslo 0191 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","European","Fusion","Scandinavian","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"STOCK@STOCKOSLO.NO",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","720",,,,,"8773479","false","false","59.90808","10.757887","Stock Restaurant","264","+47 21 09 03 09","$$ - $$$","1304","51","#49 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8773479-Reviews-Stock_Restaurant-Oslo_Eastern_Norway.html","http://www.stockoslo.no/"
"Loevenskiolds gate 26, Oslo 0260 Norway","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Norwegian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"briskeby@bolgenogmoi.no","1439","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495733","false","false","59.922314","10.715524","Bolgen & Moi Briskeby","183","+47 24 11 53 53","$$ - $$$","1304","354","#317 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1495733-Reviews-Bolgen_Moi_Briskeby-Oslo_Eastern_Norway.html","http://www.bolgenogmoi.no/"
"Underhaugsveien 2, Oslo 0354 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","European","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"1440","600",,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"3419185","false","false","59.925407","10.730547","Cafe Laundromat","224","+47 21 38 36 29","$$ - $$$","1304","357","#320 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3419185-Reviews-Cafe_Laundromat-Oslo_Eastern_Norway.html","http://www.laundromat.no/"
"Fredensborgveien 13, Oslo 0177 Norway","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Bar","Pizza","European","Gastropub","Vegetarian Friendly","Vegan Options",,,,,,,,,"post@dengode.no","1500","780",,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","780",,,,,"1500","780",,,,,"2315500","false","false","59.91829","10.747192","Den Gode Kafe","88","+47 22 20 34 55","$","1304","358","#321 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d2315500-Reviews-Den_Gode_Kafe-Oslo_Eastern_Norway.html","http://www.dengode.no/"
"Ullevaalsveien 81, Oslo 0454 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","French","European","Norwegian","Vegetarian Friendly",,,,,,,,,,"kontakt@dekkabord.no",,,,,,,,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1500","960",,,,,"1500","960",,,,,"13908338","false","false","59.931744","10.735417","Dekka Bord","28","+47 957 92 843","$$ - $$$","1304","355","#318 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d13908338-Reviews-Dekka_Bord-Oslo_Eastern_Norway.html","http://www.dekkabord.no"
"Youngs gate 6, Oslo 0181 Norway","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"book@kulturhusetioslo.no","1440","660",,,"1440","480",,,,,"1650","480",,,,,"1650","480",,,,,"1650","480",,,,,"1650","480",,,,,"1620","660",,,,,"6685969","false","false","59.91464","10.750816","Kulturhuset i Oslo","106","+47 910 04 805","$$ - $$$","1304","403","#357 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d6685969-Reviews-Kulturhuset_i_Oslo-Oslo_Eastern_Norway.html","http://www.kulturhusetioslo.no"
"Kirkegata 30, Oslo 0153 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"shanghai2k18@hotmail.com",,,,,,,,,,,"1260","840",,,,,"1260","840",,,,,"1260","840",,,,,"1320","840",,,,,"1320","840",,,,,"13497919","false","false","59.911503","10.745104","Shanghai 2K18","194","+47 22 41 20 40","$$ - $$$","1304","52","#50 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d13497919-Reviews-Shanghai_2K18-Oslo_Eastern_Norway.html","http://www.shanghai2K18.no"
"Raadhusgata 28, Oslo 0151 Norway","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4325176","false","false","59.909832","10.740737","The Whisky Bar","47","+47 472 58 445","$$ - $$$","1304","356","#319 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d4325176-Reviews-The_Whisky_Bar-Oslo_Eastern_Norway.html","http://www.thewhiskybar.no"
"Bankplassen 1, Oslo 0151 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","European","Scandinavian","Norwegian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"post@engebret-cafe.no",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","900",,,,,"1045644","false","false","59.908886","10.742215","Engebret Cafe","743","+47 22 82 25 25","$$$$","1304","65","#62 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1045644-Reviews-Engebret_Cafe-Oslo_Eastern_Norway.html","http://engebret-cafe.no/"
"Kirkeveien 64b Majorstuen, Oslo 0364 Norway","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","American","Bar","Diner","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"nate@kverneriet.com","1320","720",,,"1320","960",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","720",,,,,"8024509","false","false","59.9292","10.714721","Kverneriet Majorstua","499","+47 906 00 333","$$ - $$$","1304","69","#66 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8024509-Reviews-Kverneriet_Majorstua-Oslo_Eastern_Norway.html","https://www.facebook.com/kvernerietmajorstua/"
"Ruseloekkveien 3 Vikaterrassen, Oslo 0251 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Japanese","Seafood","Sushi","Asian",,,,,,,,,,,"oslo@omakase.no",,,,,,,,,,,"1380","1155",,,,,"1380","1155",,,,,"1380","1155",,,,,"1380","1155",,,,,"1380","1155",,,,,"12429869","false","false","59.914104","10.728271","Omakase","76","+47 456 85 022","$$$$","1304","64","#61 of 1,280 Restaurants in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12429869-Reviews-Omakase-Oslo_Eastern_Norway.html","http://www.omakaseoslo.no/"
"Briskebyveien 22, Oslo 0259 Norway","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Healthy","Hawaiian","Seafood","European","Norwegian","Vegan Options","Vegetarian Friendly",,,,,,,"post@zawai.no","1200","720",,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1080","660",,,,,,,,,,,"14049338","false","false","59.919716","10.718233","Zawai Briskeby","58","+47 940 32 891","$","1304","68","#65 of 1,280 Restaurants in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d14049338-Reviews-Zawai_Briskeby-Oslo_Eastern_Norway.html","http://www.zawai.no"
"Torggata 32, Oslo 0183 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Bar","European","Pub","International",,,,,,,,,,,,"1440","900",,,"1620","900",,,,,"1620","900",,,,,"1620","900",,,,,"1620","900",,,,,"1620","900",,,,,"1620","900",,,,,"3724405","false","false","59.9172","10.753415","Crowbar og Bryggeri","263","+47 21 38 67 57","$$ - $$$","1304","63","#60 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3724405-Reviews-Crowbar_og_Bryggeri-Oslo_Eastern_Norway.html","http://crowbryggeri.com/"
"Oscars gate 81, Oslo 0256 Norway","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"oscarsgate@Jewelofindia.no","1260","900",,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"799643","false","false","59.91583","10.716822","Jewel of India","469","+47 22 55 39 29","$$ - $$$","1304","67","#64 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d799643-Reviews-Jewel_of_India-Oslo_Eastern_Norway.html","http://www.jewelofindia.no"
