"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"7 Vasagatan 11120, Stockholm 111 20 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Steakhouse","Bar","Barbecue",,,,,,,,,,,,,,,,,,"840","660","1380","1020",,,"840","660","1380","1020",,,"840","660","1500","1020",,,"840","660","1500","1020",,,"840","660","1620","960",,,"1620","720",,,,,"3225028","false","false","59.331993","18.058079","The Meat","267","+46 8 23 80 40","$$ - $$$","3012","415","#363 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d3225028-Reviews-The_Meat-Stockholm.html","http://www.themeat.se"
"Lunda 21 A Cateringforetag Och Matproduktion, Rorby 2 Lunda 21 A Cateringföretag Och Matproduktion, Rörby 2, Stockholm 178 93 Sweden","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly",,,,,,,,,,,,,"lovomagasin@gmail.com","1020","660",,,,,,,,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"6922769","false","false","59.330605","17.850363","Lovo Magasin","66","+46 70 444 16 45","$$ - $$$","3012","410","#358 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6922769-Reviews-Lovo_Magasin-Stockholm.html","http://www.lovomagasin.se/"
"Hagagatan 4, Stockholm 11348 Sweden","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"hello@greasyspoon.se","1020","540",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"1020","540",,,,,"12222855","false","false","59.34424","18.052752","Greasy Spoon - Odenplan","141","+46 70 052 94 94","$$ - $$$","3012","413","#361 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12222855-Reviews-Greasy_Spoon_Odenplan-Stockholm.html","http://www.greasyspoon.se"
"Skomakargatan 9 Old Town, Stockholm 111 29 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Street Food","Swedish","European","Scandinavian","Vegetarian Friendly","Vegan Options",,,,,,,"info@coffeestop.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10288657","false","false","59.32444","18.070824","Coffee Stop","40","+46 8 23 39 99","$$ - $$$","3012","417","#365 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d10288657-Reviews-Coffee_Stop-Stockholm.html","https://www.facebook.com/coffeestopsweden/timeline"
"19 Tegnergatan, Stockholm 111 40 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Caribbean","Latin","Cuban","Central American","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"789755","false","false","59.33997","18.061508","Paladar De Cuba","136","+46 8 21 22 52","$$ - $$$","3012","414","#362 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d789755-Reviews-Paladar_De_Cuba-Stockholm.html","http://www.paladar.se"
"Sofiagatan 1 Södermannagatan 31, Stockholm 116 40 Sweden","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Greek","Grill","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,"info@faros.se","1380","720",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","780",,,,,"810137","false","false","59.31144","18.081558","Faros","176","+46 8 442 14 14","$$ - $$$","3012","411","#359 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d810137-Reviews-Faros-Stockholm.html","http://faros.se/#boka-bord"
"Torbjorn Klockares Gata 1, Stockholm 11330 Sweden","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Pizza","International","Barbecue","Swedish","Caucasian","Vegetarian Friendly",,,,,,,,"info@restaurangmarcos.se",,,,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"8343762","false","false","59.344276","18.033762","Marco's","70","+46 8 30 55 33","$$ - $$$","3012","419","#367 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d8343762-Reviews-Marco_s-Stockholm.html","http://restaurangmarcos.se"
"2 Kryssargatan, Stockholm 120 63 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","American","Steakhouse","Barbecue","Vegetarian Friendly",,,,,,,,,,"sjostaden@texaslonghorn.se","1260","780",,,,,"840","660","1260","1020",,,"840","660","1320","1020",,,"840","660","1320","1020",,,"840","660","1320","1020",,,"840","660","1320","1020",,,"1320","780",,,,,"1153378","false","false","59.30507","18.089926","Texas Longhorn Hammarby Sjostad","125","+46 8 642 41 20","$$ - $$$","3012","412","#360 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1153378-Reviews-Texas_Longhorn_Hammarby_Sjostad-Stockholm.html","https://www.texaslonghorn.se/hammarbysjostad"
"Kommendorsgatan 7, Stockholm 114 48 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Bar","European","Swedish","Vegetarian Friendly",,,,,,,,,,"info@kommendoren.se","1380","300",,,,,"1435","690",,,,,"1435","690",,,,,"1500","690",,,,,"1500","690",,,,,"1500","690",,,,,,,,,,,"7195580","false","false","59.33913","18.077318","Kommendoren","130","+46 8 661 67 00","$$ - $$$","3012","418","#366 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7195580-Reviews-Kommendoren-Stockholm.html","http://www.kommendoren.se/kontakt"
"Bergsunds Strand 51, Stockholm 117 38 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12438523","false","false","59.31591","18.03285","Shaka Shaka","30",,"$$ - $$$","3012","416","#364 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12438523-Reviews-Shaka_Shaka-Stockholm.html","http://www.shakashaka.se"
"4 Nils Ericsons Plan RBG Radisson Blu Waterfront Hotel, Stockholm 111 64 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","International","European",,,,,,,,,,,,"rbg.stockholm@radissonblu.com","720","420","960","780","1350","1020","600","390","840","690","1350","1020","600","390","840","690","1350","1020","600","390","840","690","1350","1020","600","390","840","690","1350","1020","600","390","840","690","1350","1020","720","420","1350","1020",,,"2095860","false","false","59.32984","18.056864","Stockholm Waterfront RBG","133","+46 8 505 064 12","$$ - $$$","3012","420","#368 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d2095860-Reviews-Stockholm_Waterfront_RBG-Stockholm.html","http://www.radissonhotels.com/en-us/hotels/radisson-blu-stockholm/restaurant-bar"
"Arstavagen 57, Stockholm 120 54 Sweden","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2014","2014",,,,,,,,,,,"restaurant","Fast Food","Middle Eastern","Vegetarian Friendly","Vegan Options","Gluten Free Options","Halal",,,,,,,,,"1260","660",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,,,,,,,"1380","660",,,,,"794411","false","false","59.297077","18.05016","Palmyra Kebab","196","+46 8 91 80 12","$","3012","424","#40 of 152 Quick Bites in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d794411-Reviews-Palmyra_Kebab-Stockholm.html","http://www.palmyrakebab.se"
"19 Brattforsgatan, Farsta 123 50 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","American","Fast Food","Vegetarian Friendly",,,,,,,,,,,,,,,,,,"1020","540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7130326","false","false","59.23722","18.101313","Bun Meat Bun","128","+46 8 120 591 65","$","23","1","#1 of 2 Quick Bites in Farsta","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g3442299-d7130326-Reviews-Bun_Meat_Bun-Farsta.html","http://www.bunmeatbun.se/"
"Runebergsgatan 1, Stockholm 114 29 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","German",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17691520","false","false","59.34085","18.067307","Sekt","29","+46 8 611 94 10","$$ - $$$","3012","428","#375 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17691520-Reviews-Sekt-Stockholm.html","http://sektrestaurang.se/"
"77 Oestermalmsgatan, Stockholm 114 50 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@ciaociaobutiken.com","1290","720",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","720",,,,,"8808749","false","false","59.34071","18.083708","Ciao Ciao Deli","52","+46 8 662 75 57","$$ - $$$","3012","422","#370 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d8808749-Reviews-Ciao_Ciao_Deli-Stockholm.html","http://www.ciaociaodeli.com"
"66 Vaesterlaanggatan, Stockholm 111 29 Sweden","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8093163","false","false","59.32331","18.071821","Corner Bar","136","+46 8 22 45 01","$","3012","426","#373 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d8093163-Reviews-Corner_Bar-Stockholm.html","https://www.facebook.com/pages/Corner-Bar/174934335981217"
"73 Goetgatan, Stockholm 116 62 Sweden","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,"restaurant","European","Swedish","Scandinavian","Vegetarian Friendly",,,,,,,,,,,"1380","780",,,,,"1380","600",,,,,"1380","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,,,,,,,"814893","false","false","59.311626","18.074661","Restaurang Axela","145","+46 8 642 19 21","$$ - $$$","3012","421","#369 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d814893-Reviews-Restaurang_Axela-Stockholm.html","http://www.axela.se"
"Arkitektur och Designcentrum Exercisplan 4, Stockholm 1149 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"Info@fiestacatering.se","1020","660",,,,,,,,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"6982599","false","false","59.325836","18.085186","Cafe Blom","68","+46 8 527 546 50","$$ - $$$","3012","425","#372 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6982599-Reviews-Cafe_Blom-Stockholm.html","http://www.cafeblom.se"
"48 Sveavaegen, Stockholm 111 34 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Swedish","Scandinavian","European","Gluten Free Options","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6546924","false","false","59.33756","18.061724","Miss Clara by Nobis","193","+46 8 440 67 00","$$ - $$$","3012","427","#374 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6546924-Reviews-Miss_Clara_by_Nobis-Stockholm.html","http://missclarahotel.com"
"Norrlandsgatan 25, Stockholm 111 43 Sweden","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Chinese","Korean","Vegetarian Friendly","Vegan Options",,,,,,,"info@pongnorrlandsgatan.se",,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","720",,,,,"12362813","false","false","59.335808","18.071053","Pong Norrlandsgatan","71","+46 8 533 300 01","$$ - $$$","3012","423","#371 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12362813-Reviews-Pong_Norrlandsgatan-Stockholm.html","http://pongnorrlandsgatan.se"
"Odengatan 26, Stockholm 113 51 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,,,,"bokning@brasseriebalzac.se","1380","720",,,,,"1380","690",,,,,"1380","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","720",,,,,"9826175","false","false","59.345528","18.06117","Brasserie Balzac","268","+46 8 120 543 38","$$ - $$$","3012","436","#381 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d9826175-Reviews-Brasserie_Balzac-Stockholm.html","http://brasseriebalzac.se"
"Renstiernas Gata 19, Stockholm 116 31 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Swedish","Scandinavian","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@robindelseliusbageri.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11860923","false","false","59.315254","18.084154","Robin Delselius Bageri","41","+46 8 408 016 15","$$ - $$$","3012","429","#41 of 152 Quick Bites in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d11860923-Reviews-Robin_Delselius_Bageri-Stockholm.html","http://robindelseliusbageri.se"
"Blecktornsgrand 8 Mariatorget, Stockholm 118 24 Sweden","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Asian","Arabic","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"960","720",,,,,"10456858","false","false","59.31972","18.062754","A Bowl","46","+46 70 452 06 38","$","3012","431","#377 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d10456858-Reviews-A_Bowl-Stockholm.html","http://www.abowlpokepoke.com"
"Linnegatan 38, Stockholm Sweden","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food","Deli","Pub","Gastropub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15020375","false","false","59.3367","18.082245","bap - Burgers and Pastrami","78",,"$$ - $$$","3012","437","#382 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d15020375-Reviews-Bap_Burgers_and_Pastrami-Stockholm.html","http://www.facebook.com/burgerspastrami/"
"12 Sturegatan, Stockholm Sweden","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"stureplan@vapiano.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"801653","false","false","59.337425","18.074068","Vapiano Stureplan","909","+46 8 662 20 11","$$ - $$$","3012","433","#379 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d801653-Reviews-Vapiano_Stureplan-Stockholm.html","http://www.facebook.com/vapiano.stureplan"
"Atlasgatan 9, 113 20, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1906409","false","false","59.338326","18.038061","Il Forno","58","+46 8 31 90 49","$$ - $$$","3012","432","#378 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1906409-Reviews-Il_Forno-Stockholm.html","http://www.ilfornodagino.se/"
"40 Hantverkargatan, Stockholm 112 21 Sweden","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Spanish","Wine Bar","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1440","1020",,,,,"1440","720",,,,,"7007152","false","false","59.329346","18.039785","Xarcuteria","67","+46 8 410 490 02","$$ - $$$","3012","430","#376 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7007152-Reviews-Xarcuteria-Stockholm.html","http://www.xarcuteria.se/"
