"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"27 quai Saint Vincent, 69001 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","French","Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9604558","false","false","45.768147","4.822936","La Vida","66","+33 4 69 70 94 95","$","2669","417","#395 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d9604558-Reviews-La_Vida-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.restaurantlavida.fr"
"5 Grande rue Feuillants, 69001 Lyon France","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","French","European",,,,,,,,,,,,,,,,,,,,,"840","720","1440","1200",,,"840","720","1440","1200",,,"840","720","1440","1200",,,"840","720","1440","1200",,,"840","720","1440","1200",,,"1331723","false","false","45.770126","4.837174","La Boname de Bruno","176","+33 4 78 30 83 93","$$ - $$$","2669","419","#397 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d1331723-Reviews-La_Boname_de_Bruno-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.restaurant-labonamedebruno.com/"
"8 Place des Celestins, 69002 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Gastropub","French","European",,,,,,,"contact@bclyon.fr","900","720","1380","1125",,,"840","720","1380","1125",,,"840","720","1380","1125",,,"840","720","1380","1125",,,"840","720","1380","1125",,,"840","720","1380","1125",,,"900","720","1380","1125",,,"9587036","false","false","45.75953","4.831679","Brasserie Chavant","285","+33 4 78 37 38 64","$$$$","2669","414","#392 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d9587036-Reviews-Brasserie_Chavant-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.brasserie-chavant-lyon.fr/"
"84 rue Vendome, 69006 Lyon France","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly","Vegan Options",,,,,,"contact@risoamaro.fr",,,,,,,"900","600",,,,,"900","600",,,,,"900","600",,,,,"1380","600",,,,,"1380","600",,,,,"900","600",,,,,"3726815","false","false","45.768433","4.845079","Riso Amaro","68","+33 4 78 52 84 13","$$ - $$$","2669","416","#394 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d3726815-Reviews-Riso_Amaro-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.risoamaro.fr/"
"17 rue Neuve, 69001 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8719996","false","false","45.765247","4.835653","My Petite Factory","161","+33 4 78 80 54 56","$$ - $$$","2669","420","#398 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d8719996-Reviews-My_Petite_Factory-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://mypetitefactory.com"
"12 rue Pizay, 69001 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"2657883","false","false","45.766964","4.835314","Chez Hugon","319","+33 4 78 28 10 94","$$ - $$$","2669","415","#393 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d2657883-Reviews-Chez_Hugon-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.bouchonlyonnais.fr"
"163 boulevard de Stalingrad, 69006 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9464817","false","false","45.77057","4.858586","Le Bistrot du Potager #2","174","+33 4 78 93 19 75","$$ - $$$","2669","418","#396 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d9464817-Reviews-Le_Bistrot_du_Potager_2-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.lebistrotdupotager.com/actualites/index.html"
"58 rue Salomon Reinach, 69007 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8867680","false","false","45.75028","4.843333","Le Bouillon Paradis","114","+33 9 83 91 52 72","$","2669","413","#391 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d8867680-Reviews-Le_Bouillon_Paradis-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.facebook.com/lebouillonparadis"
"20 rue du Boeuf 20 Rue du Boeuf, 69005, 69005 Lyon France","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,"restaurant@lefrancoisvillon.fr","1185","660",,,,,"1185","1080",,,,,"1185","1080",,,,,"1185","1080",,,,,"1185","1080",,,,,"1185","1080",,,,,"1185","660",,,,,"1896509","false","false","45.762714","4.827115","Le Francois Villon","507","+33 4 78 68 58 81","$$ - $$$","2669","411","#389 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d1896509-Reviews-Le_Francois_Villon-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.lefrancoisvillon.fr/"
"2bis Rue Giuseppe Verdi, 69001 Lyon France","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,"restaurant","Italian","European",,,,,,,,"opera.bouffe.lyon@gmail.com",,,,,,,,,,,,,"810","720","1290","1170",,,"810","720","1290","1170",,,"810","720","1290","1170",,,"810","720","1350","1170",,,"825","720","1350","1170",,,"3672526","false","false","45.767","4.83652","L'Opera-bouffe","323","+33 4 78 30 64 02","$$ - $$$","2669","412","#390 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d3672526-Reviews-L_Opera_bouffe-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.opera-bouffe-lyon.fr"
"25 Montee Saint Barthelemy, 69005 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","French","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"florentine@relaischateaux.com",,,,,,,"1275","540",,,,,"795","720","1275","1170",,,"795","720","1275","1170",,,"795","720","1275","1170",,,"795","720","1275","1170",,,"795","720","1275","1170",,,"3727154","false","false","45.763023","4.826006","Les Terrasses de Lyon","809","+33 4 72 56 56 56","$$$$","2669","154","#149 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.villaflorentine.com/restaurant/944/restaurant-gastronomique-lyon-fourviere"
"44 rue Rachais, 69007 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Moroccan","Mediterranean","Middle Eastern","Vegetarian Friendly","Vegan Options","Halal",,,,"palaisdestajines@outlook.fr","1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"8808425","false","false","45.75106","4.85039","Le Palais Des Tajines","636","+33 6 51 26 66 87","$","2669","156","#151 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d8808425-Reviews-Le_Palais_Des_Tajines-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.facebook.com/Le-Palais-Des-Tajines-981028685289708"
"4 rue du Palais de Justice, 69005 Lyon France","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","French","American","Fast Food",,,,,,,"marcel@kingmarcel.com","1320","1080",,,,,"870","660","1320","1110",,,"870","660","1320","1110",,,"870","660","1320","1110",,,"870","660","1320","1110",,,"870","660","1320","1110",,,"900","660","1320","1080",,,"15004060","false","false","45.762215","4.828397","King Marcel Saint Jean-Lyon","89","+33 4 72 64 01 05","$$ - $$$","2669","160","#2 of 56 Quick Bites in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d15004060-Reviews-King_Marcel_Saint_Jean_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html","https://www.facebook.com/KingMarcelSAINTJEAN/"
"23 rue de Seze, 69006 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","French","European","Healthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10151231","false","false","45.76806","4.845555","Les Apothicaires","307","+33 4 26 02 25 09","$$ - $$$","2669","159","#154 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d10151231-Reviews-Les_Apothicaires-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.lesapothicairesrestaurant.com"
"66 rue Saint Jean, 69005 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","French",,,,,,,,,"hello@lafabriquegivree.com","1140","780",,,,,"1140","780",,,,,"1140","780",,,,,"1140","780",,,,,"1140","780",,,,,"1140","780",,,,,"1140","780",,,,,"8726768","false","false","45.76168","4.827131","La Fabrique Givree","233","+33 4 78 37 89 80","$$ - $$$","2669","151","#4 of 53 Dessert in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d8726768-Reviews-La_Fabrique_Givree-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.lafabriquegivree.com"
"11 rue Major Martin, 69001 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","French","European",,,,,,,,"contact@bouchonchezpaul.fr",,,,,,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"1867024","false","false","45.766666","4.832789","Chez Paul","1020","+33 4 78 28 35 83","$$ - $$$","2669","158","#153 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d1867024-Reviews-Chez_Paul-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.bouchonchezpaul.fr/"
"3 Place Neuve Saint Jean, 69005 Lyon France","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,,"840","720",,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"2264079","false","false","45.76269","4.827222","Le Comptoir du Boeuf","898","+33 4 78 92 82 35","$$ - $$$","2669","422","#399 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d2264079-Reviews-Le_Comptoir_du_Boeuf-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.comptoirduboeuf.com"
"50 rue Franklin, 69002 Lyon France","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Vegetarian Friendly","Vegan Options",,,,,,"Wangliuyang87@gmail.com","840","720","1320","1140",,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"12124670","false","false","45.751896","4.831187","Takumi","62","+33 6 29 94 07 04","$","2669","430","#406 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d12124670-Reviews-Takumi-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.takumi-ramen.com"
"44 rue de Cuire, 69004 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Cuban","Caribbean",,,,,,,,,,,,,,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1290","1170",,,"840","720","1350","1170",,,"1322123","false","false","45.77774","4.829995","restaurant la bodeguita cubana","135","+33 4 72 07 95 47","$$ - $$$","2669","427","#403 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d1322123-Reviews-Restaurant_la_bodeguita_cubana-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.bodeguitacubana.fr"
"15 Place Louis Pradel, 69001 Lyon France",,,,,,,,,,,,,,,,,,,,,"restaurant","French","Bar","Pub",,,,,,,"bhv.lyon@groupe-uni.com","1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"19860160","false","false","45.76846","4.83628","Brasserie Hotel de Ville","88","+33 4 78 30 19 80","$$ - $$$","2669","152","#147 of 2,792 Restaurants in Lyon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d19860160-Reviews-Brasserie_Hotel_de_Ville-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.bhv-brasseriehoteldeville.com"
"1 avenue Berthelot, 69007 Lyon France","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","French","Fast Food","Street Food","Vegetarian Friendly",,,,,,"axelle@toke.eu","1080","720",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"1080","690",,,,,"14110466","false","false","45.74781","4.834165","TOKE","83","+33 9 87 05 90 09","$","2669","421","#11 of 56 Quick Bites in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d14110466-Reviews-TOKE-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.toke.eu/"
"220 rue du Guesclin, 69003 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","French","Bar","European",,,,,,,,,,,,,,"840","720","1320","1170",,,"840","720","1320","1170",,,"840","720","1320","1170",,,"840","720","1320","1170",,,"840","720","1320","1170",,,"840","720","1320","1170",,,"2366754","false","false","45.76043","4.848829","Le Bistrot du Palais","210","+33 4 78 14 21 21","$$ - $$$","2669","424","#401 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d2366754-Reviews-Le_Bistrot_du_Palais-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.bistrotsdecuisiniers.com/"
"13 rue Terraille, 69001 Lyon France","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"Info@laska-lyon.fr",,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","960",,,,,"15083536","false","false","45.768784","4.835744","Laska","86","+33 4 78 98 86 30","$$ - $$$","2669","425","#402 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d15083536-Reviews-Laska-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.laska-lyon.fr"
"6 rue de la Charite, 69002 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","French","Belgian","Cafe","Healthy","Soups","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"bernard.goret@colchic.eu","1020","630",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","540",,,,,"13273270","false","false","45.755882","4.833147","NEWTREE Cafe","105","+33 4 87 37 61 08","$$ - $$$","2669","426","#9 of 38 Coffee & Tea in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d13273270-Reviews-NEWTREE_Cafe-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.facebook.com/newtreecafelyon"
