"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Rua dos Caldeireiros 62, Porto 4050-137 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3388173","false","false","41.145317","-8.612733","Adega Vila Mea","251","+351 22 208 2967","$$ - $$$","1993","317","#287 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3388173-Reviews-Adega_Vila_Mea-Porto_Porto_District_Northern_Portugal.html",
"Rua Martires da Liberdade 108 112 Restaurant Bom de Sal in Downtown Porto, Offers Traditional Portuguese Flavors and Tapas, Porto 4050-359 Portugal","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Vegetarian Friendly",,,,,,,"restaurantebomdesal@gmail.com",,,,,,,,,,,,,"870","750","1320","1170",,,"870","750","1320","1170",,,"870","750","1320","1170",,,"870","750","1380","1170",,,"870","750","1380","1170",,,"5970095","false","false","41.151024","-8.614125","Bom de Sal","134","+351 912 217 333","$$ - $$$","1993","316","#286 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d5970095-Reviews-Bom_de_Sal-Porto_Porto_District_Northern_Portugal.html","http://restaurantebomdesal.com/"
"Rua das Virtudes 37, Porto 4050-630 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,"reservas@torreao.pt",,,,,,,"900","720","1320","1170",,,"900","720","1320","1170",,,"900","720","1320","1170",,,"900","720","1320","1170",,,"900","720","1410","1170",,,"900","720","1410","1170",,,"10379284","false","false","41.143463","-8.618338","Restaurante Torreao","379","+351 919 471 037","$$ - $$$","1993","314","#284 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d10379284-Reviews-Restaurante_Torreao-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/restaurantetorreao"
"Rua Cimo de Vila 74, Porto 4000-169 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,,"1260","540",,,,,,,,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"6953423","false","false","41.145275","-8.607731","Porto Antigo","198","+351 960 076 508","$","1993","312","#282 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6953423-Reviews-Porto_Antigo-Porto_Porto_District_Northern_Portugal.html",
"Rua do Heroismo 50, Porto 4300-254 Portugal","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,"restaurant","Steakhouse","Barbecue","European","Portuguese",,,,,,,,"900","660","1320","1080",,,"900","660","1320","1080",,,"900","660","1320","1080",,,,,,,,,"900","660","1320","1080",,,"900","660","1320","1080",,,"900","660","1320","1080",,,"1583680","false","false","41.14706","-8.589809","Churrasqueira America Paraiso Do Churrasco","120","+351 22 409 3615","$","1993","318","#288 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d1583680-Reviews-Churrasqueira_America_Paraiso_Do_Churrasco-Porto_Porto_District_Northern_Portugal.html","http://pt-br.facebook.com/pages/Churrasqueira-Am%C3%A9rica-para%C3%ADso-do-churrasco/159349357452529"
"Avenida dos Aliados 85 89, Porto 4000-066 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,,,"restaurant","Cafe","Mediterranean","European","Portuguese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"guarany@mail.telepac.pt","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1308143","false","false","41.14789","-8.611278","Cafe Guarany","1503","+351 22 332 1272","$$ - $$$","1993","315","#285 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d1308143-Reviews-Cafe_Guarany-Porto_Porto_District_Northern_Portugal.html","http://www.cafeguarany.com"
"Cais das Pedras 15, Porto 4050-465 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Japanese","Sushi","Portuguese","International","European","Contemporary","Vegetarian Friendly","Gluten Free Options",,"geral@gull.pt","960","780","1380","1200",,,,,,,,,"1380","750",,,,,"900","750","1380","1200",,,"900","750","1380","1200",,,"900","750","1440","1200",,,"960","780","1440","1200",,,"3927349","false","false","41.145676","-8.62969","Gull","407","+351 914 300 038","$$$$","1993","311","#281 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3927349-Reviews-Gull-Porto_Porto_District_Northern_Portugal.html","http://gull.pt"
"Rua do Bonjardim 726, Porto 4000-119 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Portuguese","Vegetarian Friendly",,,,,,"geral@restauranteginjal.com","900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"6380425","false","false","41.153423","-8.607922","Ginjal Restaurante","344","+351 22 203 1015","$$ - $$$","1993","319","#289 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6380425-Reviews-Ginjal_Restaurante-Porto_Porto_District_Northern_Portugal.html","http://www.restauranteginjal.com"
"Rua Rodrigues Sampaio 156, Porto 4000-424 Portugal","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Portuguese","Vegetarian Friendly",,,,,,"coma.rest.baixa@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6414777","false","false","41.14875","-8.609571","Coma","244","+351 938 923 305","$$ - $$$","1993","660","#597 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6414777-Reviews-Coma-Porto_Porto_District_Northern_Portugal.html","http://www.restaurantecoma.com"
"Rua Dr. Barbosa de Castro n.64, Porto 4050-090 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1350","720",,,,,"1350","720",,,,,"20111975","false","false","41.14433","-8.617545","Bilha Nova Restaurante","21","+351 913 756 213","$$ - $$$","1993","653","#591 of 1,989 Restaurants in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d20111975-Reviews-Bilha_Nova_Restaurante-Porto_Porto_District_Northern_Portugal.html",
"Rua Preciosa Rua Preciosa 21, Porto, Porto 4100-416 Portugal","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8329007","false","false","41.173187","-8.655009","Temaki D'Lux","73","+351 22 610 0601","$$ - $$$","1993","657","#594 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8329007-Reviews-Temaki_D_Lux-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/temakidlux.japones"
"Via Vila Nova Gaia, Porto 4400 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Portuguese","European","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8581658","false","false","41.144844","-8.645181","Pedra Furada Tasca","114","+351 22 405 9798","$","1993","659","#596 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8581658-Reviews-Pedra_Furada_Tasca-Porto_Porto_District_Northern_Portugal.html","http://pedra-furada-tasca.negocio.site"
"Rua de Tras 27, Porto 4050-613 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese","Wine Bar",,,,,,,,"tapasdestapas@gmail.com","780","600",,,,,,,,,,,"1350","540",,,,,"900","750","1350","1170",,,"900","750","1350","1170",,,"900","750","1350","1170",,,"780","600",,,,,"7063577","false","false","41.15528","-8.62891","Tapas & Destapas","54","+351 927 711 573","$$ - $$$","1993","658","#595 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7063577-Reviews-Tapas_Destapas-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/TapasDestapas"
"Rua Diu 391 Mercado da Foz do Douro,, Porto 4150-276 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","International","Contemporary","Portuguese","French","European","Vegetarian Friendly",,,,,"geral@famousdog.pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11850190","false","false","41.154617","-8.674077","Famous Dog","59","+351 967 845 722","$","1993","652","#590 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d11850190-Reviews-Famous_Dog-Porto_Porto_District_Northern_Portugal.html","http://www.famousdog.pt/"
"Rua Formosa 214, Porto 4000-247 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,"geral.alambique@gmail.com",,,,,,,,,,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"11961294","false","false","41.14803","-8.605026","Alambique","28","+351 22 324 6277","$","1993","654","#31 of 93 Coffee & Tea in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d11961294-Reviews-Alambique-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/alambiqueporto/"
"Rua Arquiteto Marques da Silva 75 77, Porto 4150-484 Portugal","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12453352","false","false","41.153374","-8.63059","Imperador OPorto","60","+351 22 317 1559","$$ - $$$","1993","656","#593 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12453352-Reviews-Imperador_OPorto-Porto_Porto_District_Northern_Portugal.html",
"Passeio Sao Lazaro 44, Porto 4000-508 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Portuguese","Vegetarian Friendly",,,,,,,,,"oemaildadona@gmail.com","1380","1140",,,,,"1380","1140",,,,,,,,,,,,,,,,,"1380","1140",,,,,"1440","1140",,,,,"1440","1140",,,,,"8497970","false","false","41.14635","-8.602272","Dona Gertrudes","244","+351 968 636 812","$$ - $$$","1993","313","#283 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8497970-Reviews-Dona_Gertrudes-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/donagertrudescomesebebes"
"Largo de Sao Domingo 65 - Porto  Gps: 41. 154031,- 8. 619295, Porto 4050-575 PORTO Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese","Vegan Options",,,,,,,,,,,,,,,"1320","540",,,,,"1320","540",,,,,"1350","540",,,,,"1350","540",,,,,"1380","540",,,,,"1380","570",,,,,"6672738","false","false","41.143215","-8.61466","Restaurante Irmao Linos","192","+351 917 284 816","$$ - $$$","1993","655","#592 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6672738-Reviews-Restaurante_Irmao_Linos-Porto_Porto_District_Northern_Portugal.html","http://www.visitporto.travel/visitar/paginas/descobrir/DetalhesPOI.aspx?POI=414"
"Rua Fabrica 56, Porto 4050-245 Portugal","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Pizza","Italian","European","Vegetarian Friendly","Vegan Options",,,,,,"baixa@prestopizza.pt","960","720","1440","1080",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"900","720","1440","1080",,,"900","720","1500","1080",,,"960","720","1500","1080",,,"3644633","false","false","41.147526","-8.613226","Presto Pizza Baixa","683","+351 22 208 6514","$$ - $$$","1993","320","#290 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3644633-Reviews-Presto_Pizza_Baixa-Porto_Porto_District_Northern_Portugal.html","http://www.prestopizza.pt"
"Rua Joao de Barros 313 Loja 31/33, Porto 4150-415 Portugal","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Diner","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3823420","false","false","41.155457","-8.663552","Melhor Sabor","73","+351 913 224 470","$","1993","651","#589 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3823420-Reviews-Melhor_Sabor-Porto_Porto_District_Northern_Portugal.html","https://melhor-sabor.business.site/"
"Rua Flores 179, Porto 4050-266 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese","Gastropub","Mediterranean","Vegetarian Friendly",,,,,,"geral@semeabyeuskalduna.py","900","720","1380","1140",,,"900","720","1380","1140",,,,,,,,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"14760494","false","false","41.144608","-8.612511","Semea by Euskalduna","136","+351 938 566 766","$$ - $$$","1993","324","#294 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d14760494-Reviews-Semea_by_Euskalduna-Porto_Porto_District_Northern_Portugal.html","http://semeabyeuskalduna.pt/"
"Rua Flores 113, Porto 4050-266 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","European","Portuguese","Wine Bar",,,,,,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"8684734","false","false","41.14417","-8.6132","Vinofino","150","+351 934 443 918","$$ - $$$","1993","329","#299 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8684734-Reviews-Vinofino-Porto_Porto_District_Northern_Portugal.html","https://www.facebook.com/Vinofino-338029819683550"
"Rua de Santo Ildefonso nr 412, Porto 4000-507 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"vegana@sapo.pt","1140","690",,,,,"1200","600",,,,,,,,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1140","600",,,,,"12857140","false","false","41.147243","-8.602476","Vegana By Tentugal","55","+351 22 536 1667","$","1993","323","#293 of 1,989 Restaurants in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12857140-Reviews-Vegana_By_Tentugal-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/VeganabyTentugal/"
