"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Hold utca 3, Budapest 1054 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@artizan.hu",,,,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"780","450",,,,,"8487229","false","false","47.50371","19.05265","Artizan","195","+36 30 856 5122","$$ - $$$","3271","68","#2 of 66 Bakeries in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8487229-Reviews-Artizan-Budapest_Central_Hungary.html","http://www.artizan.hu"
"Arany Janos utca 15, Budapest 1051 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"info@espressoembassy.hu","1080","450",,,,,"1080","540",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"3749079","false","false","47.502113","19.049698","Espresso Embassy","731","+36 20 445 0063","$$ - $$$","3271","70","#7 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d3749079-Reviews-Espresso_Embassy-Budapest_Central_Hungary.html","http://www.espressoembassy.hu"
"Kaldy Gyula utca 7 The entrance is in Káldy street, in front of Gozsdu Udvar, Budapest 1061 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Cafe","European","Healthy","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@naspolya.hu","1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"7390429","false","false","47.500034","19.05747","Naspolya Nassolda","225","+36 70 380 8407","$$ - $$$","3271","69","#5 of 215 Dessert in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7390429-Reviews-Naspolya_Nassolda-Budapest_Central_Hungary.html","http://naspolya.hu/"
"Frankel Leo utca 12., Budapest 1027 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","European","Central European","Hungarian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"gustodelikat@gmail.com",,,,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","600",,,,,"789203","false","false","47.51363","19.037668","Cafe Gusto","232","+36 1 316 3970","$$ - $$$","3271","65","#50 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d789203-Reviews-Cafe_Gusto-Budapest_Central_Hungary.html","http://www.gustocafe.hu"
"Dob Utca 19, Budapest 1074 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Israeli","Arabic","Healthy","Middle Eastern","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"reservations.tlv@gmail.com","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"15866422","false","false","47.49781","19.060947","TLV Eatery","438","+36 20 317 5127","$$ - $$$","3271","62","#47 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d15866422-Reviews-TLV_Eatery-Budapest_Central_Hungary.html","https://www.facebook.com/TLVeatery/"
"Dob utca 16. E-mail, Budapest 1072 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Spanish","Latin","Bar","Mediterranean","European","Catalan","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"1560","1020",,,,,"1560","1080",,,,,"1560","1080",,,,,"1620","1080",,,,,"1740","1080",,,,,"1740","1020",,,,,"1740","1020",,,,,"9459214","false","false","47.497833","19.060568","Vicky Barcelona","2421","+36 30 465 9505","$$ - $$$","3271","64","#49 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d9459214-Reviews-Vicky_Barcelona-Budapest_Central_Hungary.html","http://www.facebook.com/vickybarcelonatapas"
"Dorottya utca 6 Palazzo Dorottya, Budapest 1051 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,,,"restaurant","International","Fusion","Contemporary","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"reservations@barakarestaurant.hu",,,,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"696018","false","false","47.49766","19.048882","Baraka","954","+36 1 200 0817","$$$$","3271","63","#48 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d696018-Reviews-Baraka-Budapest_Central_Hungary.html","http://barakarestaurant.hu"
"Kiraly utca 8 Central Passage, Budapest 1061 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","International","European","Eastern European","Central European","Hungarian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"restaurant@antrebudapest.com","1425","420",,,,,"1425","420",,,,,"1425","420",,,,,"1425","420",,,,,"1425","420",,,,,"1425","420",,,,,"1425","420",,,,,"11906714","false","false","47.49889","19.056087","Antre","762","+36 70 883 0942","$$ - $$$","3271","67","#52 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d11906714-Reviews-Antre-Budapest_Central_Hungary.html","http://www.antrebudapest.com/"
"Feny utca 16., Budapest 1024 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"buda@indigo-restaurant.hu","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"9808497","false","false","47.510036","19.025564","Indigo Restaurant - Buda","360","+36 1 397 7077","$$ - $$$","3271","61","#46 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d9808497-Reviews-Indigo_Restaurant_Buda-Budapest_Central_Hungary.html","http://www.indigo-restaurant.hu"
"Raday utca 33, Budapest 1092 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Fast Food","European","Hungarian","International","Vegetarian Friendly",,,,,,,,,,"hoppacska.kalacs.kft@gmail.com","1200","660",,,,,"1200","690",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"11491886","false","false","47.485073","19.064724","Hoppacska","389","+36 20 372 1206","$","3271","66","#51 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d11491886-Reviews-Hoppacska-Budapest_Central_Hungary.html","http://hoppacska.business.site"
"Deak Ferenc ter 3., Budapest 1052 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food","International","Street Food","Vegetarian Friendly",,,,,,,,,,"info@bambamarha.hu","1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"13172532","false","false","47.49704","19.053917","Bamba Marha Burger Bar","536","+36 1 952 2323","$","3271","78","#11 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d13172532-Reviews-Bamba_Marha_Burger_Bar-Budapest_Central_Hungary.html","http://www.bambamarha.hu"
"Sas utca 4., Budapest 1051 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","European","Eastern European","Central European","Hungarian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"aszu@aszuetterem.hu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4284031","false","false","47.49947","19.05232","Aszu Etteem","3376","+36 1 328 0360","$$$$","3271","71","#53 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d4284031-Reviews-Aszu_Etteem-Budapest_Central_Hungary.html","http://aszurestaurant.com"
"Kiraly Street 39, Budapest 1077 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Central European","Wine Bar","Vegetarian Friendly",,,,,,,,,,,,"info@apropobistro.hu","960","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"9860043","false","false","47.501106","19.06149","Apropo 57 Restaurant","224","+36 30 193 3000","$$ - $$$","3271","79","#59 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d9860043-Reviews-Apropo_57_Restaurant-Budapest_Central_Hungary.html","https://www.apropobistro.hu/hu/"
"Vorosmarty ter 7-8. Entrance from the Harmincad Street, Budapest 1051 Hungary","Travelers' Choice 2020","2020","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","European","Central European","Hungarian","International","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"onyx@onyxrestaurant.hu",,,,,,,,,,,,,"1380","1110",,,,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1080",,,"900","720","1380","1080",,,"1083716","false","false","47.497307","19.050575","Onyx Restaurant","2134","+36 30 508 0622","$$$$","3271","75","#56 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d1083716-Reviews-Onyx_Restaurant-Budapest_Central_Hungary.html","http://www.onyxrestaurant.hu"
"Paulay Ede utca 17, Budapest 1061 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","French","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@desszertneked.hu","1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"7381064","false","false","47.50017","19.057377","DesszertNeked","597","+36 20 253 1519","$$ - $$$","3271","72","#8 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7381064-Reviews-DesszertNeked-Budapest_Central_Hungary.html","http://www.desszertneked.hu/"
"Kiraly utca 15., Budapest 1075 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Bar","International","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"hello@bbzbar.hu","1560","720",,,,,"1560","780",,,,,"1560","780",,,,,"1560","780",,,,,"1680","780",,,,,"1680","720",,,,,"1560","720",,,,,"11903781","false","false","47.49929","19.058578","BB'z Bar & Grill","1468","+36 70 303 3254","$$ - $$$","3271","73","#54 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d11903781-Reviews-BB_z_Bar_Grill-Budapest_Central_Hungary.html","http://bbzbar.com/"
"Arany Janos utca 23, Budapest 1051 Hungary","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","Fast Food","Barbecue","Gluten Free Options",,,,,,,,,,,"1140","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"14177756","false","false","47.502266","19.052206","Smokey Monkies Bar-BQ","648","+36 30 675 2678","$$ - $$$","3271","74","#9 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d14177756-Reviews-Smokey_Monkies_Bar_BQ-Budapest_Central_Hungary.html","http://smokey-monkies-bar-bq-arany-janos-utca.business.site/"
"Szent Istvan ter 6, Budapest 1051 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Bar","European","Healthy","Wine Bar","Central European","Hungarian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@075bistro.hu","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"8288731","false","false","47.500507","19.052542","0,75 bistro","2126","+36 70 370 7474","$$ - $$$","3271","77","#58 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8288731-Reviews-0_75_bistro-Budapest_Central_Hungary.html","http://075bistro.hu"
"Szent Istvan ter 3, Budapest 1051 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Gluten Free Options",,,,,,,,,,,,,,"finance@bynd.hu","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"2085587","false","false","47.500065","19.053083","Gelarto Rosa","2782","+36 70 383 1071","$","3271","80","#12 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2085587-Reviews-Gelarto_Rosa-Budapest_Central_Hungary.html","http://gelartorosa.com/en"
"Haris koz 2., Budapest 1051 Hungary","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food","Street Food","International",,,,,,,,,,,"info@bambamarha.hu","1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"14040332","false","false","47.493355","19.053274","Bamba Marha Burger Bar","235","+36 1 952 2323","$","3271","76","#10 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d14040332-Reviews-Bamba_Marha_Burger_Bar-Budapest_Central_Hungary.html","http://www.bambamarha.hu"
"Vaci utca 65., Budapest 1056 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,,,"contact@1000tea.hu","1260","840",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,,,"3728318","false","false","47.489227","19.055857","1000TEA","199","+36 1 337 8217","$$ - $$$","3271","82","#61 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d3728318-Reviews-1000TEA-Budapest_Central_Hungary.html","http://www.1000tea.hu/"
