"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"R. Joao Villaret 11, Lisbon 1000-182 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Persian","International","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,"1001n.restaurant@gmail.com","960","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"12446407","false","false","38.745125","-9.140614","1001 Nights- Iranian Restaurant","307","+351 927 626 665","$$ - $$$","4828","206","#189 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d12446407-Reviews-1001_Nights_Iranian_Restaurant-Lisbon_Lisbon_District_Central_Portugal.html","http://www.1001nights.pt"
"Avenida Visconde de Valmor n 56E, Lisbon 1050-241 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"avenidas@nomadagroup.com","930","750","1380","1170",,,"900","750","1380","1170",,,"900","750","1380","1170",,,"900","750","1380","1170",,,"900","750","1380","1170",,,"900","750","1410","1170",,,"930","750","1410","1170",,,"10730796","false","false","38.73786","-9.149274","Nomada Avenidas Novas","383","+351 917 779 737","$$ - $$$","4829","151","#137 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d10730796-Reviews-Nomada_Avenidas_Novas-Lisbon_Lisbon_District_Central_Portugal.html","http://www.nomadalisboa.com"
"Calcada do Duque 43 A 1200-155, Lisbon 1200-155 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","European","Healthy","Portuguese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@oficinadoduque.pt",,,,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,,,,,,,"3849840","false","false","38.71324","-9.142262","Oficina do Duque","1557","+351 21 099 6354","$$ - $$$","4829","158","#144 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d3849840-Reviews-Oficina_do_Duque-Lisbon_Lisbon_District_Central_Portugal.html","http://www.oficinadoduque.pt"
"Rua dos Sapateiros 171, Lisbon 1100-577 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3326604","false","false","38.711964","-9.138637","Natraj","329","+351 21 346 8113","$$ - $$$","4828","210","#193 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d3326604-Reviews-Natraj-Lisbon_Lisbon_District_Central_Portugal.html","http://www.restaurantenatraj.com/"
"Rua da Gloria 85, Lisbon 1250-115 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"reservas@quermesse-restaurante.com","1440","1140",,,,,"900","720","1440","1140",,,"900","720","1440","1140",,,"900","720","1440","1140",,,"900","720","1440","1140",,,"900","720","1440","1140",,,"1440","1140",,,,,"3802502","false","false","38.717148","-9.144705","Quermesse Restaurante","2150","+351 21 150 7901","$$ - $$$","4829","154","#140 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d3802502-Reviews-Quermesse_Restaurante-Lisbon_Lisbon_District_Central_Portugal.html","http://quermesse-restaurante.com"
"Rua da Alfandega 120, Lisbon 1100-016 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"brunchcafelisboa@gmail.com","990","570",,,,,"930","570",,,,,"930","570",,,,,"930","570",,,,,"930","570",,,,,"930","570",,,,,"990","570",,,,,"6922596","false","false","38.708797","-9.134397","Brunch Cafe","793","+351 21 888 0019","$$ - $$$","4828","205","#188 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d6922596-Reviews-Brunch_Cafe-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/brunchcafelisboa"
"Rua de Sao Jose 105, Lisbon 1150-322 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Healthy","Nepali","Vegan Options","Vegetarian Friendly",,,,,,,,,"saisanskar2019@gmail.com",,,,,,,"930","720","1260","1110",,,"930","720","1260","1110",,,"930","720","1260","1110",,,"930","720","1260","1110",,,"930","720","1260","1110",,,,,,,,,"2363165","false","false","38.719273","-9.143333","New Himalaia Restaurante","58","+351 963 232 802","$","4829","157","#143 of 4,921 Restaurants in Lisbon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d2363165-Reviews-New_Himalaia_Restaurante-Lisbon_Lisbon_District_Central_Portugal.html","https://www.facebook.com/New-Himalaia-Restaurante-102793134522225/"
"Rua da Pimenta 45, Lisbon 1990-254 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","Healthy","Portuguese","Gluten Free Options",,,,,,,,,,,"restaurantebacalhau@gmail.com","1020","720","1380","1140",,,"1020","720","1380","1140",,,"1020","720","1380","1140",,,"1020","720","1380","1140",,,"1020","720","1380","1140",,,"1020","720","1380","1140",,,"1020","720","1380","1140",,,"2092318","false","false","38.771328","-9.092223","D'Bacalhau","3251","+351 932 323 009","$$ - $$$","4829","152","#138 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d2092318-Reviews-D_Bacalhau-Lisbon_Lisbon_District_Central_Portugal.html","http://restaurantebacalhau.com"
"Rua das Portas de Santo Antao 142, Lisbon 1150-269 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"temperogaucho2016@gmail.com",,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"10641161","false","false","38.717575","-9.141651","Tempero Gaucho","218","+351 21 342 0859","$$ - $$$","4828","208","#191 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d10641161-Reviews-Tempero_Gaucho-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/Restaurante-Grill-Tempero-Ga%C3%BAcho-158473464561498/"
"Rua Carlos Mardel 67, Lisbon 1900-118 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Indian","Asian","Nepali","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"bholaghimire86@gmail.com","1439","705",,,,,"1439","705",,,,,"1425","705",,,,,"1439","705",,,,,"1439","705",,,,,"1439","705",,,,,"1439","705",,,,,"10086544","false","false","38.73656","-9.133036","Nepal Curry House","169","+351 920 186 035","$$ - $$$","4828","201","#184 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d10086544-Reviews-Nepal_Curry_House-Lisbon_Lisbon_District_Central_Portugal.html","http://www.nepalcurryhouse.pt"
"Rua Serpa Pinto 10C, Lisbon 1200-445 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","American","European","Grill","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"diogo@thebtemple.com","1380","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"11766502","false","false","38.71024","-9.141634","The B Temple","709","+351 21 407 9398","$$ - $$$","4828","213","#196 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d11766502-Reviews-The_B_Temple-Lisbon_Lisbon_District_Central_Portugal.html","https://www.facebook.com/TheBTemple/"
"Largo do Limoeiro 2 Alfama, Lisbon 1100-307 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","European","Healthy","Portuguese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"cantodavilabistro@gmail.com","1410","660",,,,,"1410","630",,,,,"1410","630",,,,,"1410","630",,,,,"1410","630",,,,,"1410","630",,,,,"1410","630",,,,,"3614243","false","false","38.710815","-9.130823","Canto da Vila","1445","+351 21 886 4081","$$ - $$$","4828","214","#197 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d3614243-Reviews-Canto_da_Vila-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/cantodavilabistrogmail/"
"Rua da Rosa 265, Lisbon 1200-385 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Mediterranean","European","Healthy","Portuguese","Vegetarian Friendly","Vegan Options",,,,,,,,"rosadarua@gmail.com",,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","600",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"804190","false","false","38.7147","-9.145943","Rosa da Rua","1149","+351 21 343 2195","$","4829","170","#156 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d804190-Reviews-Rosa_da_Rua-Lisbon_Lisbon_District_Central_Portugal.html","http://www.rosadarua.pt"
"Rua dos Remedios 127 131, Lisbon 1100-445 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Mediterranean","Healthy","Portuguese","Wine Bar","Vegetarian Friendly",,,,,,,,,"alfamacellar@gmail.com","1365","750",,,,,"1365","750",,,,,"1365","750",,,,,,,,,,,"1365","750",,,,,"1365","750",,,,,"1365","750",,,,,"7110309","false","false","38.712837","-9.126214","Alfama Cellar","900","+351 21 886 0095","$$ - $$$","4828","218","#201 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d7110309-Reviews-Alfama_Cellar-Lisbon_Lisbon_District_Central_Portugal.html","http://www.alfamacellar.pt/"
"Rua Bartolomeu Dias 110, Lisbon 1400-030 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Seafood","Mediterranean","European","Portuguese",,,,,,,,,,,"930","720",,,,,,,,,,,"930","720","1320","1140",,,"930","720","1320","1140",,,"930","720","1320","1140",,,"930","720","1320","1140",,,"930","720","1320","1140",,,"7905925","false","false","38.695282","-9.212468","Restaurante a Maritima Do Restelo","268","+351 21 301 0577","$$ - $$$","4828","217","#200 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d7905925-Reviews-Restaurante_a_Maritima_Do_Restelo-Lisbon_Lisbon_District_Central_Portugal.html","http://maritimadorestelo.negocio.site/?utm_source=gmb&utm_medium=referral"
"Rua Morais Soares 45A, Lisbon 1170-008 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"900","720","1380","1140",,,"12678228","false","false","38.73191","-9.128309","Restaurante Ti'Ascencao","464","+351 927 355 005","$$ - $$$","4829","162","#148 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d12678228-Reviews-Restaurante_Ti_Ascencao-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/Restaurante-TiAscen%C3%A7%C3%A3o-1564752013598549/"
"Rua Bernardino da Costa 42 Sono In Fase Di Trasferimento E Non Si Sa Quando Riapriranno, Lisbon 1200-053 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Mediterranean","European","International","Gluten Free Options",,,,,,,,,"booking.caisaomar.marisqueira@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13847562","false","false","38.706844","-9.142949","Cais ao Mar - Cervejaria Marisqueira","575","+351 21 342 1669","$$ - $$$","4828","219","#202 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d13847562-Reviews-Cais_ao_Mar_Cervejaria_Marisqueira-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/caisaomar.cervejariamarisqueira/"
"Rua Rodrigo da Fonseca 88 Four Seasons Hotel Ritz, Lisbon 1099-039 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Mediterranean","European","Portuguese","Vegan Options","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"900","390","1350","1170",,,"900","390","1350","1170",,,"900","390","1350","1170",,,"900","390","1350","1170",,,"900","390","1350","1170",,,"900","390","1350","1170",,,"900","390","1350","1170",,,"697276","false","false","38.726048","-9.15479","Varanda do Hotel Ritz Four Seasons - Lisboa","346","+351 21 381 1400","$$$$","4829","163","#149 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d697276-Reviews-Varanda_do_Hotel_Ritz_Four_Seasons_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html","http://www.fourseasons.com/de/lisbon/dining/restaurants/varanda_restaurant"
