"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Stefanikova 24, Bratislava 81104 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,"1140","600",,,"1140","600",,,"1140","600",,,"1140","600",,,"1140","600",,,"1020","600",,,"12633033","false","false","48.15413","17.10637","Bistro Kaleidoskop","6",,"$","1180","457","#381 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d12633033-Reviews-Bistro_Kaleidoskop-Bratislava_Bratislava_Region.html","https://www.facebook.com/bistro.kaleidoskop/"
"Frantishkanske namestie 8, Bratislava 811 01 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Latin","Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10505267","false","false","48.1443","17.10772","Blue Agave Mexican Bistro & Cantina","16",,"$$ - $$$","1180","460","#382 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10505267-Reviews-Blue_Agave_Mexican_Bistro_Cantina-Bratislava_Bratislava_Region.html","https://www.facebook.com/Blue-Agave-Mexican-Bistro-Cantina-960092867441796"
"Skultetyho 5, Bratislava 831 04 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"info@novomestskypivovar.sk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5230975","false","false","48.160275","17.127253","Novomestsky Pivovar","17","+421 919 203 536","$","1180","502","#420 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d5230975-Reviews-Novomestsky_Pivovar-Bratislava_Bratislava_Region.html",
"Palackeho 14, Bratislava 811 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Eastern European","Central European",,,,,,,,,,,,,,,"1260","1020",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1500","480",,,"1500","720",,,"4101717","false","false","48.14155","17.11121","Prolaika Gallery Restaurant","27","+421 911 645 214","$$ - $$$","1180","404","#335 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d4101717-Reviews-Prolaika_Gallery_Restaurant-Bratislava_Bratislava_Region.html","http://www.galleryrestaurant.sk/"
"Kazanska 8772/41, Bratislava 82107 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian",,,,,,,,,,,,,,,,"zmrzlinaumarecka@gmail.com","1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"13848425","false","false","48.13647","17.20935","Zmrzlina u Marecka","7","+421 910 951 381","","1180","405","#38 of 61 Dessert in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d13848425-Reviews-Zmrzlina_u_Marecka-Bratislava_Bratislava_Region.html","http://www.facebook.com/zmrzlinaumarecka"
"Hurbanovo namestie 10 1st. Floor, Bratislava 81103 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese",,,,,,,,,,,,,,,,"info@fugusushi.sk",,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"15780003","false","false","48.14585","17.106722","Fugu Sushi","8","+421 949 510 503","$$ - $$$","1180","501","#419 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d15780003-Reviews-Fugu_Sushi-Bratislava_Bratislava_Region.html","http://fugusushi.sk/"
"Kycherskeho 10, Bratislava 811 05 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9849815","false","false","48.15547","17.11147","Cafe Restaurant Michaela","9","+421 918 134 043","","1180","505","#423 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d9849815-Reviews-Cafe_Restaurant_Michaela-Bratislava_Bratislava_Region.html","https://www.facebook.com/pub.michaela"
"Suche myto 19, Bratislava 811 03 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7362892","false","false","48.14794","17.106995","Le Petit Cafe & Bar","35","+421 948 446 199","$","1180","407","#53 of 106 Coffee & Tea in Bratislava","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d7362892-Reviews-Le_Petit_Cafe_Bar-Bratislava_Bratislava_Region.html","http://www.lepetit.sk/"
"Namestie SNP, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Eastern European",,,,,,,,,,,,,,,,,,,,,"1020","300",,,"1020","300",,,"1020","300",,,"1020","300",,,"1020","300",,,,,,,"3192291","false","false","48.14453","17.11196","Gastro u Jakuba","24","+421 2/529 209 00","$","1180","504","#422 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d3192291-Reviews-Gastro_u_Jakuba-Bratislava_Bratislava_Region.html","http://www.gastroujakuba.obedovat.sk/"
"Fajnorovo nabrezie, Bratislava 811 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17621198","false","false","48.14002","17.116756","Plaz Stare Mesto","9","+421 910 222 780","","1180","503","#421 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d17621198-Reviews-Plaz_Stare_Mesto-Bratislava_Bratislava_Region.html","http://www.plazstaremesto.sk"
"Hviezdoslavovo namestie 23, Bratislava 811 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"lapala@lapala.sk","1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"10039701","false","false","48.142075","17.108805","La Pala","373","+421 911 019 251","$$ - $$$","1180","408","#337 of 1,268 Restaurants in Bratislava","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10039701-Reviews-La_Pala-Bratislava_Bratislava_Region.html","http://www.lapala.sk"
"Budovatelska 2, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,"priestor@pankralicek.sk","1140","540",,,"1200","420",,,"1200","420",,,"1200","420",,,"1200","420",,,"1200","420",,,"1140","540",,,"12959777","false","false","48.14775","17.126602","Pan Kralicek Priestor","13","+421 948 017 811","$$ - $$$","1180","402","#51 of 106 Coffee & Tea in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d12959777-Reviews-Pan_Kralicek_Priestor-Bratislava_Bratislava_Region.html","https://www.facebook.com/PanKralicekPriestor/"
"Roznavska 1A Fresh Market, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese",,,,,,,,,,,,,,,,"gonnsukeramen@gmail.com",,,,,"1140","660",,,"1140","660",,,"1140","660",,,"1140","660",,,"1140","660",,,"840","660",,,"11982988","false","false","48.16769","17.15282","Gonnsuke Ramen","6","+421 917 842 182","","1180","509","#427 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d11982988-Reviews-Gonnsuke_Ramen-Bratislava_Bratislava_Region.html","http://www.facebook.com/gonnsuke.ramen/"
"Obchodna 62, Bratislava 811 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Italian","Pub",,,,,,,,,,,,,,,"900","600",,,"900","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"969406","false","false","48.14837","17.11235","Europa pub","30","+421 2/526 332 84","$$ - $$$","1180","401","#334 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d969406-Reviews-Europa_pub-Bratislava_Bratislava_Region.html",
"Viedenska cesta 24, Bratislava 851 01 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","International","European","Vegetarian Friendly",,,,,,,,,,,,,,"rezervacie@auspic.sk","1260","540",,,"1260","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"740023","false","false","48.136227","17.093237","Auspic restaurant & lounge","30","+421 919 406 403","$$ - $$$","1180","406","#336 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d740023-Reviews-Auspic_restaurant_lounge-Bratislava_Bratislava_Region.html","http://auspic.sk"
"Namestie 1. maja 18, Bratislava 811 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,"lucaffe@wdkgroup.sk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7787576","false","false","48.149925","17.111696","Caffe-Lucaffe","19","+421 911 529 432","$","1180","403","#52 of 106 Coffee & Tea in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d7787576-Reviews-Caffe_Lucaffe-Bratislava_Bratislava_Region.html","http://caffe-lucaffe.sk/"
"Riazanska 38, Bratislava 831 03 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"vabene@vabene.sk",,,,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"4770099","false","false","48.17137","17.13491","Va Bene Restaurant","16","+421 917 841 255","$$ - $$$","1180","506","#424 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d4770099-Reviews-Va_Bene_Restaurant-Bratislava_Bratislava_Region.html","http://www.vabene.sk"
"Klobuchnicka 4, Bratislava 811 01 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10216075","false","false","48.14445","17.11052","Spusta kaviaren & pekaren","12","+421 2/326 612 33","","1180","409","#3 of 11 Bakeries in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10216075-Reviews-Spusta_kaviaren_pekaren-Bratislava_Bratislava_Region.html","http://spustakaviaren.sk/"
"Razusovo Nabrezie Botel Gracia, Bratislava 811 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Steakhouse",,,,,,,,,,,,,,,"surfandturf@surfandturf.sk",,,,,"1440","660",,,"1440","660",,,"1440","660",,,"1560","660",,,"1560","660",,,"1560","660",,,"8416563","false","false","48.13936","17.107475","Surf ""N"" Turf","22","+421 917 295 295","$$ - $$$","1180","508","#426 of 1,268 Restaurants in Bratislava","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d8416563-Reviews-Surf_N_Turf-Bratislava_Bratislava_Region.html","http://surfandturf.sk/"
"Panenska 18, Bratislava 81103 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"panenska.kaviaren@gmail.com",,,,,"1140","480",,,"1140","480",,,"1140","480",,,"1140","480",,,"1140","480",,,"780","540",,,"18194875","false","false","48.14778","17.10368","Panenska kaviaren","6","+421 903 447 499","$$ - $$$","1180","410","#338 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d18194875-Reviews-Panenska_kaviaren-Bratislava_Bratislava_Region.html","https://www.facebook.com/Panensk%C3%A1-kaviare%C5%88-631107453901741/"
"Soltesovej 14, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10685906","false","false","48.151085","17.12305","Milton cafe & Restaurant","8","+421 907 670 076","$$ - $$$","1180","507","#425 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10685906-Reviews-Milton_cafe_Restaurant-Bratislava_Bratislava_Region.html","http://restauraciamilton.sk"
"Bajkalska 9 On The Corner, Bratislava 82104 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Australian",,,,,,,,,,,,,,,"aloha@pokebar.sk",,,,,"960","450",,,"960","450",,,"960","450",,,"960","450",,,"960","450",,,"840","480",,,"15343214","false","false","48.16411","17.138842","POKE BAR","4","+421 911 666 039","$","1180","510","#428 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d15343214-Reviews-POKE_BAR-Bratislava_Bratislava_Region.html","http://www.pokebar.sk"
"Spitalska 51, Bratislava 811 08 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European",,,,,,,,,,,,,,,"tuzincinova.veronika@gmail.com","1080","540",,,"1080","450",,,"1080","450",,,"1080","450",,,"1080","450",,,"1080","450",,,"1080","540",,,"13455890","false","false","48.14896","17.11679","Matsu premium tea & coffee","13","+421 949 180 576","$$ - $$$","1180","258","#35 of 106 Coffee & Tea in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d13455890-Reviews-Matsu_premium_tea_coffee-Bratislava_Bratislava_Region.html","http://www.matsu-matcha.com"
"Zahradnicka 61, Bratislava 821 08 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,,,,"michaela.lehotay@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10347543","false","false","48.154156","17.12884","Coffee Break","7","+421 948 398 245","","1180","462","#384 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10347543-Reviews-Coffee_Break-Bratislava_Bratislava_Region.html","https://www.facebook.com/breakcompany/"
"RoLnicka 9243/31, Bratislava 831 07 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,"1320","660",,,,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"4770102","false","false","48.20304","17.20446","Vinaren a Restauracia pri Kaplnke","16","+421 940 612 126","$$ - $$$","1180","465","#387 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d4770102-Reviews-Vinaren_a_Restauracia_pri_Kaplnke-Bratislava_Bratislava_Region.html","http://www.prikaplnke.sk"
"Mozartova 27, Bratislava 811 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Eastern European","Hungarian",,,,,,,,,,,,,,,"1320","660",,,"1320","660",,,,,,,,,,,,,,,"1320","660",,,"1320","660",,,"4770223","false","false","48.15272","17.08644","Chilli Pub","9","+421 905 157 100","","1180","466","#388 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d4770223-Reviews-Chilli_Pub-Bratislava_Bratislava_Region.html",
