"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"rue Sonnex 17, Le Grand Saconnex, Geneva 1218 Switzerland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Gluten Free Options","Vegetarian Friendly",,,,,,,,,,,,,"900","690","1440","1110",,,"900","690","1440","1110",,,"900","690","1440","1110",,,"900","690","1440","1110",,,"900","690","1440","1110",,,"1440","1110",,,,,"2235959","false","false","46.228214","6.120116","Chez Nina","172","+41 22 788 42 78","$$ - $$$","1550","202","#194 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1572356-d2235959-Reviews-Chez_Nina-Le_Grand_Saconnex_Geneva.html","http://www.restaurant-cheznina.ch"
"rue Sonnex 13, Le Grand Saconnex, Geneva 1218 Switzerland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9810256","false","false","46.228863","6.120658","Restaurant Le Pommier","59","+41 22 723 29 45","$$ - $$$","1550","209","#200 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1572356-d9810256-Reviews-Restaurant_Le_Pommier-Le_Grand_Saconnex_Geneva.html",
"rue Prevost-Martin 5 Rue Prévost-Martin, 5, Geneva 1205 Switzerland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,"reservations@lesphilosophes.ch",,,,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,,,,,,,"1045025","false","false","46.195812","6.14581","Les Philosophes","74","+41 22 320 54 77","$$ - $$$","1550","105","#100 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d1045025-Reviews-Les_Philosophes-Geneva.html","http://lesphilosophes.ch/"
"rue de Zurich 47, Geneva 1201 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly",,,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,,,,,,,"809701","false","false","46.21223","6.145268","Nagomi","145","+41 22 732 38 28","$$$$","1550","109","#104 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d809701-Reviews-Nagomi-Geneva.html","http://www.restaurant-nagomi.ch/"
"route de Meyrin 286, Meyrin, Geneva 1217 Switzerland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Pizza","Vegetarian Friendly",,,,,,,,"1380","1110",,,,,"840","690","1380","1110",,,"840","690","1380","1110",,,"840","690","1380","1110",,,"840","690","1380","1110",,,"840","690","1380","1110",,,"840","690","1380","1110",,,"2719075","false","false","46.22946","6.072081","Restaurant Pizzeria La Place","94","+41 22 782 66 08","$$ - $$$","1550","356","#340 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1974645-d2719075-Reviews-Restaurant_Pizzeria_La_Place-Meyrin_Geneva.html","http://www.pizzeria-restaurant-laplace.ch/"
"avenue De-Bude 15, Geneva 1202 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,"chinagardengeneva@gmail.com","840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"816272","false","false","46.22507","6.131338","China Garden","103","+41 22 733 21 91","$$ - $$$","1550","357","#341 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d816272-Reviews-China_Garden-Geneva.html","http://chinagarden-geneve.ch"
"avenue de Sainte-Clotilde 21, Geneva 1205 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"1350","1140",,,,,"1044971","false","false","46.19908","6.13251","Jaipur","75","+41 22 329 05 04","$$ - $$$","1550","808","#764 of 1,611 Restaurants in Geneva","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d1044971-Reviews-Jaipur-Geneva.html","http://www.ledarshana.ch/fr/cuisine-indienne"
"rue de Zurich 8, Geneva 1201 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,"les5portes@yahoo.com","1080","660",,,,,"870","630","1380","1020",,,"870","630","1380","1020",,,"870","630","1380","1020",,,"870","630","1380","1020",,,"870","630","1380","1020",,,"1380","1020",,,,,"776630","false","false","46.211384","6.148152","Les 5 portes","280","+41 22 731 84 38","$$ - $$$","1550","106","#101 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d776630-Reviews-Les_5_portes-Geneva.html","https://www.les5portes.ch/"
"rue du Grand-Pre 2, Geneva 1202 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Peruvian",,,,,,,,,,,,,,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1560","1080",,,,,"1560","1080",,,,,"17418091","false","false","46.21241","6.137871","Le Jules Edouard","29","+41 76 695 67 85","$$ - $$$","1550","353","#337 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d17418091-Reviews-Le_Jules_Edouard-Geneva.html","http://www.jules-edouard.ch"
"Rue de Corps-Saints 4, Geneva 1205 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Korean","Asian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3209022","false","false","46.206318","6.141075","Maison de Coree","56","+41 22 741 45 41","$$ - $$$","1550","810","#766 of 1,611 Restaurants in Geneva","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d3209022-Reviews-Maison_de_Coree-Geneva.html",
"boulevard Carl-Vogt 16, Geneva 1205 Switzerland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"Rasturantpunjabi.geneva@gmail.com","1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"10457458","false","false","46.200577","6.131392","Punjabi","69","+41 22 436 81 81","$$ - $$$","1550","354","#338 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d10457458-Reviews-Punjabi-Geneva.html","http://restaurantpunjabi.ch/"
"boulevard de Saint-Georges 61, Geneva 1205 Switzerland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"870","720",,,,,"870","720","1440","1140",,,"870","720","1440","1140",,,"870","720","1440","1140",,,"870","720","1440","1140",,,,,,,,,"6864140","false","false","46.201378","6.137213","Jeab Fine Cuisine Thai","74","+41 22 328 26 24","$$ - $$$","1550","360","#344 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d6864140-Reviews-Jeab_Fine_Cuisine_Thai-Geneva.html","http://www.jeab.ch"
"route de Suisse 21, Versoix, Geneva 1290 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","French","Swiss","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@aubergeliondor.ch",,,,,,,"1410","540",,,,,,,,,,,"1410","540",,,,,"1410","540",,,,,"1410","540",,,,,"1410","540",,,,,"2174118","false","false","46.27657","6.169424","Auberge du Lion D'or","56","+41 22 755 22 98","$$ - $$$","1550","355","#339 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1203132-d2174118-Reviews-Auberge_du_Lion_D_or-Versoix_Geneva.html","http://aubergeliondor.ch/"
"boulevard de la Cluse 105-107, Geneva 1205 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Vietnamese","Asian",,,,,,,,,"contact@delisen.ch",,,,,,,"840","720",,,,,"840","720",,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"14137643","false","false","46.19569","6.14859","Deli’Sen","22","+41 22 800 09 40","$$ - $$$","1550","352","#336 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d14137643-Reviews-Deli_Sen-Geneva.html","http://delisen.ch"
"1 Chemin du 23-Aout, Geneva 1205 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","French","Swiss","European","Contemporary",,,,,,,,,,,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1560","690",,,,,"1560","690",,,,,"1560","1020",,,,,"19746411","false","false","46.20308","6.13472","La Jonquille","6","+41 22 800 23 23","$$ - $$$","1550","809","#765 of 1,611 Restaurants in Geneva","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d19746411-Reviews-La_Jonquille-Geneva.html","http://lajonquille.ch"
"route de l'Aeroport 25 Galeries marchandes CFF, Geneva 1215 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,"1200","390",,,,,"1200","390",,,,,"1200","390",,,,,"1200","390",,,,,"1200","390",,,,,"1200","390",,,,,"1200","390",,,,,"14099331","false","false","46.23129","6.11023","Bagel & Juice Factory","6","+41 22 723 20 86","$","1550","806","#762 of 1,611 Restaurants in Geneva","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d14099331-Reviews-Bagel_Juice_Factory-Geneva.html","http://bagel-juice.ch"
"rue du Perron 12, Geneva 1204 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Vegetarian Friendly",,,,,,,,,"malerba@aupetitcomestible.net",,,,,,,"870","570",,,,,"1080","570",,,,,"1080","570",,,,,"1080","570",,,,,"1080","570",,,,,"960","600",,,,,"7319273","false","false","46.20199","6.14768","Au Petit Comestible","20","+41 22 311 62 75","$","1550","805","#3 of 3 Specialty Food Market in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d7319273-Reviews-Au_Petit_Comestible-Geneva.html","http://aupetitcomestible.net"
"rue de Carouge 73, Geneva 1205 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Vietnamese",,,,,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"1320","1140",,,,,"6575293","false","false","46.19062","6.1438","Restaurant le Mekong","42","+41 22 321 22 15","$","1550","811","#767 of 1,611 Restaurants in Geneva","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d6575293-Reviews-Restaurant_le_Mekong-Geneva.html",
"rue de Lausanne 41, Geneva 1201 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","French","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7108670","false","false","46.21348","6.14533","Hotel Royal - Le Duo Cote Bistro","41","+41 22 906 14 60","$$ - $$$","1550","807","#763 of 1,611 Restaurants in Geneva","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d7108670-Reviews-Hotel_Royal_Le_Duo_Cote_Bistro-Geneva.html","https://www.hotelroyalgeneva.com/fr/restaurants-bar/le-bistro/"
"rue de Vermont 46, Geneva 1202 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17648481","false","false","46.21892","6.13885","Bali Indonesia","6","+41 77 532 07 19","$$ - $$$","1550","813","#769 of 1,611 Restaurants in Geneva","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d17648481-Reviews-Bali_Indonesia-Geneva.html","http://www.baliindonesia.ch"
"quai des Bergues 21, Geneva 1201 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,,"info@the-ambassador.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3974602","false","false","46.20629","6.14453","Restaurant The Ambassador Hotel","29",,"$$ - $$$","1550","812","#768 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d3974602-Reviews-Restaurant_The_Ambassador_Hotel-Geneva.html","http://www.hotel-ambassador.ch"
"avenue De-Luserna 32f, Geneva 1203 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Vegetarian Friendly","Vegan Options",,,,,,,,,"840","660","1380","1140",,,"840","660","1380","1140",,,,,,,,,"840","660","1380","1140",,,"840","660","1380","1140",,,"840","660","1380","1140",,,"1380","1140",,,,,"3283436","false","false","46.213654","6.124918","Le Figuier","46","+41 22 340 76 75","$$ - $$$","1550","361","#345 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d3283436-Reviews-Le_Figuier-Geneva.html","http://www.le-figuier.ch"
"chemin de la Gradelle 33, Geneva 1223 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Italian","French","European","Vegetarian Friendly",,,,,,,"info@passingcologny.ch","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"4881543","false","false","46.205555","6.185833","Le Passing Cologny","116","+41 22 349 67 71","$$ - $$$","1550","254","#243 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d4881543-Reviews-Le_Passing_Cologny-Geneva.html","http://www.passingcologny.ch"
"rue Micheli-du-Crest 12, Geneva 1205 Switzerland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Brazilian","South American","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"870","690",,,,,"870","690","1380","1080",,,"870","690","1380","1080",,,"870","690","1380","1080",,,"870","690","1380","1080",,,"1380","1080",,,,,"12246215","false","false","46.19493","6.147294","Le Boteco","77","+41 22 328 09 09","$$ - $$$","1550","203","#195 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d12246215-Reviews-Le_Boteco-Geneva.html","https://www.leboteco.ch/"
"rue de Berne 44, Geneva 1201 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly",,,,,,,,,,"1440","540",,,,,,,,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"2719078","false","false","46.211716","6.14696","Restaurant des Trois Rois","52","+41 22 738 24 69","$$ - $$$","1550","252","#241 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d2719078-Reviews-Restaurant_des_Trois_Rois-Geneva.html",
"rue des Sources 8 CH-1205, Geneva 1205 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","French","European","Swiss","International","Pub","Gastropub","Vegetarian Friendly",,,,"info@cafedessources.ch",,,,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","600",,,,,"2536281","false","false","46.1959","6.14418","Cafe des Sources - Eric Vouriot","184","+41 22 320 67 98","$$ - $$$","1550","104","#99 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d2536281-Reviews-Cafe_des_Sources_Eric_Vouriot-Geneva.html","http://cafedesources.ch/"
"place de Chambesy 9, Geneva 1292 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly",,,,,,,,,,,,,,,,"900","480","1320","1080",,,"900","480","1320","1080",,,"900","480","1320","1080",,,"900","480","1320","1080",,,"900","480","1320","1080",,,,,,,,,"6941649","false","false","46.24211","6.1432","Cafe 9","46","+41 22 758 05 75","$$ - $$$","1550","259","#248 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d6941649-Reviews-Cafe_9-Geneva.html","http://www.geneverestaurants.ch/en/restaurant-1284-cafe-9-chambesy-map.php"
