"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"1 Princes Street The Balmoral Hotel, Edinburgh EH2 2EQ Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"palmcourt.balmoral@roccofortehotels.com","960","540",,,,,"960","540",,,,,"960","540",,,,,"960","540",,,,,"960","540",,,,,"960","540",,,,,"960","540",,,,,"1408946","false","false","55.952908","-3.189512","Palm Court","1031","+44 131 556 2414","$$$$","2181","103","#91 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1408946-Reviews-Palm_Court-Edinburgh_Scotland.html","http://www.roccofortehotels.com/hotels-and-resorts/the-balmoral-hotel/restaurants-and-bars/palm-court/"
"5 Buccleuch Street, Edinburgh EH8 9JN Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Asian","Korean","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,"kimsmeals@gmail.com",,,,,,,"1230","1050",,,,,"1230","1050",,,,,"1230","1050",,,,,"1230","1050",,,,,"1230","1050",,,,,"1230","1050",,,,,"1951069","false","false","55.943623","-3.184975","Kims Mini Meals","297","+44 7984 005601","$$ - $$$","2181","101","#89 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1951069-Reviews-Kims_Mini_Meals-Edinburgh_Scotland.html","http://www.kimsminimeals.com"
"15 North St. Andrew Street, Edinburgh EH2 1HJ Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Bangladeshi","Indian","Asian","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,"zestindianrestaurant@gmail.com","840","720","1380","1050",,,"840","720","1380","1050",,,"840","720","1380","1050",,,"840","720","1380","1050",,,"840","720","1380","1050",,,"840","720","1380","1050",,,"840","720","1380","1050",,,"730844","false","false","55.955566","-3.192731","Zest Restaurant","632","+44 131 556 5028","$$ - $$$","2181","110","#98 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d730844-Reviews-Zest_Restaurant-Edinburgh_Scotland.html","https://www.facebook.com/zestrestaurantedinburgh/"
"158 Bruntsfield Place, Edinburgh EH10 4ER Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Italian","Pizza","Mediterranean","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"1350","720",,,,,"870","720","1350","1020",,,"870","720","1350","1020",,,"870","720","1350","1020",,,"870","720","1350","1020",,,"870","720","1350","1020",,,"1350","720",,,,,"1319198","false","false","55.93642","-3.208415","Papilio Restaurant","624","+44 131 229 3325","$$ - $$$","2181","108","#96 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1319198-Reviews-Papilio_Restaurant-Edinburgh_Scotland.html","https://www.facebook.com/Papilioitalian/"
"3 Lochrin Terrace Tollcross, Edinburgh EH3 9QJ Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","African","Mediterranean","Spanish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,"1290","1020",,,,,"1290","1020",,,,,"1290","1020",,,,,"1290","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1871954","false","false","55.943127","-3.204194","Indaba","932","+44 131 221 1554","$$ - $$$","2181","52","#46 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1871954-Reviews-Indaba-Edinburgh_Scotland.html","http://www.edindaba.co.uk"
"278 Morrison Street, Edinburgh EH3 8DT Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Japanese","Seafood","Sushi","Asian","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"1350","1020",,,,,"1350","1020",,,,,,,,,,,"1350","1020",,,,,"1350","1020",,,,,"1350","1020",,,,,"1350","1020",,,,,"12580744","false","false","55.946247","-3.216282","Chizuru Tei","316","+44 131 228 1688","$$ - $$$","2181","60","#53 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d12580744-Reviews-Chizuru_Tei-Edinburgh_Scotland.html","http://www.chizurutei.co.uk/"
"233 Causewayside, Edinburgh EH9 1PH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Bar","British","Pub","Scottish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1380","660",,,,,"1380","660",,,,,"4231974","false","false","55.934875","-3.179111","The Old Bell Inn","647","+44 131 668 1573","$$ - $$$","2181","209","#185 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4231974-Reviews-The_Old_Bell_Inn-Edinburgh_Scotland.html","http://www.oldbelledinburgh.co.uk"
"Rutland Street Waldorf Astoria, Edinburgh EH1 2AB Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","European","British","Healthy","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"grazing.reservations@waldorfastoria.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200","1020",,,,,"1200","1020",,,,,"17385192","false","false","55.949448","-3.208031","Grazing","264","+44 131 222 8857","$$ - $$$","2181","105","#93 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d17385192-Reviews-Grazing-Edinburgh_Scotland.html","http://www.markgreenaway.com/grazing-restaurant"
"11 Roseneath Street, Edinburgh EH9 1JH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","European","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"therabbitholerestaurant@gmail.com",,,,,,,,,,,,,"870","720","1290","1020",,,"870","720","1290","1020",,,"870","720","1290","1020",,,"870","720","1290","1020",,,"870","720","1290","1020",,,"8797657","false","false","55.938164","-3.192469","The Rabbit Hole","225","+44 131 229 7953","$$ - $$$","2181","106","#94 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8797657-Reviews-The_Rabbit_Hole-Edinburgh_Scotland.html","http://www.therabbitholerestaurant.com/"
"131 Rose Street, Edinburgh EH2 3DT Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Cafe","Fast Food","British","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@social-bite.co.uk",,,,,,,"870","630",,,,,"870","630",,,,,"870","630",,,,,"870","630",,,,,"870","630",,,,,,,,,,,"3393005","false","false","55.951836","-3.202669","Social Bite","257","+44 131 353 0250","$","2181","57","#5 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3393005-Reviews-Social_Bite-Edinburgh_Scotland.html","http://social-bite.co.uk"
"29 St. Leonards Street, Edinburgh EH8 9QN Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Indian","Asian","Bangladeshi","Vegetarian Friendly","Vegan Options","Gluten Free Options","Halal",,,,,,,,,"1410","990",,,,,"1410","990",,,,,,,,,,,"1410","990",,,,,"1410","990",,,,,"1410","990",,,,,"1410","990",,,,,"943693","false","false","55.94354","-3.18","Kismot","2315","+44 131 667 0123","$$ - $$$","2181","104","#92 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d943693-Reviews-Kismot-Edinburgh_Scotland.html","http://www.kismot.co.uk"
"5 Canonmills, Edinburgh EH3 5HA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Cafe","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"Thebluebirdcafeedinburgh@gmail.com","900","480",,,,,,,,,,,,,,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"5989973","false","false","55.96251","-3.197906","The Bluebird Cafe","395","+44 7401 227465","$","2181","56","#50 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d5989973-Reviews-The_Bluebird_Cafe-Edinburgh_Scotland.html","https://www.facebook.com/bluebirdcafeedinburgh/"
"87-91 Henderson Street, Edinburgh EH6 6ED Scotland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","British","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"peter@kcalkitchen.co.uk","1080","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1080","600",,,,,"14952010","false","false","55.97488","-3.171717","Kcal Kitchen","414","+44 141 212 0861","$$ - $$$","2181","109","#97 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d14952010-Reviews-Kcal_Kitchen-Edinburgh_Scotland.html","http://www.kcalkitchen.co.uk"
"52 Home Street Tollcross, Edinburgh EH3 9NA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Indian","Asian","Nepali","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"dineeverest@yahoo.com","1350","960",,,,,"1350","990",,,,,"1350","990",,,,,"1350","990",,,,,"1350","990",,,,,"1350","795",,,,,"1350","795",,,,,"2430403","false","false","55.94231","-3.203508","The Everest Nepalese & Indian Restaurant","713","+44 131 229 1348","$$ - $$$","2181","59","#52 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2430403-Reviews-The_Everest_Nepalese_Indian_Restaurant-Edinburgh_Scotland.html","http://www.everestedinburgh.co.uk/ourmenus"
"34 Elder Street, Edinburgh EH1 3DX Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","British","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"holycow.vegancafe@gmail.com","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","540",,,,,"11977841","false","false","55.955902","-3.190615","Holy Cow","252","+44 131 629 7057","$$ - $$$","2181","107","#95 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d11977841-Reviews-Holy_Cow-Edinburgh_Scotland.html","http://holycow.cafe"
"54 Shore, Edinburgh EH6 6RA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","French","European","Scottish","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@martin-wishart.co.uk",,,,,,,,,,,,,,,,,,,"810","720","1260","1140",,,"810","720","1260","1140",,,"840","720","1290","1110",,,"810","720","1290","1110",,,"720419","false","false","55.9755","-3.170471","Restaurant Martin Wishart","1420","+44 131 553 3557","$$$$","2181","119","#105 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d720419-Reviews-Restaurant_Martin_Wishart-Edinburgh_Scotland.html","https://restaurantmartinwishart.co.uk/"
"3-5 Infirmary Street, Edinburgh EH1 1LT Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"balwant@motherindiascafe.co.uk","1260","780",,,,,,,,,,,,,,,,,"1260","960",,,,,"1260","960",,,,,"1320","780",,,,,"1320","780",,,,,"1545969","false","false","55.94801","-3.186121","Mother India's Cafe","2425","+44 131 524 9801","$$ - $$$","2181","117","#103 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1545969-Reviews-Mother_India_s_Cafe-Edinburgh_Scotland.html","http://www.motherindia.co.uk/"
"36 Main Street, Balerno Balerno, Edinburgh EH14 7EH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Scottish","Bar","Cafe","European","Pub","Diner","Dining bars","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"hello@carlylesbarandkitchen.com","1140","720",,,,,,,,,,,,,,,,,,,,,,,"1140","720",,,,,"1230","600",,,,,"1230","600",,,,,"6985538","false","false","55.883568","-3.338663","Carlyle's Bar & Kitchen","127","+44 131 466 8761","$$ - $$$","2181","115","#101 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d6985538-Reviews-Carlyle_s_Bar_Kitchen-Edinburgh_Scotland.html","http://www.carlylesbarandkitchen.com"
