"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Gosposka ulica 9, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","European","Contemporary","Healthy","Slovenian","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"info@monsterabistro.si",,,,,"960","690",,,"960","690",,,"960","690",,,"960","690","1380","1140","960","690","1380","1140","960","690","1380","1140","10460965","false","false","46.048443","14.504394","Monstera bistro","694","+386 40 431 123","$$ - $$$","611","3","#3 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d10460965-Reviews-Monstera_bistro-Ljubljana_Upper_Carniola_Region.html","http://www.monsterabistro.si"
"Adamic-Lundrovo nabrezje 5, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Slovenian","Eastern European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,"lj@kodila.si",,,,,"840","420",,,"900","420",,,"900","420",,,"900","420",,,"900","420",,,"900","420",,,"10521819","false","false","46.051567","14.509056","Kodila Gourmet","146","+386 599 27192","$","611","1","#1 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d10521819-Reviews-Kodila_Gourmet-Ljubljana_Upper_Carniola_Region.html","http://www.kodila.si"
"Dvorni trg 1, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@gelateria-romantika.si","1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"1380","570",,,"1380","570",,,"7139049","false","false","46.049225","14.504817","Gelateria Romantika","223","+386 40 978 566","$$ - $$$","611","7","#1 of 30 Dessert in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d7139049-Reviews-Gelateria_Romantika-Ljubljana_Upper_Carniola_Region.html","http://www.gelateria-romantika.si/"
"Trubarjeva cesta 52, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Neapolitan","Campania","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options","info@capriccio.si",,,,,,,,,"1275","720",,,"1275","720",,,"1020","720",,,,,,,,,,,"15223316","false","false","46.05221","14.512448","Capriccio Ristopizza","390","+386 64 293 988","$$ - $$$","611","2","#2 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d15223316-Reviews-Capriccio_Ristopizza-Ljubljana_Upper_Carniola_Region.html","http://www.capriccio.si/"
"Grajska planota 1 Situated in the Ljubljana castle, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","European","Slovenian","Central European","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"strelec@kaval-group.si",,,,,"1320","1020",,,"1320","1020",,,"1320","1020",,,"1320","1020",,,"1320","1020",,,"1320","1020",,,"3812696","false","false","46.04904","14.509033","Restavracija Strelec","759","+386 31 687 648","$$$$","611","4","#4 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d3812696-Reviews-Restavracija_Strelec-Ljubljana_Upper_Carniola_Region.html","http://strelec.kaval-group.si/"
"Trubarjeva cesta 40, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Steakhouse","Barbecue","European","Slovenian","Gluten Free Options",,,,,,"mila.nikic@gmail.com",,,,,"1500","1140",,,"1500","1140",,,"1500","1140",,,"1500","1140",,,"1500","1140",,,"1500","1140",,,"2013978","false","false","46.05244","14.511179","Restaurant Compa","515","+386 40 799 334","$$ - $$$","611","5","#5 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d2013978-Reviews-Restaurant_Compa-Ljubljana_Upper_Carniola_Region.html","http://www.facebook.com/%C4%8Compa-209021859192246"
"Kolodvorska ulica 20, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8721540","false","false","46.0569","14.51056","Nim 8 Min","8",,"$","611","406","#348 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d8721540-Reviews-Nim_8_Min-Ljubljana_Upper_Carniola_Region.html",
"Smartinska Cesta 55, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Seafood","Mediterranean","European","Slovenian","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"info@cubo-ljubljana.com",,,,,"1320","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"800534","false","false","46.06409","14.527518","Restavracija Cubo","338","+386 1 521 15 15","$$$$","611","6","#6 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d800534-Reviews-Restavracija_Cubo-Ljubljana_Upper_Carniola_Region.html","http://www.cubo.si/"
"Nazorjeva ulica 2 Union Hotel, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"atelje@restavracijaatelje.com",,,,,"900","720","1320","1080","900","720","1320","1080","900","720","1320","1080","900","720","1320","1080","900","720","1320","1080","1320","1080",,,"698786","false","false","46.05243","14.505699","Atelje","323","+386 1 308 19 07","$$$$","611","9","#8 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d698786-Reviews-Atelje-Ljubljana_Upper_Carniola_Region.html","http://www.restavracijaatelje.com/"
"Zarnikova ulica 3, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Slovenian","Eastern European",,,,,,,,"info@prekmurska-gostilna.si","1080","540",,,,,,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1931669","false","false","46.04935","14.51621","Gujzina Mencigar Nobile","9","+386 1 439 70 40","$$ - $$$","611","403","#345 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d1931669-Reviews-Gujzina_Mencigar_Nobile-Ljubljana_Upper_Carniola_Region.html","http://www.prekmurska-gostilna.si"
"Strelishka ulica 10, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Slovenian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@hisapodgradom.si","1320","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"1380","480",,,"5508614","false","false","46.04955","14.511301","Restaurant Hisa Pod Gradom","1121","+386 31 484 369","$$ - $$$","611","13","#11 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d5508614-Reviews-Restaurant_Hisa_Pod_Gradom-Ljubljana_Upper_Carniola_Region.html","http://www.hisapodgradom.si/gostilna/kontakt"
"Petkovskovo nabrezje 3, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Bar","Cafe","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@cacao.si","1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1380","480",,,"1380","480",,,"1155842","false","false","46.05158","14.507113","Cacao","2096","+386 1 430 17 71","$$ - $$$","611","18","#3 of 30 Dessert in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d1155842-Reviews-Cacao-Ljubljana_Upper_Carniola_Region.html","http://cacao.si"
"Rimska cesta 13 Entrance From Park Behind The Building, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","American","Grill","Slovenian","Pizza","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"zbornicabar@gmail.com",,,,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,,,,,"12930051","false","false","46.047333","14.500088","Zbornica","480","+386 40 583 355","$","611","14","#12 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d12930051-Reviews-Zbornica-Ljubljana_Upper_Carniola_Region.html","http://www.zbornicabar.com"
"Poljanska cesta 22C 22, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Pizza",,,,,,,,,"info@pinki.si",,,,,"720","540",,,"720","540",,,"720","540",,,"720","540",,,"1500","540",,,,,,,"6474018","false","false","46.04932","14.51723","Halo Pinki","7","+386 1 230 19 01","$","611","415","#356 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d6474018-Reviews-Halo_Pinki-Ljubljana_Upper_Carniola_Region.html","http://www.pinki.si/"
"Ljubljana Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","European","Slovenian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"798859","false","false",,,"Pri Kuklju","7",,"","611","418","#358 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d798859-Reviews-Pri_Kuklju-Ljubljana_Upper_Carniola_Region.html","http://www.prikuklju.si"
"Trzhashka cesta 18, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"824619","false","false","46.0456","14.48966","volta cafe","11","+386 40 181 118","$","611","419","#359 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d824619-Reviews-Volta_cafe-Ljubljana_Upper_Carniola_Region.html",
"Dunajska cesta 190, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Slovenian","Italian","Pizza","International","Mediterranean",,,,,"info@superbabi.si","1380","660",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1380","600",,,"1380","660",,,"13010026","false","false","46.087","14.5146","Superbabi","3","+386 64 254 000","$$ - $$$","611","412","#354 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d13010026-Reviews-Superbabi-Ljubljana_Upper_Carniola_Region.html","http://www.superbabi.si"
"Stari trg 11, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Slovenian","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@landerik.si","1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1380","720",,,"1380","720",,,"17476431","false","false","46.04778","14.50626","Landerik","237","+386 51 660 401","$$ - $$$","611","11","#10 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d17476431-Reviews-Landerik-Ljubljana_Upper_Carniola_Region.html","http://landerik.si"
"Kolosej Btc Šmartinska 142, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Southern-Italian",,,,,,"upravnik@rossoverde.si",,,,,"1020","660",,,"1020","660",,,"1020","660",,,"1020","660",,,"1020","660",,,,,,,"21214308","false","false","46.065987","14.54951","Rosso Verde","2","+386 40 636 720","$","611","411","#353 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d21214308-Reviews-Rosso_Verde-Ljubljana_Upper_Carniola_Region.html","http://www.facebook.com/rossoverde.restavracija/"
"Poljanska cesta 7, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Mediterranean","European","Slovenian","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"gostilnadela@gmail.com",,,,,"960","480",,,"960","480",,,"960","480",,,"960","480",,,"960","480",,,,,,,"4449974","false","false","46.050674","14.512153","Gostilna Dela","281","+386 599 25446","$","611","15","#13 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d4449974-Reviews-Gostilna_Dela-Ljubljana_Upper_Carniola_Region.html","http://gostilnadela.si/en/"
"Stritarjeva ulica 4 Mackova Ulica 2, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Slovenian","Vegetarian Friendly",,,,,,,,,"info@vigo-icecream.com","1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"1320","570",,,"6864189","false","false","46.050587","14.506712","Vigo Ice Cream","948","+386 820 56428","$$ - $$$","611","12","#2 of 30 Dessert in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d6864189-Reviews-Vigo_Ice_Cream-Ljubljana_Upper_Carniola_Region.html","http://vigo-icecream.com/ljubljana"
"Slovenska cesta 38, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Vegetarian Friendly",,,,,,,,,"info@juicebox.si",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8093932","false","false","46.0531","14.50407","Juicebox Cafe","5","+386 31 372 422","","611","416","#25 of 30 Dessert in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d8093932-Reviews-Juicebox_Cafe-Ljubljana_Upper_Carniola_Region.html",
"Trubarjeva cesta 53, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Slovenian","European","Eastern European","Central European",,,,,,"islami.trubar@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12523557","false","false","46.05239","14.512362","Trubar","15","+386 41 630 885","$","611","414","#33 of 41 Coffee & Tea in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d12523557-Reviews-Trubar-Ljubljana_Upper_Carniola_Region.html",
"Trg francoske revolucije 2, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","European","Slovenian","Italian",,,,,,,"plecnikov.hram@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10501167","false","false","46.0469","14.50319","Plecnikov Hram Krizanke","7","+386 30 368 884","$","611","420","#360 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d10501167-Reviews-Plecnikov_Hram_Krizanke-Ljubljana_Upper_Carniola_Region.html",
"Kongresni trg 3, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","American","Steakhouse","Barbecue","European","Grill","Gluten Free Options",,,,,,,,,,"1380","705",,,"1380","705",,,"1380","705",,,"1380","705",,,"1380","705",,,"1380","705",,,"8558137","false","false","46.050625","14.504577","Kralj Zara","730","+386 64 277 677","$$ - $$$","611","17","#15 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d8558137-Reviews-Kralj_Zara-Ljubljana_Upper_Carniola_Region.html",
"Rudnik Jurchkova cesta 79, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,"1380","510",,,"1380","390",,,"1380","390",,,"1380","390",,,"1380","390",,,"1440","390",,,"1440","390",,,"12359777","false","false","46.02863","14.52346","ZAJCEK BAR","4","+386 41 733 200","","611","417","#357 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d12359777-Reviews-ZAJCEK_BAR-Ljubljana_Upper_Carniola_Region.html","http://www.zajcek-bar.si"
"Cankarjevo nabrezhje 3, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","American","Barbecue","Gastropub","Vegetarian Friendly","Gluten Free Options",,,,,,"popsburgerbar@gmail.com","1500","720",,,"1500","720",,,"1500","720",,,"1500","720",,,"1500","720",,,"1500","720",,,"1500","720",,,"8403821","false","false","46.050423","14.505957","Pop's Place","2260","+386 590 42856","$$ - $$$","611","20","#17 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d8403821-Reviews-Pop_s_Place-Ljubljana_Upper_Carniola_Region.html","http://www.facebook.com/PopsPlaceBurgerBar"
"Stari trg 9, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","European","Slovenian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"1320","0",,,"1320","690",,,"1320","690",,,"1320","690",,,"1320","690",,,"1320","690",,,"1320","0",,,"697387","false","false","46.047962","14.506126","Julija Restaurant","3740","+386 1 425 64 63","$$ - $$$","611","16","#14 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d697387-Reviews-Julija_Restaurant-Ljubljana_Upper_Carniola_Region.html","http://julijarestaurant.com"
