"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Overtoom 5HS, 1054 HA Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Mediterranean","Spanish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"reserveren@orestistaverna.nl","1500","840",,,,,,,,,,,,,,,,,"1500","900",,,,,"1500","900",,,,,"1620","900",,,,,"1620","900",,,,,"2297611","false","false","52.36344","4.878397","Oresti's taverna","496","+31 20 422 2742","$$ - $$$","4039","264","#225 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d2297611-Reviews-Oresti_s_taverna-Amsterdam_North_Holland_Province.html","http://www.orestistaverna.nl/"
"Warmoesstraat 69, 1012 HX Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Dutch","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"1080","540",,,,,"1050","480",,,,,"1050","480",,,,,"1050","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","540",,,,,"2532116","false","false","52.375084","4.897875","De Bakkerswinkel Amsterdam Centre","545","+31 20 489 8000","$$ - $$$","4039","301","#260 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d2532116-Reviews-De_Bakkerswinkel_Amsterdam_Centre-Amsterdam_North_Holland_Province.html","http://www.debakkerswinkel.com/amsterdam-centrum"
"Singel 210, 1016 AB Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","European","International","Vegetarian Friendly","Gluten Free Options",,,,,,,,"info@breda-amsterdam.com","810","720","1320","1080",,,"870","720","1320","1080",,,"870","720","1320","1080",,,"870","720","1320","1080",,,"870","720","1320","1080",,,"870","720","1320","1080",,,"870","720","1320","1080",,,"8734317","false","false","52.373802","4.888919","Restaurant BREDA","523","+31 20 622 5233","$$ - $$$","4039","261","#223 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d8734317-Reviews-Restaurant_BREDA-Amsterdam_North_Holland_Province.html","http://www.bredagroup-amsterdam.com/restaurant-breda-amsterdam/?lang=en"
"Utrechtsestraat 45, 1017 VH Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant","Dutch","Seafood","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@sluizer.nl","1200","1020",,,,,"1200","1020",,,,,,,,,,,,,,,,,"1200","1020",,,,,"1200","1020",,,,,"1200","1020",,,,,"697020","false","false","52.364353","4.89811","Sluizer Restaurants","572","+31 20 622 6376","$$ - $$$","4039","308","#265 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d697020-Reviews-Sluizer_Restaurants-Amsterdam_North_Holland_Province.html","http://www.sluizer.nl"
"Prinsengracht 587 Andaz, 1016 HT Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Dutch","Mediterranean","Vegan Options","Vegetarian Friendly","Gluten Free Options",,,,,,,,"bluespoon@andaz.com",,,,,,,,,,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"3637300","false","false","52.367832","4.882869","Bluespoon","416","+31 20 523 1250","$$$$","4039","304","#262 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d3637300-Reviews-Bluespoon-Amsterdam_North_Holland_Province.html","http://bluespoon-restaurant.nl/"
"Kerkstraat 41, 1017 GB Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Steakhouse","Gluten Free Options",,,,,,,,,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"696918","false","false","52.36537","4.885561","Cafe de Klos","2182","+31 20 625 3730","$$ - $$$","4039","265","#226 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d696918-Reviews-Cafe_de_Klos-Amsterdam_North_Holland_Province.html","https://dekloscafe.wordpress.com/"
"Cornelis Troostplein 23, 1072 JJ Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Bar","European","Pub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"1440","840",,,,,"1500","960",,,,,"1500","960",,,,,"1500","960",,,,,"1500","960",,,,,"1620","960",,,,,"1620","840",,,,,"6695141","false","false","52.350616","4.891349","Brouwerij Troost de Pijp","297","+31 20 760 5820","$$ - $$$","4039","309","#266 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d6695141-Reviews-Brouwerij_Troost_de_Pijp-Amsterdam_North_Holland_Province.html","http://www.brouwerijtroost.nl/"
"De Clercqstraat 12, 1052 NC Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,,,"reservations@fuocovivo.nl","1260","930",,,,,"1260","930",,,,,"1260","930",,,,,"1260","930",,,,,"1260","930",,,,,"1260","930",,,,,"1260","930",,,,,"1870319","false","false","52.371677","4.873559","Pizzeria Fuoco Vivo","479","+31 20 612 4309","$$ - $$$","4039","303","#261 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d1870319-Reviews-Pizzeria_Fuoco_Vivo-Amsterdam_North_Holland_Province.html","http://www.fuocovivo.nl"
"Martelaarsgracht 5 Art'otel Amsterdam, 1012 TN Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@5and33.nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4975685","false","false","52.377937","4.897158","5&33","531","+31 20 820 5333","$$ - $$$","4039","310","#267 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d4975685-Reviews-5_33-Amsterdam_North_Holland_Province.html","http://www.5and33.nl/"
"Lange Leidsedwarsstraat 82, 1017 NM Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Dutch","Bar","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@stoopenstoop-amsterdam.nl","1350","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1350","720",,,,,"1380","720",,,,,"1724981","false","false","52.364395","4.883968","Stoop & Stoop Eetcafe","597","+31 20 620 0982","$$ - $$$","4039","270","#230 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d1724981-Reviews-Stoop_Stoop_Eetcafe-Amsterdam_North_Holland_Province.html","http://www.stoopenstoop.nl/"
"Herengracht 287, 1016 BL Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Asian","Indonesian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10145720","false","false","52.370876","4.886925","Indonesian Kitchen","259","+31 20 623 0260","$$ - $$$","4039","266","#227 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d10145720-Reviews-Indonesian_Kitchen-Amsterdam_North_Holland_Province.html","http://www.facebook.com/pages/Indonesian-Kitchen/580539385427643"
"Damrak 58, 1012 LL Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Dutch","Fast Food","Vegetarian Friendly","Vegan Options",,,,,,,,,"snackland@chello.nl","1620","600",,,,,"1620","600",,,,,"1620","600",,,,,"1620","600",,,,,"1620","600",,,,,"1800","600",,,,,"1800","600",,,,,"3651482","false","false","52.3751","4.895373","Vlaamse Frites Snackland","437","+31 20 233 6119","$","4039","269","#17 of 142 Quick Bites in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d3651482-Reviews-Vlaamse_Frites_Snackland-Amsterdam_North_Holland_Province.html","http://vlaamse-frites.webnode.nl/"
"Ferdinand Bolstraat 333 Hotel Okura, 1072 LH Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Seafood","European","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"restaurants@okura.nl","1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"2062908","false","false","52.348553","4.893819","Serre","465","+31 20 678 7450","$$ - $$$","4039","268","#229 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d2062908-Reviews-Serre-Amsterdam_North_Holland_Province.html","http://www.okura.nl/dine-and-drink/serre/"
"Nieuwezijds Kolk 23, 1012 PV Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Dutch","European","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1350","1020",,,,,"1350","1020",,,,,"946652","false","false","52.376205","4.894192","Humphrey's Amsterdam","1720","+31 20 422 1234","$$ - $$$","4039","267","#228 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d946652-Reviews-Humphrey_s_Amsterdam-Amsterdam_North_Holland_Province.html","http://www.humphreys.nl/"
"Runstraat 12-14, 1016 GK Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Dutch","Bar","Cafe","European","Pub","Vegetarian Friendly",,,,,,,,"1620","720",,,,,"1620","720",,,,,"1620","720",,,,,"1620","720",,,,,"1620","720",,,,,"1680","720",,,,,"1680","660",,,,,"3631532","false","false","52.36896","4.883659","Cafe de Doffer","182","+31 20 622 6686","$$ - $$$","4039","306","#263 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d3631532-Reviews-Cafe_de_Doffer-Amsterdam_North_Holland_Province.html","http://www.doffer.com"
"Egelantiersgracht Near Anne Frank House, the Wetern Tower and the Cheese Museum, 1015 RL Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Dutch","Bar","Cafe","European","Vegetarian Friendly",,,,,,,,"cafe@t-smalle.nl","1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1560","600",,,,,"1560","600",,,,,"2659631","false","false","52.37672","4.884154","Cafe Smalle","528","+31 20 623 9617","$$ - $$$","4039","262","#224 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d2659631-Reviews-Cafe_Smalle-Amsterdam_North_Holland_Province.html","http://www.t-smalle.nl"
"Lijnbaansgracht 252-254, 1017 RK Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","Steakhouse","Barbecue","European","Gluten Free Options",,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"753106","false","false","52.36279","4.884544","Barbeque Castell","877","+31 20 622 8606","$$ - $$$","4039","307","#264 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d753106-Reviews-Barbeque_Castell-Amsterdam_North_Holland_Province.html","http://www.castellamsterdam.nl/"
"Staalstraat 17 Singel 184, 1011 JK Amsterdam The Netherlands","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant",,,,,,,,,,,,,"info@puccinibomboni.com","1080","0",,,,,"1080","660",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"696990","false","false","52.36825","4.8984","Puccini Bomboni","439","+31 20 626 5472","$$ - $$$","4039","263","#18 of 119 Dessert in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d696990-Reviews-Puccini_Bomboni-Amsterdam_North_Holland_Province.html","http://www.puccinibomboni.com"
