"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Mikolaja Kopernika 3, Warsaw 00-367 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Vegetarian Friendly",,,,,,,,,"biuro@kameralnarestauracja.pl","1440","720",,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,"4308066","false","false","52.2343","21.02115","Kameralna Restaurant","148","+48 22 828 00 30","$$ - $$$","2961","416","#367 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d4308066-Reviews-Kameralna_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://www.kameralnarestauracja.pl/en/"
"Al. Ken 84, Warsaw Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly",,,,,,,,"1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"3534262","false","false","52.26287","21.16699","Soto Sushi","94","+48 22 648 03 03","$$ - $$$","2961","411","#362 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d3534262-Reviews-Soto_Sushi-Warsaw_Mazovia_Province_Central_Poland.html","http://www.sotosushi.pl/index_alken.html"
"ul. Leszno 8, Warsaw 01-192 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,,"1320","780",,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","720",,,"1924994","false","false","52.23871","20.98297","Otto Pizza","63","022 636 87 16 ","$$ - $$$","2961","412","#363 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1924994-Reviews-Otto_Pizza-Warsaw_Mazovia_Province_Central_Poland.html","http://ottopizza.pl/"
"ul. Adama Asnyka 6, Warsaw 02-028 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Pizza","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,"info@ristorantealcapone.pl","1320","720",,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"7755684","false","false","52.219955","20.98747","Ristorante Al Capone","86","+48 22 658 06 21","$$ - $$$","2961","419","#370 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7755684-Reviews-Ristorante_Al_Capone-Warsaw_Mazovia_Province_Central_Poland.html","http://alcaponeristorante.pl/"
"Okrzei 26 the corner of Jagiellońska Street, Warsaw 03-710 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Polish","European","Vegetarian Friendly",,,,,,,,"bazar@bazarklub.pl","1320","600",,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1440","600",,,,,"1440","600",,,"12982518","false","false","52.251183","21.035477","Bistro Pod Sowami","69","+48 511 795 030","$$ - $$$","2961","414","#365 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12982518-Reviews-Bistro_Pod_Sowami-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/bistropodsowami"
"Krucza 41/43, Warsaw 00-525 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Steakhouse","Gastropub",,,,,,,,"biuro@meatologia.pl","1200","720",,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,"21227138","false","false","52.229218","21.01695","Meatologia","20","+48 797 763 767","$$ - $$$","2961","418","#369 of 3,257 Restaurants in Warsaw","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d21227138-Reviews-Meatologia-Warsaw_Mazovia_Province_Central_Poland.html","http://www.meatologia.pl"
"ul. Franciszkanska 14, Warsaw 00-214 Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,"biuro@wakecupcafe.pl","1260","480",,,"1260","420",,,,,"1260","420",,,,,"1260","420",,,,,"1260","420",,,,,"1260","420",,,,,"1260","480",,,"4758801","false","false","52.252083","21.002693","Wake cup cafe","74","+48 507 135 618","$","2961","420","#19 of 84 Dessert in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d4758801-Reviews-Wake_cup_cafe-Warsaw_Mazovia_Province_Central_Poland.html","http://www.wakecupcafe.pl"
"ul. Jurija Gagarina 33, Warsaw 00-753 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Lebanese","Moroccan","International","Turkish","Arabic","Mediterranean","Middle Eastern",,,,"rezerwacje@kuminrestauracja.pl","1320","780",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","780",,,"13783796","false","false","52.205677","21.031452","KUMIN","40","+48 574 577 000","$","2961","417","#368 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d13783796-Reviews-KUMIN-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/KUMINrestauracja"
"Nowogrodzka 4, Warsaw 00-513 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","European","Wine Bar","Central European","Contemporary","Fusion","Vegetarian Friendly","Vegan Options",,,,"info@nowina.waw.pl",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1500","720",,,,,"1500","720",,,"12135252","false","false","52.23006","21.018242","Nowina","110","+48 663 444 442","$$ - $$$","2961","102","#93 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12135252-Reviews-Nowina-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/pg/nowinawaw/about/?ref=page_internal"
"plac Marsz. Jozefa Pilsudskiego 3 Metropolitan Building, behind the National Theatre, Warsaw 00-078 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Bar","European","Pub","International","Gastropub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"info@thealchemist.pl","1320","720",,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","720",,,"9715162","false","false","52.242954","21.012","The Alchemist Gastropub","401","+48 22 628 00 23","$$ - $$$","2961","105","#95 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d9715162-Reviews-The_Alchemist_Gastropub-Warsaw_Mazovia_Province_Central_Poland.html","http://www.thealchemist.pl"
"Ul. Krucza 23/31, Warsaw 00-525 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Polish","Central European","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"spoldz.soc@gmail.com","1140","720",,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,"8374311","false","false","52.227467","21.0176","Lokal Vegan Bistro","125","+48 517 615 122","$","2961","104","#7 of 62 Quick Bites in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8374311-Reviews-Lokal_Vegan_Bistro-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/lokalmargines/"
"ul. Sienna 76, Warsaw 00-833 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"kontakt@pelnapara.pl","1200","720",,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,"7788160","false","false","52.230476","20.994371","Pelna Para - Dim Sum Bar","211","+48 22 620 30 10","$$ - $$$","2961","108","#98 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7788160-Reviews-Pelna_Para_Dim_Sum_Bar-Warsaw_Mazovia_Province_Central_Poland.html","http://www.pelnapara.pl"
"Zurawia 6/12, Warsaw 00-503 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"karolina@sushizushi.pl","1320","780",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1620","720",,,,,"1620","720",,,"2693571","false","false","52.22911","21.01864","Sushi Zushi","423","+48 22 420 33 73","$$ - $$$","2961","106","#96 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2693571-Reviews-Sushi_Zushi-Warsaw_Mazovia_Province_Central_Poland.html","http://www.sushizushi.pl"
"Szpitalna 8, Warsaw 00-031 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Polish","Cafe","International","European",,,,,,,"staroswiecki.sklep@wedelpijalnie.pl","1260","540",,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","540",,,"795736","false","false","52.233456","21.01458","E. Wedel Chocolate Lounge Staroswiecki Sklep","882","+48 22 827 29 16","$$ - $$$","2961","110","#3 of 84 Dessert in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d795736-Reviews-E_Wedel_Chocolate_Lounge_Staroswiecki_Sklep-Warsaw_Mazovia_Province_Central_Poland.html","http://www.wedelpijalnie.pl"
"Al. Jerozolimskie 28, Warsaw 02-024 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Polish","European","Eastern European","Central European","Vegetarian Friendly",,,,,,"jerozolimskie@zapiecek.eu","1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,"2351913","false","false","52.23173","21.019602","Restauracja Zapiecek","1604","+48 22 826 74 84","$$ - $$$","2961","101","#92 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2351913-Reviews-Restauracja_Zapiecek-Warsaw_Mazovia_Province_Central_Poland.html","http://www.zapiecek.eu/main.html"
"Wiertnicza 94, Warsaw 02-952 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Turkish","Mediterranean","Barbecue","Middle Eastern","International","Grill","Halal",,,,"info@lezzetrestaurant.pl","1380","600",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","600",,,"17291606","false","false","52.17435","21.07918","Lezzet Restaurant","28","+48 22 245 14 98","$$ - $$$","2961","413","#364 of 3,257 Restaurants in Warsaw","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d17291606-Reviews-Lezzet_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://b24-coyde6.bitrix24.site/"
"Ulica Mokotowska 69 Plac Trzech Krzyzy, Warsaw 00-530 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Steakhouse","Polish","Wine Bar","Vegetarian Friendly","Gluten Free Options",,,,,,"restauracja@mokotowska69.pl","1320","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,"10345034","false","false","52.227295","21.022324","Mokotowska69","134","+48 22 628 73 84","$$ - $$$","2961","109","#99 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10345034-Reviews-Mokotowska69-Warsaw_Mazovia_Province_Central_Poland.html","http://www.mokotowska69.pl"
"ul. Adolfa Pawinskiego 24, Warsaw 02-106 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Vegetarian Friendly",,,,,,,,,"satogotuje@gmail.com",,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","780",,,"10884043","false","false","52.204052","20.975512","Sato Gotuje","46","+48 518 600 281","$$ - $$$","2961","451","#398 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10884043-Reviews-Sato_Gotuje-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/SATOgotuje/about/?entry_point=page_nav_about_item&tab=page_info"
"Chmielna 8, Warsaw Poland","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Pizza","Vegetarian Friendly",,,,,,,"1410","720",,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,"1407522","false","false","52.233044","21.017471","Mela Verde","192","0-22 826 6346","$$ - $$$","2961","458","#403 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1407522-Reviews-Mela_Verde-Warsaw_Mazovia_Province_Central_Poland.html","http://www.melaverde.waw.pl"
"Marszalkowska 140 róg Rysiej, Warsaw 00-061 Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Polish","Seafood","International","European","Vegetarian Friendly",,,,,,"kontakt@urysia.com.pl","1380","480",,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,"10686775","false","false","52.23649","21.008366","u Rysia","142","+48 791 111 151","$$ - $$$","2961","454","#400 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10686775-Reviews-U_Rysia-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/rybkauRysia/"
"ul. Zlota 65, Warsaw 00-819 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Fast Food","European","Vegetarian Friendly","Vegan Options",,,,,"kontakt@pizzazlta65.pl","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"10191583","false","false","52.229733","20.99814","Pizzeria Zlota 65","66","+48 600 206 555","$","2961","455","#401 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10191583-Reviews-Pizzeria_Zlota_65-Warsaw_Mazovia_Province_Central_Poland.html","http://www.pizzazlota65.pl/"
"ul. Obozna 9 Ste 105, Warsaw 00-332 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Sardinian","Southern-Italian","Seafood","Vegetarian Friendly",,,,"kontakt@sardyniarestauracja.pl","1260","750",,,"1320","750",,,,,"1320","750",,,,,"1320","750",,,,,"1320","750",,,,,"1320","750",,,,,"1320","750",,,"8560041","false","false","52.23877","21.019295","Sheep Sardynia Ristorante","70","+48 721 083 922","$$ - $$$","2961","357","#320 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8560041-Reviews-Sheep_Sardynia_Ristorante-Warsaw_Mazovia_Province_Central_Poland.html","http://www.sardyniarestauracja.pl/"
"Obrzezna Lok. U-10, Warsaw 02-691 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Seafood","Vegetarian Friendly","Vegan Options",,,,,"tobikowarszawa@gmail.com","1320","720",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","720",,,"8656701","false","false","52.170002","20.997028","Tobiko Sushi","41","+48 22 258 54 09","$$ - $$$","2961","354","#317 of 3,257 Restaurants in Warsaw","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8656701-Reviews-Tobiko_Sushi-Warsaw_Mazovia_Province_Central_Poland.html","http://www.tobiko.pl/"
"Piekna 54, Warsaw 00-672 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Soups","Vegetarian Friendly","Vegan Options",,,,,,"arigatoramenshop@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13743270","false","false","52.22296","21.0125","Arigator Ramen Shop","103","+48 730 303 103","$$ - $$$","2961","352","#316 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d13743270-Reviews-Arigator_Ramen_Shop-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/Arigator-Ramen-Shop-289559438233037/"
