"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Male namesti 457/13 Stare Mesto, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mexican","Latin","Central American","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"reservations_mn@lasadelitas.cz","1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"1439","660",,,,,"3749047","false","false","50.08653","14.41945","Las Adelitas (Male namEsti)","794","+420 222 233 247","$$ - $$$","5265","312","#275 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d3749047-Reviews-Las_Adelitas_Male_namEsti-Prague_Bohemia.html","http://www.facebook.com/LasAdelitasMaleNamesti"
"Belgicka 270/30, Prague 120 00 Czech Republic","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"ifcafe@ivetafabesova.cz","1140","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1140","540",,,,,"6555028","false","false","50.07266","14.43616","IF Cafe","399","+420 608 773 399","$$ - $$$","5265","320","#21 of 434 Coffee & Tea in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d6555028-Reviews-IF_Cafe-Prague_Bohemia.html","http://www.ivetafabesova.cz"
"Kaprova 19/5 On the First Floor Restaurant LaBdelM, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Cuban","Caribbean","Bar","International","Pub",,,,,,,,,,,"info@cohibaatmosphere.cz","1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"7195594","false","false","50.08852","14.41715","Cohiba Atmosphere Bar","87","+420 224 818 373","$","5265","316","#278 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7195594-Reviews-Cohiba_Atmosphere_Bar-Prague_Bohemia.html","http://www.cohibaatmosphere.cz/"
"Krizovnicka 4, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Bar","European","Czech","Vegetarian Friendly",,,,,,,,,,,,"info@kozlovna-apropos.cz","1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1440","660",,,,,"1440","660",,,,,"4134230","false","false","50.087273","14.415154","Kozlovna Apropos","1943","+420 607 748 917","$$ - $$$","5265","317","#279 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4134230-Reviews-Kozlovna_Apropos-Prague_Bohemia.html","http://www.kozlovna-apropos.cz/"
"Borivojova 110, Prague 130 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Bar","European","Czech","Eastern European","Central European","Vegetarian Friendly",,,,,,,,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"807056","false","false","50.082275","14.445818","U Houdku","480","+420 222 711 239","$","5265","311","#274 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d807056-Reviews-U_Houdku-Prague_Bohemia.html","http://uhoudku.websnadno.cz/"
"Dlouha 727/39 Passage Gourmet, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"myraw@myraw.cz","1140","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"7157773","false","false","50.090946","14.426888","MyRaw Cafe","158","+420 603 889 016","$$ - $$$","5265","315","#23 of 212 Dessert in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7157773-Reviews-MyRaw_Cafe-Prague_Bohemia.html","http://www.myraw.cz"
"Zitna 1701/15, Prague Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Bar","European","Czech","Eastern European","Central European","Vegetarian Friendly",,,,,,,,,,"restaurace@upravdu.com","1380","720",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","720",,,,,"2431531","false","false","50.077385","14.423444","U Pravdu","1434","+420 222 233 915","$$ - $$$","5265","314","#277 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d2431531-Reviews-U_Pravdu-Prague_Bohemia.html","http://upravdu.com/"
"Plaska 623/5, Prague 150 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Italian","Sardinian","Southern-Italian","Mediterranean","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"Ichnusabistro@gmail.com",,,,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","960",,,,,"1775083","false","false","50.08057","14.405822","Ichnusa Botega Bistro","275","+420 605 375 012","$$ - $$$","5265","259","#226 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1775083-Reviews-Ichnusa_Botega_Bistro-Prague_Bohemia.html","http://www.ichnusa.restaurant"
"Jindrisska 937/16, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","International","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"info@spejle.eu","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"11883308","false","false","50.08389","14.428268","Bistro Spejle","392","+420 606 773 553","$$ - $$$","5265","253","#220 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d11883308-Reviews-Bistro_Spejle-Prague_Bohemia.html","http://www.facebook.com/spejle"
"Na Struze 6, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","American","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"info@justbagel.cz",,,,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"4584569","false","false","50.0795","14.41519","Just!Bagel","234","+420 601 585 530","$","5265","258","#225 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4584569-Reviews-Just_Bagel-Prague_Bohemia.html","http://www.justbagel.cz"
"Na Mustku 1, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Fast Food","Czech",,,,,,,,,,,,,,"matejpycha@seznam.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12158530","false","false","50.086082","14.418742","Trdlo","193","+420 608 611 823","$","5265","319","#24 of 212 Dessert in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12158530-Reviews-Trdlo-Prague_Bohemia.html","http://trdlo.com"
"K Zaverce 2774/20, Prague 150 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","European","Czech","Central European","Vegetarian Friendly",,,,,,,,,,,,,"1380","690",,,,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050",,,"870","690","1380","1050",,,"1380","690",,,,,"1379126","false","false","50.05675","14.402484","Restaurace Na Kopci","280","+420 251 553 102","$$ - $$$","5265","254","#221 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1379126-Reviews-Restaurace_Na_Kopci-Prague_Bohemia.html","http://www.nakopci.com/restaurace-na-kopci.html"
"Letohradska 44, Prague 17000 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"cafeletka@gmail.com","1320","600",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","480",,,,,"1440","600",,,,,"9565372","false","false","50.098103","14.425443","Cafe Letka","223","+420 777 444 035","$","5265","318","#280 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d9565372-Reviews-Cafe_Letka-Prague_Bohemia.html","http://www.facebook.com/cafeletka"
"Vodni 93/11, Prague 150 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","European","Czech","Eastern European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"info@smichovskevidlicky.com","1380","720",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","720",,,,,"2469081","false","false","50.07836","14.40635","Smichovske Vidlicky a noze","772","+420 725 760 125","$$ - $$$","5265","257","#224 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d2469081-Reviews-Smichovske_Vidlicky_a_noze-Prague_Bohemia.html","http://www.smichovskevidlicky.cz"
"Malostranske namesti 266/5, Prague 118 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Bar","European","Czech","Eastern European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"info@restaurantuglaubicu.cz","1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1118486","false","false","50.087738","14.40369","Restaurant U Glaubicu","2070","+420 257 532 027","$$ - $$$","5265","252","#219 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1118486-Reviews-Restaurant_U_Glaubicu-Prague_Bohemia.html","http://www.restaurantuglaubicu.cz"
"Retezova 222/3, Prague 110 00 Czech Republic","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","Bar","Czech","Contemporary","Pub","Gastropub",,,,,,,,,,,"kontakt@ukunstatu.cz","1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"3377413","false","false","50.085495","14.417021","U Kunstatu - Craft beer in Old Town","983","+420 601 353 776","$$ - $$$","5265","255","#222 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d3377413-Reviews-U_Kunstatu_Craft_beer_in_Old_Town-Prague_Bohemia.html","http://ukunstatu.cz/"
"Karoliny Svetle 1035/17, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Bar","European","Pub","Czech","Eastern European","Central European",,,,,,,,,,,"1380","660",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","660",,,,,"4793339","false","false","50.082672","14.414669","U Rotundy","406","+420 224 227 227","$","5265","256","#223 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4793339-Reviews-U_Rotundy-Prague_Bohemia.html","http://www.pivniceurotundy.cz"
"Jiraskovo namesti 1981/6 Nove Mesto, Prague 120 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","European","Central European","International","Vegetarian Friendly",,,,,,,,,,,,"info@gfrest.cz","1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"6704519","false","false","50.07549","14.414046","Ginger & Fred restaurant","874","+420 221 984 160","$$$$","5265","260","#227 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d6704519-Reviews-Ginger_Fred_restaurant-Prague_Bohemia.html","http://gfrest.cz/"
"Tachovske namesti 79/1, Prague 130 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Bar","European","Pub","Czech","Central European","International","Vegetarian Friendly",,,,,,,,,"planetazizkov@email.cz","1440","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1440","660",,,,,"2423998","false","false","50.087482","14.452787","Planeta Zizkov","415","+420 222 780 173","$","5265","251","#218 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d2423998-Reviews-Planeta_Zizkov-Prague_Bohemia.html","http://www.planetazizkov.cz"
